subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-10, trial64, 07, George Clooney, ID07_IM03.bmp, (-300, 300), Ben Affleck, (0, -400), Keanu Reeves, (550, -100), Leonardo DiCaprio, (300, 300), Daniel Craig, (-550, -100), George Clooney, [-239.  270.], 1, 1.3418369999853894
sub-10, trial72, 01, Ben Affleck, ID01_IM04.bmp, (550, -100), Justin Timberlake, (300, 300), Matt Damon, (-550, -100), George Clooney, (0, -400), Keanu Reeves, (-300, 300), Ben Affleck, [460. -94.], 1, 2.4213381999870762
sub-10, trial34, 07, George Clooney, ID07_IM04.bmp, (550, -100), Daniel Radcliffe, (-550, -100), Hugh Jackman, (300, 300), Keanu Reeves, (0, -400), Orlando Bloom, (-300, 300), George Clooney, [ 387. -112.], 1, 1.6023732000030577
sub-10, trial41, 03, Brad Pitt, ID03_IM01.bmp, (-300, 300), Patrick Dempsey, (300, 300), George Clooney, (0, -400), Ryan Gosling, (550, -100), Daniel Radcliffe, (-550, -100), Brad Pitt, [-275.  279.], 1, 1.6327692000195384
sub-10, trial18, 15, Robert Downey Jr, ID15_IM02.bmp, (0, -400), Justin Timberlake, (300, 300), Daniel Radcliffe, (550, -100), George Clooney, (-550, -100), Orlando Bloom, (-300, 300), Robert Downey Jr, [-106. -399.], 1, 1.2043117000139318
sub-10, trial23, 13, Orlando Bloom, ID13_IM03.bmp, (-300, 300), Ryan Reynolds, (-550, -100), Ryan Gosling, (300, 300), Brad Pitt, (550, -100), Ben Stiller, (0, -400), Orlando Bloom, [-279.  262.], 1, 1.275450000015553
sub-10, trial29, 08, Hugh Jackman, ID08_IM03.bmp, (0, -400), Robert Downey Jr, (300, 300), Ryan Gosling, (550, -100), Ben Affleck, (-550, -100), Ben Stiller, (-300, 300), Hugh Jackman, [  40. -403.], 1, 2.1894834999693558
sub-10, trial49, 06, Elijah Wood, ID06_IM01.bmp, (0, -400), Justin Timberlake, (-550, -100), Hugh Jackman, (-300, 300), Daniel Radcliffe, (300, 300), Ryan Reynolds, (550, -100), Elijah Wood, [ 113. -385.], 1, 2.0273796999827027
sub-10, trial57, 08, Hugh Jackman, ID08_IM01.bmp, (-300, 300), Ben Affleck, (550, -100), Robert Pattinson, (0, -400), Daniel Craig, (-550, -100), Robert Downey Jr, (300, 300), Hugh Jackman, [-233.  294.], 1, 3.6495615000021644
sub-10, trial11, 04, Daniel Craig, ID04_IM03.bmp, (550, -100), George Clooney, (300, 300), Daniel Radcliffe, (-300, 300), Matt Damon, (0, -400), Elijah Wood, (-550, -100), Daniel Craig, [ 490. -111.], 1, 1.0526721999631263
sub-10, trial65, 13, Orlando Bloom, ID13_IM02.bmp, (-300, 300), Justin Timberlake, (-550, -100), Robert Downey Jr, (550, -100), George Clooney, (0, -400), Hugh Jackman, (300, 300), Orlando Bloom, [-208.  297.], 1, 1.4405354000045918
sub-10, trial40, 16, Robert Pattinson, ID16_IM03.bmp, (-550, -100), Robert Downey Jr, (0, -400), Ryan Gosling, (550, -100), Keanu Reeves, (300, 300), Brad Pitt, (-300, 300), Robert Pattinson, [-439.  -66.], 1, 1.140967899991665
sub-10, trial16, 17, Ryan Gosling, ID17_IM01.bmp, (550, -100), Ben Affleck, (300, 300), Matt Damon, (0, -400), Robert Downey Jr, (-550, -100), Daniel Craig, (-300, 300), Ryan Gosling, [ 419. -130.], 1, 1.3179259999888018
sub-10, trial26, 04, Daniel Craig, ID04_IM04.bmp, (-300, 300), Ben Stiller, (550, -100), Patrick Dempsey, (-550, -100), Brad Pitt, (0, -400), Justin Timberlake, (300, 300), Daniel Craig, [-299.  270.], 1, 1.1343146999715827
sub-10, trial13, 12, Matt Damon, ID12_IM01.bmp, (550, -100), Elijah Wood, (-550, -100), Leonardo DiCaprio, (0, -400), Ryan Gosling, (-300, 300), Justin Timberlake, (300, 300), Matt Damon, [ 415. -108.], 1, 1.2467991999583319
