subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-19, trial51, 10, Keanu Reeves, ID10_IM04.bmp, (550, -100), Matt Damon, (-300, 300), Ben Stiller, (-550, -100), Daniel Craig, (300, 300), Brad Pitt, (0, -400), Keanu Reeves, [488. -91.], 1, 2.0823927999008447
sub-19, trial52, 12, Matt Damon, ID12_IM04.bmp, (0, -400), Robert Downey Jr, (550, -100), Ryan Gosling, (300, 300), Leonardo DiCaprio, (-550, -100), Ben Stiller, (-300, 300), idk, [14. 25.], 0, 2.9493760999757797
sub-19, trial11, 04, Daniel Craig, ID04_IM03.bmp, (-300, 300), Hugh Jackman, (550, -100), Justin Timberlake, (0, -400), George Clooney, (300, 300), Brad Pitt, (-550, -100), idk, [61. 61.], 0, 5.877015799982473
sub-19, trial37, 06, Elijah Wood, ID06_IM02.bmp, (-550, -100), Robert Pattinson, (550, -100), George Clooney, (0, -400), Daniel Radcliffe, (300, 300), Ben Affleck, (-300, 300), Ben Affleck, [-168.  264.], 0, 7.936630900017917
sub-19, trial34, 15, Robert Downey Jr, ID15_IM04.bmp, (550, -100), Ben Affleck, (-550, -100), Leonardo DiCaprio, (0, -400), Daniel Radcliffe, (-300, 300), Justin Timberlake, (300, 300), idk, [73. 84.], 0, 1.0800790999783203
sub-19, trial47, 11, Leonardo DiCaprio, ID11_IM04.bmp, (0, -400), Hugh Jackman, (-300, 300), Ryan Gosling, (550, -100), Elijah Wood, (-550, -100), Ben Affleck, (300, 300), Leonardo DiCaprio, [  70. -372.], 1, 1.9544015999417752
sub-19, trial5, 13, Orlando Bloom, ID13_IM02.bmp, (0, -400), Brad Pitt, (-300, 300), Ryan Gosling, (-550, -100), Patrick Dempsey, (550, -100), Ryan Reynolds, (300, 300), familiar face, [ 43. -69.], 1, 1.3945343000814319
sub-19, trial28, 03, Brad Pitt, ID03_IM01.bmp, (300, 300), Orlando Bloom, (-550, -100), Justin Timberlake, (-300, 300), Elijah Wood, (550, -100), Daniel Radcliffe, (0, -400), Orlando Bloom, [-419.  -88.], 0, 4.7289425999624655
sub-19, trial39, 18, Ryan Reynolds, ID18_IM04.bmp, (550, -100), Patrick Dempsey, (0, -400), Ryan Gosling, (300, 300), Justin Timberlake, (-300, 300), Leonardo DiCaprio, (-550, -100), idk, [-61.  28.], 0, 3.761684700031765
sub-19, trial45, 03, Brad Pitt, ID03_IM02.bmp, (-300, 300), Robert Downey Jr, (-550, -100), Ryan Gosling, (0, -400), Robert Pattinson, (550, -100), Elijah Wood, (300, 300), Robert Downey Jr, [-425.  -86.], 0, 9.20054800005164
sub-19, trial23, 17, Ryan Gosling, ID17_IM04.bmp, (300, 300), Justin Timberlake, (-550, -100), Robert Pattinson, (-300, 300), Elijah Wood, (0, -400), Daniel Craig, (550, -100), familiar face, [-111.  -95.], 1, 2.1424939000280574
sub-19, trial17, 03, Brad Pitt, ID03_IM03.bmp, (550, -100), Hugh Jackman, (0, -400), Robert Downey Jr, (300, 300), Elijah Wood, (-300, 300), Ryan Gosling, (-550, -100), idk, [-61.  49.], 0, 9.48704939999152
sub-19, trial30, 05, Daniel Radcliffe, ID05_IM04.bmp, (0, -400), Robert Pattinson, (-550, -100), Leonardo DiCaprio, (-300, 300), Ben Stiller, (550, -100), Keanu Reeves, (300, 300), Daniel Radcliffe, [ -70. -382.], 1, 3.3292616000398993
sub-19, trial50, 09, Justin Timberlake, ID09_IM02.bmp, (550, -100), George Clooney, (-550, -100), Elijah Wood, (300, 300), Robert Pattinson, (-300, 300), Hugh Jackman, (0, -400), familiar face, [-84. -92.], 1, 5.49831679998897
sub-19, trial71, 05, Daniel Radcliffe, ID05_IM01.bmp, (-300, 300), Hugh Jackman, (0, -400), Orlando Bloom, (550, -100), Patrick Dempsey, (300, 300), Daniel Craig, (-550, -100), Daniel Radcliffe, [-181.  267.], 1, 2.6195366999600083
sub-19, trial55, 09, Justin Timberlake, ID09_IM03.bmp, (-550, -100), Brad Pitt, (550, -100), Orlando Bloom, (-300, 300), Ryan Gosling, (0, -400), Hugh Jackman, (300, 300), familiar face, [ -70. -106.], 1, 1.2177750000264496
sub-19, trial72, 14, Patrick Dempsey, ID14_IM04.bmp, (-550, -100), Matt Damon, (0, -400), Ryan Reynolds, (-300, 300), Ben Affleck, (550, -100), Leonardo DiCaprio, (300, 300), familiar face, [-95. -97.], 1, 5.671142900013365
sub-19, trial22, 12, Matt Damon, ID12_IM03.bmp, (-300, 300), Daniel Craig, (300, 300), Ryan Reynolds, (-550, -100), Robert Pattinson, (0, -400), Brad Pitt, (550, -100), idk, [-104.   45.], 0, 5.97784700000193
sub-19, trial41, 10, Keanu Reeves, ID10_IM02.bmp, (550, -100), George Clooney, (0, -400), Daniel Craig, (-300, 300), Robert Pattinson, (300, 300), Matt Damon, (-550, -100), Keanu Reeves, [ 534. -135.], 1, 1.720220600022003
sub-19, trial58, 05, Daniel Radcliffe, ID05_IM03.bmp, (0, -400), Robert Downey Jr, (-300, 300), Brad Pitt, (300, 300), Orlando Bloom, (-550, -100), Leonardo DiCaprio, (550, -100), Daniel Radcliffe, [  21. -396.], 1, 1.2494307000888512
sub-19, trial4, 13, Orlando Bloom, ID13_IM04.bmp, (0, -400), Matt Damon, (-550, -100), Ben Affleck, (300, 300), Ben Stiller, (550, -100), Patrick Dempsey, (-300, 300), familiar face, [ -21. -110.], 1, 3.956700599985197
sub-19, trial8, 09, Justin Timberlake, ID09_IM01.bmp, (550, -100), Robert Pattinson, (300, 300), Daniel Craig, (0, -400), Brad Pitt, (-300, 300), Keanu Reeves, (-550, -100), Daniel Craig, [ -62. -405.], 0, 8.15795529994648
sub-19, trial1, 07, George Clooney, ID07_IM04.bmp, (300, 300), Elijah Wood, (-550, -100), Ryan Reynolds, (0, -400), Matt Damon, (550, -100), Ryan Gosling, (-300, 300), George Clooney, [250. 264.], 1, 1.8842857000418007
sub-19, trial49, 16, Robert Pattinson, ID16_IM01.bmp, (550, -100), Matt Damon, (-300, 300), Ben Affleck, (-550, -100), Daniel Radcliffe, (300, 300), Daniel Craig, (0, -400), Robert Pattinson, [440. -89.], 1, 1.5278321999358013
sub-19, trial42, 17, Ryan Gosling, ID17_IM03.bmp, (0, -400), Patrick Dempsey, (550, -100), Robert Downey Jr, (300, 300), Daniel Craig, (-300, 300), Daniel Radcliffe, (-550, -100), Daniel Craig, [-247.  278.], 0, 5.559589099953882
sub-19, trial19, 17, Ryan Gosling, ID17_IM01.bmp, (-550, -100), Patrick Dempsey, (300, 300), Leonardo DiCaprio, (550, -100), Matt Damon, (-300, 300), Robert Downey Jr, (0, -400), familiar face, [   3. -118.], 1, 3.663438000017777
sub-19, trial60, 18, Ryan Reynolds, ID18_IM01.bmp, (300, 300), George Clooney, (550, -100), Keanu Reeves, (-550, -100), Daniel Craig, (-300, 300), Ben Stiller, (0, -400), idk, [ 8. 24.], 0, 0.7551746999379247
sub-19, trial62, 13, Orlando Bloom, ID13_IM03.bmp, (550, -100), Ryan Reynolds, (0, -400), Matt Damon, (300, 300), Daniel Craig, (-300, 300), Robert Pattinson, (-550, -100), idk, [20. 42.], 0, 5.250664100050926
sub-19, trial26, 04, Daniel Craig, ID04_IM02.bmp, (-300, 300), Matt Damon, (300, 300), Elijah Wood, (0, -400), Hugh Jackman, (550, -100), Ryan Gosling, (-550, -100), idk, [85. 39.], 0, 6.167811800027266
sub-19, trial6, 06, Elijah Wood, ID06_IM04.bmp, (0, -400), Ben Affleck, (-550, -100), Ryan Reynolds, (550, -100), Hugh Jackman, (300, 300), Robert Downey Jr, (-300, 300), Elijah Wood, [ -28. -371.], 1, 4.716898299986497
sub-19, trial59, 05, Daniel Radcliffe, ID05_IM02.bmp, (0, -400), Elijah Wood, (-550, -100), Ryan Gosling, (-300, 300), Matt Damon, (300, 300), Daniel Craig, (550, -100), Daniel Radcliffe, [  17. -376.], 1, 2.2291393000632524
sub-19, trial29, 11, Leonardo DiCaprio, ID11_IM02.bmp, (0, -400), Ben Affleck, (550, -100), Robert Downey Jr, (300, 300), Patrick Dempsey, (-300, 300), George Clooney, (-550, -100), Leonardo DiCaprio, [  66. -378.], 1, 2.47405079996679
sub-19, trial65, 08, Hugh Jackman, ID08_IM01.bmp, (-300, 300), Ryan Gosling, (550, -100), Leonardo DiCaprio, (300, 300), Robert Pattinson, (-550, -100), Justin Timberlake, (0, -400), idk, [77. 28.], 0, 2.141106399940327
sub-19, trial2, 08, Hugh Jackman, ID08_IM04.bmp, (300, 300), Justin Timberlake, (550, -100), Orlando Bloom, (-550, -100), Patrick Dempsey, (0, -400), Daniel Radcliffe, (-300, 300), idk, [44. 29.], 0, 6.165374199976213
sub-19, trial21, 16, Robert Pattinson, ID16_IM02.bmp, (300, 300), Keanu Reeves, (-300, 300), Ryan Reynolds, (550, -100), Daniel Craig, (-550, -100), Patrick Dempsey, (0, -400), Robert Pattinson, [319. 312.], 1, 2.6283108999487013
sub-19, trial10, 14, Patrick Dempsey, ID14_IM01.bmp, (-550, -100), Ben Stiller, (300, 300), Ryan Gosling, (-300, 300), Ryan Reynolds, (0, -400), Matt Damon, (550, -100), familiar face, [  90. -124.], 1, 10.498311000061221
