subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-16, trial64, 09, Justin Timberlake, ID09_IM01.bmp, (300, 300), Orlando Bloom, (550, -100), Patrick Dempsey, (-550, -100), Ryan Reynolds, (0, -400), Daniel Craig, (-300, 300), Justin Timberlake, [194. 312.], 1, 1.6441858999896795
sub-16, trial6, 10, Keanu Reeves, ID10_IM03.bmp, (300, 300), Ryan Reynolds, (550, -100), Ben Affleck, (-550, -100), Justin Timberlake, (0, -400), Daniel Radcliffe, (-300, 300), Keanu Reeves, [247. 271.], 1, 5.872400899999775
sub-16, trial13, 10, Keanu Reeves, ID10_IM04.bmp, (-300, 300), Ryan Gosling, (0, -400), George Clooney, (-550, -100), Robert Pattinson, (550, -100), Daniel Radcliffe, (300, 300), Keanu Reeves, [-171.  308.], 1, 1.6917167999781668
sub-16, trial28, 14, Patrick Dempsey, ID14_IM02.bmp, (-550, -100), Justin Timberlake, (300, 300), Robert Downey Jr, (0, -400), Hugh Jackman, (-300, 300), Ryan Gosling, (550, -100), Patrick Dempsey, [-475.  -92.], 1, 1.5260709999129176
sub-16, trial31, 11, Leonardo DiCaprio, ID11_IM01.bmp, (550, -100), Ben Stiller, (-300, 300), Elijah Wood, (0, -400), Daniel Craig, (-550, -100), Hugh Jackman, (300, 300), Leonardo DiCaprio, [401. -83.], 1, 2.2711032999213785
sub-16, trial63, 10, Keanu Reeves, ID10_IM02.bmp, (0, -400), Hugh Jackman, (300, 300), Matt Damon, (-300, 300), Brad Pitt, (-550, -100), Leonardo DiCaprio, (550, -100), Keanu Reeves, [  80. -403.], 1, 4.594252500100993
sub-16, trial34, 10, Keanu Reeves, ID10_IM01.bmp, (-550, -100), Hugh Jackman, (550, -100), Daniel Radcliffe, (300, 300), Ryan Gosling, (0, -400), Leonardo DiCaprio, (-300, 300), familiar face, [  89. -136.], 1, 2.567587000085041
sub-16, trial19, 03, Brad Pitt, ID03_IM02.bmp, (-550, -100), Daniel Craig, (-300, 300), Leonardo DiCaprio, (550, -100), Ryan Gosling, (300, 300), Ben Stiller, (0, -400), Brad Pitt, [-439. -120.], 1, 4.8637701000552624
sub-16, trial32, 09, Justin Timberlake, ID09_IM03.bmp, (300, 300), Matt Damon, (-550, -100), Ryan Gosling, (550, -100), Robert Downey Jr, (-300, 300), Hugh Jackman, (0, -400), Justin Timberlake, [371. 263.], 1, 2.5308451000601053
sub-16, trial68, 13, Orlando Bloom, ID13_IM03.bmp, (550, -100), George Clooney, (-300, 300), Daniel Craig, (0, -400), Patrick Dempsey, (300, 300), Ryan Reynolds, (-550, -100), Orlando Bloom, [460. -85.], 1, 2.2271416999865323
sub-16, trial30, 16, Robert Pattinson, ID16_IM04.bmp, (300, 300), Ben Affleck, (-300, 300), Ben Stiller, (0, -400), Patrick Dempsey, (550, -100), Ryan Gosling, (-550, -100), Robert Pattinson, [270. 295.], 1, 2.9596846000058576
