subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-03, trial20, 15, Robert Downey Jr, ID15_IM02.bmp, (-550, -100), Ryan Gosling, (550, -100), Leonardo DiCaprio, (300, 300), Daniel Craig, (0, -400), Ben Stiller, (-300, 300), idk, [66. 48.], 0, 2.485913300071843
sub-03, trial35, 03, Brad Pitt, ID03_IM01.bmp, (0, -400), George Clooney, (550, -100), Matt Damon, (-550, -100), Elijah Wood, (300, 300), Patrick Dempsey, (-300, 300), Brad Pitt, [ 106. -396.], 1, 3.843930699978955
sub-03, trial67, 17, Ryan Gosling, ID17_IM01.bmp, (-550, -100), Ben Affleck, (550, -100), Leonardo DiCaprio, (300, 300), Justin Timberlake, (0, -400), Hugh Jackman, (-300, 300), familiar face, [  56. -107.], 1, 5.703172100009397
sub-03, trial61, 06, Elijah Wood, ID06_IM02.bmp, (-300, 300), George Clooney, (0, -400), Justin Timberlake, (300, 300), Ryan Reynolds, (550, -100), Leonardo DiCaprio, (-550, -100), Elijah Wood, [-327.  268.], 1, 3.04039539990481
sub-03, trial11, 18, Ryan Reynolds, ID18_IM01.bmp, (550, -100), Daniel Craig, (-550, -100), Ryan Gosling, (0, -400), George Clooney, (-300, 300), Brad Pitt, (300, 300), idk, [-32.  90.], 0, 2.998390500084497
sub-03, trial72, 08, Hugh Jackman, ID08_IM02.bmp, (300, 300), Ryan Reynolds, (0, -400), Brad Pitt, (550, -100), Leonardo DiCaprio, (-300, 300), Justin Timberlake, (-550, -100), familiar face, [  90. -130.], 1, 6.0511236999882385
sub-03, trial34, 15, Robert Downey Jr, ID15_IM04.bmp, (-300, 300), Hugh Jackman, (-550, -100), Matt Damon, (300, 300), Keanu Reeves, (0, -400), Robert Pattinson, (550, -100), familiar face, [  96. -125.], 1, 2.392104000085965
sub-03, trial56, 03, Brad Pitt, ID03_IM04.bmp, (-550, -100), Orlando Bloom, (550, -100), Robert Downey Jr, (300, 300), Daniel Radcliffe, (-300, 300), Ryan Reynolds, (0, -400), Brad Pitt, [-432. -112.], 1, 2.8050739999162033
sub-03, trial54, 06, Elijah Wood, ID06_IM04.bmp, (-300, 300), Ben Affleck, (550, -100), Leonardo DiCaprio, (-550, -100), Robert Pattinson, (300, 300), Daniel Radcliffe, (0, -400), Elijah Wood, [-252.  284.], 1, 1.4828581999754533
sub-03, trial59, 16, Robert Pattinson, ID16_IM01.bmp, (300, 300), Brad Pitt, (0, -400), Patrick Dempsey, (550, -100), Ben Affleck, (-300, 300), Ryan Reynolds, (-550, -100), Robert Pattinson, [283. 306.], 1, 0.8452561000594869
sub-03, trial27, 09, Justin Timberlake, ID09_IM02.bmp, (-550, -100), Leonardo DiCaprio, (300, 300), Elijah Wood, (-300, 300), Matt Damon, (550, -100), Patrick Dempsey, (0, -400), Justin Timberlake, [-412. -103.], 1, 2.017417800030671
sub-03, trial46, 07, George Clooney, ID07_IM04.bmp, (0, -400), Brad Pitt, (550, -100), Patrick Dempsey, (-300, 300), Robert Pattinson, (300, 300), Ben Stiller, (-550, -100), George Clooney, [  41. -366.], 1, 2.1510264000389725
sub-03, trial5, 02, Ben Stiller, ID02_IM02.bmp, (0, -400), George Clooney, (-300, 300), Robert Downey Jr, (550, -100), Orlando Bloom, (300, 300), Daniel Craig, (-550, -100), Robert Downey Jr, [ 442. -109.], 0, 5.711381400004029
sub-03, trial49, 14, Patrick Dempsey, ID14_IM04.bmp, (300, 300), Ryan Reynolds, (-550, -100), Leonardo DiCaprio, (-300, 300), Keanu Reeves, (0, -400), Robert Downey Jr, (550, -100), Patrick Dempsey, [260. 265.], 1, 2.5442174000199884
sub-03, trial69, 01, Ben Affleck, ID01_IM02.bmp, (300, 300), Hugh Jackman, (0, -400), Matt Damon, (-550, -100), Leonardo DiCaprio, (550, -100), Orlando Bloom, (-300, 300), idk, [-21.  62.], 0, 2.3443258999614045
sub-03, trial7, 11, Leonardo DiCaprio, ID11_IM02.bmp, (300, 300), Ben Stiller, (550, -100), Daniel Radcliffe, (-550, -100), Elijah Wood, (-300, 300), Justin Timberlake, (0, -400), Leonardo DiCaprio, [284. 256.], 1, 0.8735675000352785
sub-03, trial17, 08, Hugh Jackman, ID08_IM03.bmp, (550, -100), Patrick Dempsey, (-300, 300), Orlando Bloom, (300, 300), Ryan Reynolds, (0, -400), Leonardo DiCaprio, (-550, -100), idk, [20. 52.], 0, 4.068322899984196
sub-03, trial52, 04, Daniel Craig, ID04_IM01.bmp, (-300, 300), Ryan Reynolds, (300, 300), Keanu Reeves, (0, -400), Orlando Bloom, (-550, -100), Robert Downey Jr, (550, -100), Daniel Craig, [-255.  258.], 1, 1.6466112000634894
sub-03, trial6, 16, Robert Pattinson, ID16_IM03.bmp, (550, -100), Matt Damon, (-300, 300), Elijah Wood, (-550, -100), Robert Downey Jr, (300, 300), Patrick Dempsey, (0, -400), Robert Pattinson, [ 520. -134.], 1, 0.9636873999843374
sub-03, trial66, 15, Robert Downey Jr, ID15_IM03.bmp, (0, -400), George Clooney, (-550, -100), Elijah Wood, (550, -100), Patrick Dempsey, (-300, 300), Daniel Radcliffe, (300, 300), Robert Downey Jr, [  59. -370.], 1, 5.2746182000264525
sub-03, trial60, 18, Ryan Reynolds, ID18_IM03.bmp, (300, 300), Hugh Jackman, (-300, 300), Orlando Bloom, (550, -100), Elijah Wood, (0, -400), Matt Damon, (-550, -100), Ryan Reynolds, [224. 286.], 1, 2.4846821000101045
sub-03, trial70, 03, Brad Pitt, ID03_IM02.bmp, (300, 300), Robert Downey Jr, (550, -100), Ben Stiller, (-300, 300), Hugh Jackman, (-550, -100), Robert Pattinson, (0, -400), Brad Pitt, [280. 279.], 1, 1.1120003999676555
sub-03, trial68, 13, Orlando Bloom, ID13_IM01.bmp, (300, 300), Ryan Reynolds, (550, -100), George Clooney, (-300, 300), Patrick Dempsey, (-550, -100), Elijah Wood, (0, -400), Orlando Bloom, [254. 272.], 1, 1.3768774999771267
