subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-00, trial43, 07, George Clooney, ID07_IM03.bmp, (550, -100), Leonardo DiCaprio, (0, -400), Ryan Gosling, (-550, -100), Daniel Radcliffe, (-300, 300), Robert Downey Jr, (300, 300), George Clooney, [ 453. -124.], 1, 1.852015599841252
sub-00, trial40, 11, Leonardo DiCaprio, ID11_IM04.bmp, (300, 300), George Clooney, (-300, 300), Brad Pitt, (-550, -100), Orlando Bloom, (0, -400), Hugh Jackman, (550, -100), Leonardo DiCaprio, [271. 291.], 1, 1.592612799955532
sub-00, trial56, 05, Daniel Radcliffe, ID05_IM02.bmp, (-300, 300), Elijah Wood, (0, -400), Hugh Jackman, (-550, -100), Patrick Dempsey, (300, 300), Keanu Reeves, (550, -100), Daniel Radcliffe, [-289.  286.], 1, 1.238561699865386
sub-00, trial63, 11, Leonardo DiCaprio, ID11_IM02.bmp, (-300, 300), Justin Timberlake, (0, -400), Ben Affleck, (550, -100), Daniel Radcliffe, (-550, -100), Ryan Reynolds, (300, 300), Leonardo DiCaprio, [-206.  279.], 1, 2.227515600156039
sub-00, trial48, 10, Keanu Reeves, ID10_IM03.bmp, (550, -100), George Clooney, (0, -400), Daniel Craig, (-550, -100), Brad Pitt, (-300, 300), Matt Damon, (300, 300), Keanu Reeves, [ 562. -105.], 1, 2.304794800002128
sub-00, trial37, 07, George Clooney, ID07_IM02.bmp, (300, 300), Robert Pattinson, (-550, -100), Keanu Reeves, (-300, 300), Ben Stiller, (0, -400), Elijah Wood, (550, -100), George Clooney, [194. 276.], 1, 4.2984823998995125
sub-00, trial31, 09, Justin Timberlake, ID09_IM02.bmp, (-300, 300), Leonardo DiCaprio, (550, -100), Ryan Reynolds, (300, 300), Robert Downey Jr, (0, -400), Keanu Reeves, (-550, -100), Justin Timberlake, [-216.  279.], 1, 2.2683668001554906
sub-00, trial18, 17, Ryan Gosling, ID17_IM03.bmp, (-300, 300), Justin Timberlake, (550, -100), Brad Pitt, (-550, -100), Keanu Reeves, (300, 300), Ben Stiller, (0, -400), Ryan Gosling, [-244.  309.], 1, 3.311626800103113
sub-00, trial29, 05, Daniel Radcliffe, ID05_IM04.bmp, (550, -100), George Clooney, (-300, 300), Orlando Bloom, (0, -400), Robert Pattinson, (300, 300), Robert Downey Jr, (-550, -100), Daniel Radcliffe, [ 414. -117.], 1, 2.033440100029111
sub-00, trial14, 04, Daniel Craig, ID04_IM02.bmp, (-300, 300), Ben Stiller, (0, -400), Hugh Jackman, (300, 300), Robert Pattinson, (550, -100), Robert Downey Jr, (-550, -100), Daniel Craig, [-216.  293.], 1, 2.1021489000413567
