subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-15, trial34, 04, Daniel Craig, ID04_IM04.bmp, (-300, 300), Matt Damon, (0, -400), Justin Timberlake, (-550, -100), Robert Pattinson, (550, -100), Keanu Reeves, (300, 300), Daniel Craig, [-260.  281.], 1, 1.3834396000020206
sub-15, trial59, 18, Ryan Reynolds, ID18_IM01.bmp, (-550, -100), Ryan Gosling, (-300, 300), Ben Stiller, (0, -400), George Clooney, (550, -100), Daniel Radcliffe, (300, 300), Ryan Reynolds, [-517.  -93.], 1, 1.5735491999657825
sub-15, trial36, 09, Justin Timberlake, ID09_IM02.bmp, (-300, 300), Matt Damon, (550, -100), Brad Pitt, (300, 300), Ryan Reynolds, (-550, -100), Ryan Gosling, (0, -400), Justin Timberlake, [-180.  305.], 1, 1.4517642999999225
sub-15, trial39, 12, Matt Damon, ID12_IM04.bmp, (300, 300), George Clooney, (550, -100), Patrick Dempsey, (-550, -100), Orlando Bloom, (0, -400), Brad Pitt, (-300, 300), Matt Damon, [328. 284.], 1, 1.0315150000387803
sub-15, trial28, 17, Ryan Gosling, ID17_IM01.bmp, (-300, 300), Hugh Jackman, (550, -100), Ben Stiller, (300, 300), Elijah Wood, (-550, -100), Ben Affleck, (0, -400), Ryan Gosling, [-212.  285.], 1, 1.2911380999721587
sub-15, trial35, 05, Daniel Radcliffe, ID05_IM04.bmp, (0, -400), Elijah Wood, (550, -100), Justin Timberlake, (-300, 300), George Clooney, (-550, -100), Hugh Jackman, (300, 300), Daniel Radcliffe, [  50. -413.], 1, 1.9730125999776646
sub-15, trial37, 06, Elijah Wood, ID06_IM01.bmp, (300, 300), Justin Timberlake, (-550, -100), Ben Stiller, (550, -100), George Clooney, (0, -400), Ben Affleck, (-300, 300), Elijah Wood, [274. 301.], 1, 1.4287178000668064
sub-15, trial20, 11, Leonardo DiCaprio, ID11_IM02.bmp, (-550, -100), Orlando Bloom, (0, -400), Patrick Dempsey, (550, -100), Robert Pattinson, (-300, 300), Robert Downey Jr, (300, 300), Leonardo DiCaprio, [-566.  -88.], 1, 1.2423671000869945
sub-15, trial8, 05, Daniel Radcliffe, ID05_IM02.bmp, (-300, 300), Justin Timberlake, (0, -400), Ben Affleck, (300, 300), Ryan Reynolds, (550, -100), Hugh Jackman, (-550, -100), Daniel Radcliffe, [-252.  314.], 1, 1.3340041999472305
sub-15, trial47, 12, Matt Damon, ID12_IM02.bmp, (-300, 300), Ben Stiller, (550, -100), Patrick Dempsey, (-550, -100), Leonardo DiCaprio, (300, 300), George Clooney, (0, -400), Matt Damon, [-164.  294.], 1, 1.8931914999848232
sub-15, trial16, 18, Ryan Reynolds, ID18_IM03.bmp, (300, 300), Justin Timberlake, (-300, 300), Hugh Jackman, (-550, -100), Ryan Gosling, (0, -400), George Clooney, (550, -100), Ryan Reynolds, [345. 296.], 1, 4.87278159998823
sub-15, trial64, 17, Ryan Gosling, ID17_IM04.bmp, (300, 300), Leonardo DiCaprio, (0, -400), Ben Stiller, (-550, -100), Hugh Jackman, (-300, 300), Matt Damon, (550, -100), Ryan Gosling, [359. 274.], 1, 3.7637773000169545
sub-15, trial72, 08, Hugh Jackman, ID08_IM02.bmp, (-300, 300), Patrick Dempsey, (-550, -100), Ben Stiller, (550, -100), Justin Timberlake, (300, 300), Daniel Craig, (0, -400), Hugh Jackman, [-236.  294.], 1, 1.250633499934338
sub-15, trial12, 15, Robert Downey Jr, ID15_IM02.bmp, (-550, -100), George Clooney, (550, -100), Justin Timberlake, (300, 300), Leonardo DiCaprio, (-300, 300), Hugh Jackman, (0, -400), Robert Downey Jr, [-443. -103.], 1, 1.1905047999462113
sub-15, trial18, 15, Robert Downey Jr, ID15_IM03.bmp, (550, -100), Elijah Wood, (0, -400), Daniel Craig, (300, 300), Justin Timberlake, (-300, 300), Brad Pitt, (-550, -100), Robert Downey Jr, [540. -84.], 1, 1.325637900037691
sub-15, trial33, 02, Ben Stiller, ID02_IM01.bmp, (0, -400), Daniel Craig, (-300, 300), Leonardo DiCaprio, (550, -100), Brad Pitt, (-550, -100), Robert Pattinson, (300, 300), Ben Stiller, [ -12. -401.], 1, 1.6541754000354558
sub-15, trial29, 01, Ben Affleck, ID01_IM04.bmp, (550, -100), Ben Stiller, (300, 300), Ryan Gosling, (-300, 300), Orlando Bloom, (0, -400), Daniel Radcliffe, (-550, -100), familiar face, [ -12. -144.], 1, 3.665817799977958
sub-15, trial17, 03, Brad Pitt, ID03_IM03.bmp, (0, -400), George Clooney, (300, 300), Justin Timberlake, (-300, 300), Keanu Reeves, (-550, -100), Ben Stiller, (550, -100), Brad Pitt, [   6. -399.], 1, 2.0618256999878213
