subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-07, trial28, 13, Orlando Bloom, ID13_IM02.bmp, (300, 300), Justin Timberlake, (0, -400), Patrick Dempsey, (-300, 300), Keanu Reeves, (550, -100), Ryan Reynolds, (-550, -100), Orlando Bloom, [221. 281.], 1, 0.8683117998298258
sub-07, trial10, 03, Brad Pitt, ID03_IM01.bmp, (300, 300), Daniel Radcliffe, (-300, 300), Ben Affleck, (550, -100), Daniel Craig, (0, -400), Keanu Reeves, (-550, -100), Brad Pitt, [230. 273.], 1, 2.3285018999595195
sub-07, trial21, 01, Ben Affleck, ID01_IM02.bmp, (550, -100), Orlando Bloom, (300, 300), Robert Downey Jr, (-550, -100), Ryan Gosling, (0, -400), Justin Timberlake, (-300, 300), Ben Affleck, [ 410. -120.], 1, 2.128636500099674
sub-07, trial45, 07, George Clooney, ID07_IM03.bmp, (0, -400), Daniel Radcliffe, (-550, -100), Brad Pitt, (-300, 300), Ryan Gosling, (300, 300), Justin Timberlake, (550, -100), George Clooney, [ -48. -385.], 1, 1.9933515000157058
sub-07, trial65, 15, Robert Downey Jr, ID15_IM01.bmp, (0, -400), Ben Stiller, (-550, -100), Patrick Dempsey, (550, -100), Daniel Craig, (-300, 300), Elijah Wood, (300, 300), Robert Downey Jr, [  53. -377.], 1, 1.7916241001803428
sub-07, trial61, 12, Matt Damon, ID12_IM02.bmp, (-300, 300), Hugh Jackman, (550, -100), Robert Pattinson, (300, 300), Daniel Radcliffe, (-550, -100), Ben Stiller, (0, -400), Matt Damon, [-197.  273.], 1, 1.2699473998509347
sub-07, trial38, 08, Hugh Jackman, ID08_IM02.bmp, (-300, 300), Orlando Bloom, (300, 300), George Clooney, (-550, -100), Justin Timberlake, (0, -400), Daniel Craig, (550, -100), Hugh Jackman, [-224.  277.], 1, 1.176777700195089
sub-07, trial33, 08, Hugh Jackman, ID08_IM04.bmp, (550, -100), Daniel Radcliffe, (0, -400), Ben Affleck, (300, 300), Elijah Wood, (-300, 300), Ryan Reynolds, (-550, -100), Hugh Jackman, [422. -98.], 1, 1.7695231998804957
sub-07, trial66, 18, Ryan Reynolds, ID18_IM04.bmp, (-550, -100), Matt Damon, (300, 300), Daniel Craig, (-300, 300), Robert Pattinson, (550, -100), Elijah Wood, (0, -400), Ryan Reynolds, [-416. -105.], 1, 1.3913834998384118
sub-07, trial7, 14, Patrick Dempsey, ID14_IM01.bmp, (300, 300), Ben Stiller, (-300, 300), Keanu Reeves, (-550, -100), Justin Timberlake, (550, -100), George Clooney, (0, -400), Patrick Dempsey, [144. 290.], 1, 1.1014930000528693
sub-07, trial63, 08, Hugh Jackman, ID08_IM03.bmp, (-300, 300), Daniel Craig, (-550, -100), Orlando Bloom, (300, 300), Keanu Reeves, (550, -100), Ben Stiller, (0, -400), Hugh Jackman, [-287.  274.], 1, 1.0080836000852287
sub-07, trial56, 08, Hugh Jackman, ID08_IM01.bmp, (-300, 300), Orlando Bloom, (300, 300), Ben Affleck, (0, -400), Brad Pitt, (550, -100), Justin Timberlake, (-550, -100), Hugh Jackman, [-225.  296.], 1, 0.8309968002140522
