subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-08, trial37, 16, Robert Pattinson, ID16_IM02.bmp, (-550, -100), Ryan Gosling, (300, 300), Elijah Wood, (-300, 300), Orlando Bloom, (550, -100), Daniel Radcliffe, (0, -400), Robert Pattinson, [-417. -109.], 1, 0.9681174999568611
sub-08, trial32, 13, Orlando Bloom, ID13_IM04.bmp, (0, -400), Robert Downey Jr, (-550, -100), Leonardo DiCaprio, (-300, 300), Elijah Wood, (300, 300), Justin Timberlake, (550, -100), familiar face, [ 34. -99.], 1, 3.575930400053039
sub-08, trial46, 05, Daniel Radcliffe, ID05_IM03.bmp, (300, 300), Orlando Bloom, (-300, 300), Patrick Dempsey, (0, -400), Robert Downey Jr, (-550, -100), Hugh Jackman, (550, -100), Daniel Radcliffe, [370. 304.], 1, 1.5662065001670271
sub-08, trial31, 01, Ben Affleck, ID01_IM04.bmp, (0, -400), Daniel Craig, (-550, -100), Justin Timberlake, (550, -100), Leonardo DiCaprio, (-300, 300), Robert Downey Jr, (300, 300), Ben Affleck, [  52. -390.], 1, 1.7332913998980075
sub-08, trial26, 04, Daniel Craig, ID04_IM02.bmp, (-550, -100), Robert Downey Jr, (0, -400), Robert Pattinson, (-300, 300), Daniel Radcliffe, (300, 300), George Clooney, (550, -100), Daniel Craig, [-528.  -92.], 1, 0.6523786999750882
sub-08, trial18, 07, George Clooney, ID07_IM04.bmp, (300, 300), Justin Timberlake, (550, -100), Daniel Craig, (0, -400), Hugh Jackman, (-550, -100), Robert Downey Jr, (-300, 300), George Clooney, [289. 327.], 1, 2.4978614998981357
sub-08, trial71, 06, Elijah Wood, ID06_IM02.bmp, (550, -100), Daniel Craig, (0, -400), Patrick Dempsey, (-300, 300), Brad Pitt, (300, 300), Daniel Radcliffe, (-550, -100), familiar face, [  15. -125.], 1, 1.819656000006944
sub-08, trial58, 05, Daniel Radcliffe, ID05_IM01.bmp, (0, -400), Justin Timberlake, (-550, -100), Elijah Wood, (550, -100), George Clooney, (300, 300), Daniel Craig, (-300, 300), Daniel Radcliffe, [ -36. -380.], 1, 1.6573318000882864
sub-08, trial44, 04, Daniel Craig, ID04_IM01.bmp, (-300, 300), George Clooney, (550, -100), Elijah Wood, (0, -400), Robert Pattinson, (-550, -100), Ryan Reynolds, (300, 300), Daniel Craig, [-220.  274.], 1, 2.028706399956718
sub-08, trial67, 02, Ben Stiller, ID02_IM02.bmp, (-550, -100), Keanu Reeves, (-300, 300), Leonardo DiCaprio, (550, -100), Justin Timberlake, (300, 300), Ryan Gosling, (0, -400), Ben Stiller, [-527. -105.], 1, 1.1617035001982003
sub-08, trial49, 16, Robert Pattinson, ID16_IM01.bmp, (550, -100), Matt Damon, (0, -400), Ryan Reynolds, (-550, -100), Justin Timberlake, (300, 300), Ben Affleck, (-300, 300), Robert Pattinson, [ 446. -107.], 1, 1.6740403999574482
sub-08, trial40, 14, Patrick Dempsey, ID14_IM01.bmp, (550, -100), George Clooney, (0, -400), Daniel Craig, (-300, 300), Leonardo DiCaprio, (-550, -100), Ben Affleck, (300, 300), Patrick Dempsey, [516. -76.], 1, 2.5087024001404643
sub-08, trial27, 12, Matt Damon, ID12_IM04.bmp, (0, -400), Daniel Radcliffe, (-550, -100), Ryan Gosling, (300, 300), Orlando Bloom, (550, -100), Elijah Wood, (-300, 300), Matt Damon, [  22. -406.], 1, 0.9898248000536114
sub-08, trial3, 18, Ryan Reynolds, ID18_IM02.bmp, (300, 300), Daniel Craig, (-550, -100), Daniel Radcliffe, (0, -400), Brad Pitt, (550, -100), Ben Stiller, (-300, 300), Ryan Reynolds, [283. 303.], 1, 2.236153200035915
sub-08, trial9, 13, Orlando Bloom, ID13_IM01.bmp, (0, -400), Justin Timberlake, (300, 300), Ryan Gosling, (-550, -100), Patrick Dempsey, (-300, 300), Robert Downey Jr, (550, -100), Orlando Bloom, [ -46. -416.], 1, 0.9755955999717116
sub-08, trial35, 15, Robert Downey Jr, ID15_IM04.bmp, (0, -400), Brad Pitt, (-550, -100), Keanu Reeves, (300, 300), George Clooney, (-300, 300), Hugh Jackman, (550, -100), Robert Downey Jr, [  83. -390.], 1, 2.238667800091207
sub-08, trial20, 18, Ryan Reynolds, ID18_IM01.bmp, (300, 300), Justin Timberlake, (-550, -100), Brad Pitt, (-300, 300), Elijah Wood, (0, -400), Keanu Reeves, (550, -100), Ryan Reynolds, [240. 307.], 1, 1.9561040999833494
sub-08, trial51, 15, Robert Downey Jr, ID15_IM01.bmp, (-550, -100), Ben Stiller, (0, -400), Daniel Craig, (550, -100), Ben Affleck, (-300, 300), George Clooney, (300, 300), Robert Downey Jr, [-423.  -73.], 1, 1.203192399814725
sub-08, trial69, 10, Keanu Reeves, ID10_IM03.bmp, (-300, 300), Ryan Reynolds, (550, -100), Orlando Bloom, (300, 300), Brad Pitt, (-550, -100), Leonardo DiCaprio, (0, -400), Keanu Reeves, [-145.  310.], 1, 1.5210357001051307
sub-08, trial4, 16, Robert Pattinson, ID16_IM04.bmp, (-550, -100), Robert Downey Jr, (0, -400), Matt Damon, (-300, 300), Ben Affleck, (550, -100), George Clooney, (300, 300), Robert Pattinson, [-488. -109.], 1, 0.8422381998971105
sub-08, trial33, 17, Ryan Gosling, ID17_IM01.bmp, (0, -400), Ben Stiller, (550, -100), Matt Damon, (-300, 300), Ben Affleck, (300, 300), Leonardo DiCaprio, (-550, -100), Ryan Gosling, [ -49. -369.], 1, 1.829510500188917
sub-08, trial50, 03, Brad Pitt, ID03_IM04.bmp, (0, -400), Daniel Craig, (300, 300), Patrick Dempsey, (550, -100), Keanu Reeves, (-300, 300), Leonardo DiCaprio, (-550, -100), Brad Pitt, [ -13. -394.], 1, 0.6429673000238836
sub-08, trial42, 11, Leonardo DiCaprio, ID11_IM02.bmp, (-300, 300), Robert Downey Jr, (0, -400), Robert Pattinson, (300, 300), Brad Pitt, (-550, -100), Daniel Craig, (550, -100), Leonardo DiCaprio, [-208.  305.], 1, 1.4385981000959873
sub-08, trial29, 16, Robert Pattinson, ID16_IM03.bmp, (0, -400), Orlando Bloom, (-300, 300), Ryan Gosling, (300, 300), George Clooney, (550, -100), Daniel Craig, (-550, -100), Robert Pattinson, [  83. -383.], 1, 1.6910677999258041
sub-08, trial72, 18, Ryan Reynolds, ID18_IM04.bmp, (300, 300), Patrick Dempsey, (-300, 300), Matt Damon, (0, -400), Elijah Wood, (-550, -100), Justin Timberlake, (550, -100), Ryan Reynolds, [294. 294.], 1, 3.0368371999356896
sub-08, trial2, 05, Daniel Radcliffe, ID05_IM02.bmp, (0, -400), Keanu Reeves, (550, -100), Patrick Dempsey, (-550, -100), Robert Downey Jr, (300, 300), George Clooney, (-300, 300), familiar face, [ 20. -86.], 1, 0.6903586001135409
sub-08, trial43, 08, Hugh Jackman, ID08_IM04.bmp, (300, 300), Daniel Radcliffe, (-300, 300), Ben Stiller, (0, -400), Robert Pattinson, (550, -100), Brad Pitt, (-550, -100), Hugh Jackman, [278. 287.], 1, 3.4767426000908017
sub-08, trial63, 08, Hugh Jackman, ID08_IM02.bmp, (0, -400), Elijah Wood, (-550, -100), Ryan Gosling, (-300, 300), Ryan Reynolds, (300, 300), Robert Pattinson, (550, -100), Hugh Jackman, [  -3. -381.], 1, 2.214945600135252
sub-08, trial36, 12, Matt Damon, ID12_IM01.bmp, (-300, 300), Ryan Reynolds, (550, -100), Robert Downey Jr, (300, 300), Leonardo DiCaprio, (0, -400), Daniel Craig, (-550, -100), Matt Damon, [-216.  328.], 1, 1.9629945999477059
sub-08, trial54, 12, Matt Damon, ID12_IM03.bmp, (-550, -100), Robert Pattinson, (550, -100), Daniel Radcliffe, (-300, 300), Ryan Reynolds, (0, -400), Hugh Jackman, (300, 300), Matt Damon, [-508. -106.], 1, 0.8106368000153452
sub-08, trial64, 01, Ben Affleck, ID01_IM03.bmp, (550, -100), Patrick Dempsey, (0, -400), Daniel Craig, (300, 300), Leonardo DiCaprio, (-300, 300), Elijah Wood, (-550, -100), Ben Affleck, [462. -78.], 1, 1.880401800153777
sub-08, trial47, 12, Matt Damon, ID12_IM02.bmp, (550, -100), Leonardo DiCaprio, (-300, 300), Daniel Radcliffe, (300, 300), Daniel Craig, (-550, -100), Robert Pattinson, (0, -400), Matt Damon, [ 593. -121.], 1, 1.7468133999500424
sub-08, trial1, 06, Elijah Wood, ID06_IM04.bmp, (550, -100), Ryan Gosling, (0, -400), Daniel Craig, (-550, -100), Hugh Jackman, (300, 300), Robert Pattinson, (-300, 300), familiar face, [-127.  -85.], 1, 0.7785654000472277
sub-08, trial41, 02, Ben Stiller, ID02_IM01.bmp, (-550, -100), Ben Affleck, (300, 300), Ryan Reynolds, (-300, 300), Justin Timberlake, (0, -400), Robert Pattinson, (550, -100), Ben Stiller, [-457. -101.], 1, 3.001315899891779
sub-08, trial12, 14, Patrick Dempsey, ID14_IM03.bmp, (300, 300), Matt Damon, (-300, 300), Elijah Wood, (-550, -100), Ben Affleck, (0, -400), Keanu Reeves, (550, -100), Patrick Dempsey, [188. 319.], 1, 2.0632176001090556
sub-08, trial34, 17, Ryan Gosling, ID17_IM03.bmp, (550, -100), Daniel Craig, (-550, -100), Ben Affleck, (0, -400), Elijah Wood, (-300, 300), Keanu Reeves, (300, 300), Ben Affleck, [  59. -368.], 0, 4.282847600057721
sub-08, trial52, 11, Leonardo DiCaprio, ID11_IM04.bmp, (-300, 300), Daniel Craig, (300, 300), Ryan Reynolds, (-550, -100), Robert Pattinson, (0, -400), Patrick Dempsey, (550, -100), Leonardo DiCaprio, [-218.  301.], 1, 1.1164583000354469
sub-08, trial59, 09, Justin Timberlake, ID09_IM01.bmp, (0, -400), Orlando Bloom, (-550, -100), Leonardo DiCaprio, (-300, 300), Daniel Craig, (550, -100), George Clooney, (300, 300), Justin Timberlake, [  28. -404.], 1, 1.8864054998848587
sub-08, trial14, 14, Patrick Dempsey, ID14_IM04.bmp, (0, -400), Ben Stiller, (550, -100), Hugh Jackman, (-550, -100), Ryan Reynolds, (-300, 300), Daniel Craig, (300, 300), Patrick Dempsey, [ 131. -422.], 1, 2.4485949999652803
sub-08, trial19, 01, Ben Affleck, ID01_IM02.bmp, (-550, -100), Brad Pitt, (0, -400), Keanu Reeves, (-300, 300), George Clooney, (550, -100), Hugh Jackman, (300, 300), Ben Affleck, [-447. -116.], 1, 1.8596461000852287
sub-08, trial13, 13, Orlando Bloom, ID13_IM03.bmp, (550, -100), George Clooney, (300, 300), Ryan Gosling, (0, -400), Elijah Wood, (-300, 300), Robert Pattinson, (-550, -100), Orlando Bloom, [476. -57.], 1, 1.2556511000730097
sub-08, trial10, 13, Orlando Bloom, ID13_IM02.bmp, (-300, 300), Robert Pattinson, (550, -100), Ben Stiller, (0, -400), Ben Affleck, (-550, -100), Patrick Dempsey, (300, 300), Orlando Bloom, [-198.  259.], 1, 1.5562535000499338
sub-08, trial61, 10, Keanu Reeves, ID10_IM04.bmp, (300, 300), Matt Damon, (550, -100), Leonardo DiCaprio, (-300, 300), Ben Stiller, (-550, -100), Orlando Bloom, (0, -400), Keanu Reeves, [301. 266.], 1, 1.6351350999902934
sub-08, trial62, 03, Brad Pitt, ID03_IM03.bmp, (-550, -100), Justin Timberlake, (550, -100), George Clooney, (0, -400), Elijah Wood, (300, 300), Robert Downey Jr, (-300, 300), Brad Pitt, [-480. -112.], 1, 2.2310817998368293
sub-08, trial68, 09, Justin Timberlake, ID09_IM04.bmp, (-300, 300), Keanu Reeves, (-550, -100), Daniel Craig, (550, -100), Ben Affleck, (0, -400), Elijah Wood, (300, 300), Justin Timberlake, [-263.  293.], 1, 1.8610445000231266
sub-08, trial45, 07, George Clooney, ID07_IM03.bmp, (0, -400), Orlando Bloom, (-550, -100), Keanu Reeves, (-300, 300), Hugh Jackman, (300, 300), Matt Damon, (550, -100), George Clooney, [  18. -414.], 1, 1.8869675998575985
sub-08, trial56, 09, Justin Timberlake, ID09_IM03.bmp, (550, -100), Ben Stiller, (-300, 300), Ryan Reynolds, (-550, -100), Orlando Bloom, (300, 300), Hugh Jackman, (0, -400), Justin Timberlake, [ 445. -108.], 1, 1.8260254999622703
sub-08, trial25, 02, Ben Stiller, ID02_IM04.bmp, (-300, 300), Daniel Craig, (300, 300), Ryan Gosling, (0, -400), Leonardo DiCaprio, (-550, -100), Robert Downey Jr, (550, -100), Ben Stiller, [-205.  310.], 1, 2.7591486999299377
sub-08, trial38, 02, Ben Stiller, ID02_IM03.bmp, (550, -100), Hugh Jackman, (300, 300), Orlando Bloom, (-300, 300), Ben Affleck, (0, -400), Matt Damon, (-550, -100), Ben Stiller, [ 540. -116.], 1, 2.374530600151047
