subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-09, trial38, 08, Hugh Jackman, ID08_IM01.bmp, (550, -100), Justin Timberlake, (300, 300), Ryan Reynolds, (0, -400), Elijah Wood, (-550, -100), Daniel Radcliffe, (-300, 300), idk, [-78.  83.], 0, 2.5591632002033293
sub-09, trial28, 18, Ryan Reynolds, ID18_IM01.bmp, (-300, 300), Elijah Wood, (300, 300), George Clooney, (0, -400), Hugh Jackman, (550, -100), Brad Pitt, (-550, -100), idk, [-77.  86.], 0, 0.7743285000324249
sub-09, trial12, 02, Ben Stiller, ID02_IM02.bmp, (-550, -100), Elijah Wood, (300, 300), Daniel Craig, (550, -100), Matt Damon, (-300, 300), Daniel Radcliffe, (0, -400), Ben Stiller, [-431.  -80.], 1, 2.5171837001107633
sub-09, trial10, 02, Ben Stiller, ID02_IM01.bmp, (0, -400), Ben Affleck, (-550, -100), Robert Downey Jr, (-300, 300), Leonardo DiCaprio, (550, -100), Daniel Radcliffe, (300, 300), Ben Stiller, [ -45. -409.], 1, 5.373848999850452
sub-09, trial47, 03, Brad Pitt, ID03_IM03.bmp, (-550, -100), Ben Stiller, (-300, 300), Orlando Bloom, (300, 300), Justin Timberlake, (550, -100), Robert Downey Jr, (0, -400), idk, [-115.   52.], 0, 3.2127844998613
sub-09, trial59, 16, Robert Pattinson, ID16_IM01.bmp, (-300, 300), Daniel Radcliffe, (550, -100), Brad Pitt, (0, -400), Daniel Craig, (300, 300), Justin Timberlake, (-550, -100), Robert Pattinson, [-339.  297.], 1, 1.9459152999334037
sub-09, trial26, 12, Matt Damon, ID12_IM01.bmp, (-550, -100), Ryan Reynolds, (300, 300), Ben Stiller, (550, -100), Elijah Wood, (-300, 300), Patrick Dempsey, (0, -400), Matt Damon, [-421.  -62.], 1, 2.4904560998547822
sub-09, trial7, 08, Hugh Jackman, ID08_IM02.bmp, (0, -400), George Clooney, (-300, 300), Daniel Craig, (300, 300), Ben Affleck, (-550, -100), Justin Timberlake, (550, -100), Hugh Jackman, [ -37. -410.], 1, 2.9166580999735743
sub-09, trial54, 16, Robert Pattinson, ID16_IM02.bmp, (-300, 300), Orlando Bloom, (0, -400), Patrick Dempsey, (550, -100), Daniel Radcliffe, (-550, -100), Justin Timberlake, (300, 300), Robert Pattinson, [-239.  298.], 1, 1.573357599787414
sub-09, trial55, 09, Justin Timberlake, ID09_IM03.bmp, (0, -400), Keanu Reeves, (-550, -100), Elijah Wood, (-300, 300), Ryan Reynolds, (550, -100), Patrick Dempsey, (300, 300), Justin Timberlake, [  16. -383.], 1, 2.108560400083661
sub-09, trial64, 03, Brad Pitt, ID03_IM01.bmp, (550, -100), Robert Pattinson, (-300, 300), Leonardo DiCaprio, (0, -400), Ryan Gosling, (-550, -100), Daniel Craig, (300, 300), Ryan Gosling, [-475. -113.], 0, 3.1663162999320775
sub-09, trial43, 09, Justin Timberlake, ID09_IM04.bmp, (-550, -100), Ryan Reynolds, (550, -100), Ryan Gosling, (-300, 300), Orlando Bloom, (300, 300), Keanu Reeves, (0, -400), Justin Timberlake, [-441. -122.], 1, 2.4857115999329835
sub-09, trial11, 15, Robert Downey Jr, ID15_IM04.bmp, (550, -100), Patrick Dempsey, (300, 300), Elijah Wood, (-300, 300), Ben Stiller, (0, -400), Orlando Bloom, (-550, -100), Robert Downey Jr, [470. -67.], 1, 3.2076415000483394
sub-09, trial57, 06, Elijah Wood, ID06_IM02.bmp, (300, 300), Daniel Radcliffe, (-300, 300), Ryan Reynolds, (550, -100), Keanu Reeves, (0, -400), Leonardo DiCaprio, (-550, -100), Elijah Wood, [209. 287.], 1, 3.8134951000101864
sub-09, trial49, 04, Daniel Craig, ID04_IM04.bmp, (0, -400), Ryan Reynolds, (-550, -100), Daniel Radcliffe, (300, 300), Keanu Reeves, (-300, 300), Patrick Dempsey, (550, -100), Daniel Craig, [ 151. -394.], 1, 6.835287900175899
