subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-05, trial72, 05, Daniel Radcliffe, ID05_IM03.bmp, (-550, -100), George Clooney, (-300, 300), Robert Pattinson, (0, -400), Orlando Bloom, (550, -100), Keanu Reeves, (300, 300), Daniel Radcliffe, [-431.  -68.], 1, 1.7962272998411208
sub-05, trial48, 18, Ryan Reynolds, ID18_IM01.bmp, (-550, -100), Ryan Gosling, (300, 300), Ben Stiller, (0, -400), Daniel Craig, (-300, 300), Leonardo DiCaprio, (550, -100), Ryan Gosling, [325. 307.], 0, 1.6420753998681903
sub-05, trial29, 02, Ben Stiller, ID02_IM03.bmp, (-300, 300), Robert Downey Jr, (300, 300), Leonardo DiCaprio, (-550, -100), Daniel Radcliffe, (550, -100), Matt Damon, (0, -400), familiar face, [ 80. -87.], 1, 2.037743200082332
sub-05, trial2, 03, Brad Pitt, ID03_IM01.bmp, (-300, 300), Justin Timberlake, (300, 300), Robert Downey Jr, (550, -100), Keanu Reeves, (-550, -100), Leonardo DiCaprio, (0, -400), Brad Pitt, [-256.  280.], 1, 2.5062780999578536
sub-05, trial58, 18, Ryan Reynolds, ID18_IM04.bmp, (0, -400), Ryan Gosling, (550, -100), George Clooney, (300, 300), Brad Pitt, (-550, -100), Justin Timberlake, (-300, 300), Ryan Reynolds, [ -11. -391.], 1, 2.3639436000958085
sub-05, trial61, 16, Robert Pattinson, ID16_IM01.bmp, (550, -100), George Clooney, (0, -400), Patrick Dempsey, (-550, -100), Ryan Gosling, (-300, 300), Hugh Jackman, (300, 300), Robert Pattinson, [420. -78.], 1, 1.826785699930042
sub-05, trial32, 13, Orlando Bloom, ID13_IM02.bmp, (0, -400), Leonardo DiCaprio, (550, -100), Ryan Reynolds, (300, 300), Patrick Dempsey, (-550, -100), Elijah Wood, (-300, 300), Orlando Bloom, [  18. -361.], 1, 1.2231791000813246
sub-05, trial14, 12, Matt Damon, ID12_IM02.bmp, (0, -400), Justin Timberlake, (550, -100), Robert Downey Jr, (300, 300), Ben Affleck, (-300, 300), Ryan Reynolds, (-550, -100), Matt Damon, [ 157. -360.], 1, 2.467741900123656
sub-05, trial51, 04, Daniel Craig, ID04_IM01.bmp, (-300, 300), Ryan Gosling, (300, 300), Justin Timberlake, (0, -400), George Clooney, (-550, -100), Elijah Wood, (550, -100), Daniel Craig, [-187.  281.], 1, 0.9024282000027597
sub-05, trial56, 13, Orlando Bloom, ID13_IM03.bmp, (-300, 300), Elijah Wood, (0, -400), Ryan Gosling, (-550, -100), Hugh Jackman, (550, -100), Ryan Reynolds, (300, 300), Orlando Bloom, [-270.  264.], 1, 3.336554499808699
sub-05, trial53, 11, Leonardo DiCaprio, ID11_IM03.bmp, (-300, 300), Ryan Reynolds, (550, -100), Orlando Bloom, (300, 300), Daniel Radcliffe, (-550, -100), Elijah Wood, (0, -400), Leonardo DiCaprio, [-238.  301.], 1, 2.4484468000009656
sub-05, trial8, 02, Ben Stiller, ID02_IM04.bmp, (-300, 300), Elijah Wood, (550, -100), Brad Pitt, (0, -400), Hugh Jackman, (-550, -100), Leonardo DiCaprio, (300, 300), familiar face, [ 16. -92.], 1, 2.358435499947518
sub-05, trial12, 07, George Clooney, ID07_IM02.bmp, (300, 300), Elijah Wood, (-550, -100), Patrick Dempsey, (550, -100), Brad Pitt, (0, -400), Ben Affleck, (-300, 300), George Clooney, [202. 320.], 1, 1.8367018001154065
sub-05, trial47, 08, Hugh Jackman, ID08_IM03.bmp, (550, -100), Ryan Gosling, (-550, -100), Justin Timberlake, (-300, 300), Robert Downey Jr, (0, -400), George Clooney, (300, 300), Hugh Jackman, [413. -79.], 1, 1.560467700008303
sub-05, trial39, 03, Brad Pitt, ID03_IM02.bmp, (300, 300), Robert Downey Jr, (-300, 300), Ryan Reynolds, (550, -100), Orlando Bloom, (-550, -100), Hugh Jackman, (0, -400), Brad Pitt, [259. 295.], 1, 1.4973169001750648
sub-05, trial10, 09, Justin Timberlake, ID09_IM03.bmp, (300, 300), Leonardo DiCaprio, (0, -400), Ryan Reynolds, (-550, -100), Orlando Bloom, (550, -100), Daniel Radcliffe, (-300, 300), Justin Timberlake, [288. 285.], 1, 2.2103017999324948
