subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-20, trial5, 04, Daniel Craig, ID04_IM03.bmp, (300, 300), Brad Pitt, (-300, 300), Robert Pattinson, (0, -400), George Clooney, (550, -100), Elijah Wood, (-550, -100), Daniel Craig, [248. 290.], 1, 2.991196900024079
sub-20, trial60, 16, Robert Pattinson, ID16_IM04.bmp, (550, -100), Leonardo DiCaprio, (0, -400), Daniel Radcliffe, (-550, -100), Ben Stiller, (-300, 300), Justin Timberlake, (300, 300), Robert Pattinson, [434. -90.], 1, 1.8131008999189362
sub-20, trial18, 16, Robert Pattinson, ID16_IM03.bmp, (-550, -100), Robert Downey Jr, (-300, 300), George Clooney, (550, -100), Justin Timberlake, (0, -400), Ben Affleck, (300, 300), Robert Pattinson, [-402.  -91.], 1, 2.6578852999955416
sub-20, trial33, 02, Ben Stiller, ID02_IM02.bmp, (0, -400), Leonardo DiCaprio, (300, 300), Ryan Gosling, (-300, 300), Daniel Radcliffe, (-550, -100), Orlando Bloom, (550, -100), familiar face, [  91. -128.], 1, 1.8367766999872401
sub-20, trial27, 05, Daniel Radcliffe, ID05_IM04.bmp, (-300, 300), Elijah Wood, (-550, -100), Ryan Reynolds, (0, -400), Brad Pitt, (550, -100), Orlando Bloom, (300, 300), Daniel Radcliffe, [-270.  301.], 1, 5.234141899971291
sub-20, trial34, 17, Ryan Gosling, ID17_IM02.bmp, (550, -100), Robert Downey Jr, (-300, 300), Daniel Radcliffe, (0, -400), Matt Damon, (-550, -100), Ben Stiller, (300, 300), Ryan Gosling, [483. -79.], 1, 2.1754748000530526
sub-20, trial52, 05, Daniel Radcliffe, ID05_IM03.bmp, (-550, -100), Elijah Wood, (300, 300), Leonardo DiCaprio, (550, -100), Keanu Reeves, (0, -400), Ben Stiller, (-300, 300), Daniel Radcliffe, [-483.  -97.], 1, 4.901515499921516
sub-20, trial44, 14, Patrick Dempsey, ID14_IM02.bmp, (0, -400), Robert Pattinson, (550, -100), Hugh Jackman, (300, 300), Brad Pitt, (-550, -100), Leonardo DiCaprio, (-300, 300), familiar face, [ 116. -124.], 1, 4.255528000066988
sub-20, trial8, 09, Justin Timberlake, ID09_IM01.bmp, (-550, -100), Ryan Reynolds, (300, 300), Robert Downey Jr, (-300, 300), Hugh Jackman, (550, -100), Ben Stiller, (0, -400), familiar face, [  98. -106.], 1, 1.3470750000560656
sub-20, trial28, 17, Ryan Gosling, ID17_IM04.bmp, (550, -100), Robert Pattinson, (-550, -100), Daniel Radcliffe, (0, -400), Robert Downey Jr, (-300, 300), Matt Damon, (300, 300), Ryan Gosling, [418. -96.], 1, 2.643345499993302
sub-20, trial16, 07, George Clooney, ID07_IM01.bmp, (300, 300), Patrick Dempsey, (-300, 300), Robert Downey Jr, (-550, -100), Hugh Jackman, (0, -400), Robert Pattinson, (550, -100), George Clooney, [301. 308.], 1, 1.6394153999863192
sub-20, trial11, 10, Keanu Reeves, ID10_IM03.bmp, (0, -400), Ben Affleck, (300, 300), Ryan Reynolds, (-550, -100), Daniel Radcliffe, (550, -100), Elijah Wood, (-300, 300), familiar face, [ 102. -121.], 1, 2.2271830999525264
sub-20, trial67, 01, Ben Affleck, ID01_IM03.bmp, (550, -100), Daniel Radcliffe, (0, -400), Patrick Dempsey, (-300, 300), Leonardo DiCaprio, (300, 300), Orlando Bloom, (-550, -100), familiar face, [ 127. -102.], 1, 1.8801108000334352
sub-20, trial21, 18, Ryan Reynolds, ID18_IM02.bmp, (-300, 300), George Clooney, (300, 300), Orlando Bloom, (550, -100), Patrick Dempsey, (-550, -100), Justin Timberlake, (0, -400), familiar face, [ 138. -111.], 1, 5.562798700062558
sub-20, trial65, 14, Patrick Dempsey, ID14_IM01.bmp, (-550, -100), Daniel Craig, (550, -100), Ben Stiller, (0, -400), Ben Affleck, (-300, 300), Robert Downey Jr, (300, 300), familiar face, [ 130. -114.], 1, 2.2734501999802887
sub-20, trial35, 08, Hugh Jackman, ID08_IM03.bmp, (-550, -100), Ben Stiller, (550, -100), Patrick Dempsey, (0, -400), Robert Pattinson, (-300, 300), Justin Timberlake, (300, 300), familiar face, [ 154. -100.], 1, 4.068961199955083
sub-20, trial70, 14, Patrick Dempsey, ID14_IM03.bmp, (-300, 300), Ryan Gosling, (300, 300), Orlando Bloom, (0, -400), Daniel Craig, (550, -100), Leonardo DiCaprio, (-550, -100), familiar face, [ 123. -102.], 1, 2.4084892000537366
sub-20, trial46, 02, Ben Stiller, ID02_IM01.bmp, (-300, 300), George Clooney, (550, -100), Matt Damon, (0, -400), Keanu Reeves, (-550, -100), Elijah Wood, (300, 300), familiar face, [ 145. -109.], 1, 1.9092456999933347
sub-20, trial62, 07, George Clooney, ID07_IM04.bmp, (550, -100), Elijah Wood, (0, -400), Ben Stiller, (-550, -100), Brad Pitt, (300, 300), Patrick Dempsey, (-300, 300), George Clooney, [457. -99.], 1, 1.3422453999519348
sub-20, trial20, 02, Ben Stiller, ID02_IM04.bmp, (550, -100), Ryan Gosling, (0, -400), Elijah Wood, (-550, -100), Hugh Jackman, (-300, 300), Orlando Bloom, (300, 300), familiar face, [ 155. -110.], 1, 2.2301238999934867
sub-20, trial1, 11, Leonardo DiCaprio, ID11_IM04.bmp, (0, -400), Matt Damon, (300, 300), Ben Stiller, (-550, -100), Ryan Reynolds, (-300, 300), Daniel Radcliffe, (550, -100), Leonardo DiCaprio, [  81. -395.], 1, 2.731075100018643
sub-20, trial58, 08, Hugh Jackman, ID08_IM04.bmp, (550, -100), Ben Stiller, (-550, -100), Patrick Dempsey, (0, -400), Leonardo DiCaprio, (-300, 300), Justin Timberlake, (300, 300), familiar face, [ 102. -120.], 1, 1.3248981999931857
sub-20, trial47, 09, Justin Timberlake, ID09_IM03.bmp, (-550, -100), Ben Stiller, (-300, 300), Daniel Craig, (300, 300), Hugh Jackman, (550, -100), Ryan Reynolds, (0, -400), familiar face, [ 112. -115.], 1, 0.7022153999423608
sub-20, trial19, 04, Daniel Craig, ID04_IM04.bmp, (-550, -100), Robert Pattinson, (550, -100), Robert Downey Jr, (300, 300), Daniel Radcliffe, (0, -400), Brad Pitt, (-300, 300), Daniel Craig, [-415. -106.], 1, 4.0152018999215215
sub-20, trial3, 15, Robert Downey Jr, ID15_IM01.bmp, (-550, -100), George Clooney, (300, 300), Elijah Wood, (0, -400), Keanu Reeves, (-300, 300), Ben Stiller, (550, -100), Robert Downey Jr, [-393. -121.], 1, 2.7080843000439927
sub-20, trial25, 13, Orlando Bloom, ID13_IM02.bmp, (-550, -100), Hugh Jackman, (550, -100), Patrick Dempsey, (0, -400), Robert Pattinson, (-300, 300), Ben Affleck, (300, 300), familiar face, [ 110. -118.], 1, 1.4457907999167219
sub-20, trial15, 12, Matt Damon, ID12_IM01.bmp, (550, -100), Hugh Jackman, (300, 300), Ryan Reynolds, (-550, -100), Robert Pattinson, (0, -400), Justin Timberlake, (-300, 300), familiar face, [ 125. -139.], 1, 3.8271870999597013
