subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-12, trial29, 15, Robert Downey Jr, ID15_IM04.bmp, (-550, -100), Elijah Wood, (0, -400), Orlando Bloom, (300, 300), Robert Pattinson, (550, -100), Daniel Craig, (-300, 300), familiar face, [  32. -117.], 1, 2.934613600024022
sub-12, trial31, 04, Daniel Craig, ID04_IM04.bmp, (-550, -100), Hugh Jackman, (0, -400), Robert Pattinson, (-300, 300), Ryan Reynolds, (300, 300), Justin Timberlake, (550, -100), Daniel Craig, [-459.  -90.], 1, 1.3590770000009798
sub-12, trial49, 07, George Clooney, ID07_IM01.bmp, (-300, 300), Hugh Jackman, (0, -400), Ben Stiller, (300, 300), Matt Damon, (-550, -100), Ryan Reynolds, (550, -100), George Clooney, [-218.  303.], 1, 1.3506955000339076
sub-12, trial1, 10, Keanu Reeves, ID10_IM04.bmp, (0, -400), Ben Stiller, (300, 300), Ryan Reynolds, (-300, 300), Elijah Wood, (-550, -100), Patrick Dempsey, (550, -100), familiar face, [  86. -109.], 1, 3.006924199988134
sub-12, trial3, 06, Elijah Wood, ID06_IM01.bmp, (0, -400), Robert Downey Jr, (300, 300), Daniel Craig, (550, -100), Patrick Dempsey, (-550, -100), Robert Pattinson, (-300, 300), Elijah Wood, [  96. -383.], 1, 2.8210671999840997
sub-12, trial56, 09, Justin Timberlake, ID09_IM03.bmp, (-550, -100), Ryan Reynolds, (300, 300), Keanu Reeves, (0, -400), Ben Affleck, (-300, 300), Daniel Craig, (550, -100), Justin Timberlake, [-509.  -98.], 1, 1.337502900045365
sub-12, trial39, 14, Patrick Dempsey, ID14_IM01.bmp, (-300, 300), Brad Pitt, (300, 300), Ryan Gosling, (-550, -100), Hugh Jackman, (550, -100), Keanu Reeves, (0, -400), Patrick Dempsey, [-224.  317.], 1, 1.88167929998599
sub-12, trial27, 11, Leonardo DiCaprio, ID11_IM03.bmp, (-550, -100), Ryan Reynolds, (550, -100), Orlando Bloom, (0, -400), Robert Pattinson, (300, 300), Ben Affleck, (-300, 300), Leonardo DiCaprio, [-475. -119.], 1, 1.4283509999513626
sub-12, trial11, 01, Ben Affleck, ID01_IM01.bmp, (-550, -100), Brad Pitt, (550, -100), Patrick Dempsey, (-300, 300), Hugh Jackman, (300, 300), Ryan Reynolds, (0, -400), Ben Affleck, [-465. -120.], 1, 2.7380801999825053
sub-12, trial35, 01, Ben Affleck, ID01_IM03.bmp, (300, 300), Orlando Bloom, (-550, -100), Brad Pitt, (0, -400), Elijah Wood, (-300, 300), Matt Damon, (550, -100), Ben Affleck, [284. 270.], 1, 2.217799499980174
sub-12, trial58, 04, Daniel Craig, ID04_IM01.bmp, (-550, -100), Ben Stiller, (550, -100), Orlando Bloom, (300, 300), Robert Pattinson, (0, -400), Keanu Reeves, (-300, 300), Daniel Craig, [-516.  -81.], 1, 2.1028902000398375
sub-12, trial41, 13, Orlando Bloom, ID13_IM03.bmp, (0, -400), Daniel Craig, (550, -100), Brad Pitt, (300, 300), Hugh Jackman, (-550, -100), Justin Timberlake, (-300, 300), familiar face, [  40. -143.], 1, 3.0566697000176646
sub-12, trial8, 08, Hugh Jackman, ID08_IM04.bmp, (550, -100), Ben Affleck, (-550, -100), Robert Pattinson, (0, -400), Ryan Gosling, (-300, 300), George Clooney, (300, 300), Hugh Jackman, [489. -98.], 1, 2.4440033999853767
sub-12, trial16, 02, Ben Stiller, ID02_IM03.bmp, (550, -100), Patrick Dempsey, (0, -400), Elijah Wood, (-300, 300), Brad Pitt, (300, 300), Matt Damon, (-550, -100), Ben Stiller, [461. -97.], 1, 1.5118570000049658
sub-12, trial47, 07, George Clooney, ID07_IM02.bmp, (-300, 300), Justin Timberlake, (0, -400), Ryan Reynolds, (550, -100), Robert Downey Jr, (-550, -100), Ben Affleck, (300, 300), George Clooney, [-284.  315.], 1, 1.0655575999990106
sub-12, trial51, 02, Ben Stiller, ID02_IM04.bmp, (300, 300), Orlando Bloom, (550, -100), Ryan Reynolds, (-300, 300), Patrick Dempsey, (0, -400), Robert Pattinson, (-550, -100), familiar face, [  49. -104.], 1, 3.8281169999972917
sub-12, trial46, 18, Ryan Reynolds, ID18_IM02.bmp, (-300, 300), George Clooney, (0, -400), Justin Timberlake, (-550, -100), Leonardo DiCaprio, (550, -100), Keanu Reeves, (300, 300), Ryan Reynolds, [-199.  314.], 1, 1.5771688999957405
sub-12, trial34, 13, Orlando Bloom, ID13_IM02.bmp, (-550, -100), Brad Pitt, (300, 300), Daniel Radcliffe, (-300, 300), Hugh Jackman, (0, -400), Ben Stiller, (550, -100), Orlando Bloom, [-522. -113.], 1, 2.167862400005106
sub-12, trial50, 11, Leonardo DiCaprio, ID11_IM04.bmp, (300, 300), Keanu Reeves, (0, -400), George Clooney, (-550, -100), Daniel Radcliffe, (550, -100), Ryan Gosling, (-300, 300), Leonardo DiCaprio, [236. 285.], 1, 1.4949650000198744
sub-12, trial62, 07, George Clooney, ID07_IM03.bmp, (-300, 300), Ben Affleck, (300, 300), Robert Pattinson, (0, -400), Elijah Wood, (-550, -100), Ryan Reynolds, (550, -100), George Clooney, [-330.  282.], 1, 0.9460691999993287
sub-12, trial61, 06, Elijah Wood, ID06_IM04.bmp, (0, -400), Justin Timberlake, (550, -100), Robert Pattinson, (-300, 300), George Clooney, (300, 300), Daniel Radcliffe, (-550, -100), familiar face, [  30. -128.], 1, 2.289454600017052
