subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-01, trial35, 16, Robert Pattinson, ID16_IM02.bmp, (550, -100), Justin Timberlake, (0, -400), Leonardo DiCaprio, (-550, -100), Ryan Reynolds, (300, 300), Matt Damon, (-300, 300), Robert Pattinson, [441. -68.], 1, 1.8655887000495568
sub-01, trial31, 04, Daniel Craig, ID04_IM03.bmp, (0, -400), George Clooney, (550, -100), Elijah Wood, (-300, 300), Hugh Jackman, (-550, -100), Leonardo DiCaprio, (300, 300), Daniel Craig, [  42. -383.], 1, 1.7412778999423608
sub-01, trial62, 11, Leonardo DiCaprio, ID11_IM02.bmp, (0, -400), Ryan Reynolds, (-300, 300), Orlando Bloom, (300, 300), Brad Pitt, (-550, -100), Ben Affleck, (550, -100), Leonardo DiCaprio, [ -67. -389.], 1, 1.148699100012891
sub-01, trial68, 16, Robert Pattinson, ID16_IM01.bmp, (550, -100), Leonardo DiCaprio, (300, 300), Keanu Reeves, (-300, 300), Orlando Bloom, (-550, -100), Ryan Gosling, (0, -400), Robert Pattinson, [505. -99.], 1, 1.5325179999927059
sub-01, trial12, 12, Matt Damon, ID12_IM02.bmp, (-300, 300), Ryan Reynolds, (-550, -100), Ben Stiller, (550, -100), Robert Downey Jr, (0, -400), Patrick Dempsey, (300, 300), Matt Damon, [-240.  292.], 1, 0.9802995999343693
sub-01, trial55, 14, Patrick Dempsey, ID14_IM01.bmp, (-550, -100), Ben Affleck, (-300, 300), Elijah Wood, (0, -400), George Clooney, (550, -100), Brad Pitt, (300, 300), Patrick Dempsey, [-404.  -81.], 1, 1.3701969999819994
sub-01, trial72, 12, Matt Damon, ID12_IM03.bmp, (550, -100), Keanu Reeves, (0, -400), Ryan Gosling, (300, 300), Brad Pitt, (-550, -100), Elijah Wood, (-300, 300), Matt Damon, [448. -87.], 1, 1.5854402999393642
sub-01, trial26, 03, Brad Pitt, ID03_IM02.bmp, (-300, 300), Ben Affleck, (300, 300), George Clooney, (0, -400), Ben Stiller, (550, -100), Ryan Reynolds, (-550, -100), Brad Pitt, [-242.  293.], 1, 1.1203974999953061
sub-01, trial24, 03, Brad Pitt, ID03_IM01.bmp, (-300, 300), Ben Stiller, (-550, -100), Daniel Radcliffe, (300, 300), Ben Affleck, (0, -400), Hugh Jackman, (550, -100), Brad Pitt, [-242.  293.], 1, 0.6565479999408126
sub-01, trial39, 08, Hugh Jackman, ID08_IM03.bmp, (0, -400), Ben Affleck, (-300, 300), Ryan Reynolds, (550, -100), Orlando Bloom, (300, 300), Keanu Reeves, (-550, -100), Hugh Jackman, [   4. -379.], 1, 1.2776431000092998
sub-01, trial16, 10, Keanu Reeves, ID10_IM03.bmp, (550, -100), Ben Stiller, (-550, -100), Robert Pattinson, (-300, 300), George Clooney, (0, -400), Ryan Gosling, (300, 300), Keanu Reeves, [486. -98.], 1, 1.9119422999210656
sub-01, trial15, 17, Ryan Gosling, ID17_IM01.bmp, (-300, 300), Justin Timberlake, (0, -400), Ryan Reynolds, (300, 300), Brad Pitt, (550, -100), Ben Affleck, (-550, -100), Ryan Gosling, [-230.  314.], 1, 1.2330248999642208
sub-01, trial10, 03, Brad Pitt, ID03_IM04.bmp, (-300, 300), Justin Timberlake, (300, 300), Robert Pattinson, (-550, -100), Elijah Wood, (550, -100), Daniel Radcliffe, (0, -400), Brad Pitt, [-269.  267.], 1, 1.5663365999935195
sub-01, trial11, 17, Ryan Gosling, ID17_IM03.bmp, (0, -400), Patrick Dempsey, (550, -100), George Clooney, (-550, -100), Daniel Craig, (300, 300), Matt Damon, (-300, 300), Ryan Gosling, [  58. -385.], 1, 1.6606710999039933
sub-01, trial61, 13, Orlando Bloom, ID13_IM01.bmp, (550, -100), Robert Downey Jr, (300, 300), Elijah Wood, (0, -400), Ben Stiller, (-300, 300), Daniel Radcliffe, (-550, -100), Orlando Bloom, [506. -91.], 1, 1.1204600998898968
sub-01, trial29, 15, Robert Downey Jr, ID15_IM01.bmp, (550, -100), Hugh Jackman, (-300, 300), Ben Stiller, (300, 300), Ryan Reynolds, (0, -400), Ryan Gosling, (-550, -100), Robert Downey Jr, [ 390. -114.], 1, 1.9936426000203937
sub-01, trial59, 14, Patrick Dempsey, ID14_IM03.bmp, (-550, -100), Robert Pattinson, (-300, 300), Justin Timberlake, (300, 300), Brad Pitt, (550, -100), Hugh Jackman, (0, -400), Patrick Dempsey, [-434.  -92.], 1, 1.8714176000794396
sub-01, trial1, 01, Ben Affleck, ID01_IM01.bmp, (300, 300), Ben Stiller, (-550, -100), Patrick Dempsey, (0, -400), Brad Pitt, (550, -100), Ryan Gosling, (-300, 300), Ben Affleck, [210. 311.], 1, 1.1549444000702351
sub-01, trial21, 11, Leonardo DiCaprio, ID11_IM03.bmp, (-550, -100), Elijah Wood, (0, -400), Ryan Reynolds, (550, -100), Hugh Jackman, (-300, 300), Keanu Reeves, (300, 300), Leonardo DiCaprio, [-405. -120.], 1, 1.2503746000584215
sub-01, trial58, 15, Robert Downey Jr, ID15_IM04.bmp, (-300, 300), Daniel Radcliffe, (300, 300), Matt Damon, (0, -400), Ryan Reynolds, (-550, -100), Ben Stiller, (550, -100), Robert Downey Jr, [-330.  289.], 1, 2.3979400999378413
sub-01, trial20, 07, George Clooney, ID07_IM01.bmp, (-550, -100), Elijah Wood, (-300, 300), Ben Stiller, (550, -100), Daniel Craig, (0, -400), Ryan Gosling, (300, 300), George Clooney, [-447.  -98.], 1, 1.3003788000205532
