subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-11, trial58, 17, Ryan Gosling, ID17_IM02.bmp, (550, -100), Keanu Reeves, (-300, 300), Brad Pitt, (300, 300), Robert Pattinson, (-550, -100), Orlando Bloom, (0, -400), Ryan Gosling, [447. -69.], 1, 2.015600499988068
sub-11, trial9, 09, Justin Timberlake, ID09_IM01.bmp, (-550, -100), Hugh Jackman, (300, 300), Robert Downey Jr, (0, -400), Daniel Radcliffe, (550, -100), Daniel Craig, (-300, 300), Justin Timberlake, [-426. -137.], 1, 2.2775617000297643
sub-11, trial8, 01, Ben Affleck, ID01_IM04.bmp, (-550, -100), Keanu Reeves, (0, -400), Hugh Jackman, (300, 300), Elijah Wood, (550, -100), Matt Damon, (-300, 300), idk, [-6. 33.], 0, 1.6890677000046708
sub-11, trial29, 16, Robert Pattinson, ID16_IM02.bmp, (-300, 300), Hugh Jackman, (0, -400), Robert Downey Jr, (-550, -100), Orlando Bloom, (550, -100), Keanu Reeves, (300, 300), Robert Pattinson, [-174.  259.], 1, 0.8747051999671385
sub-11, trial71, 03, Brad Pitt, ID03_IM02.bmp, (300, 300), Matt Damon, (-550, -100), Patrick Dempsey, (550, -100), Leonardo DiCaprio, (0, -400), George Clooney, (-300, 300), George Clooney, [-153.  266.], 0, 6.316633599984925
sub-11, trial6, 18, Ryan Reynolds, ID18_IM01.bmp, (-550, -100), Ben Affleck, (550, -100), Robert Downey Jr, (300, 300), Daniel Radcliffe, (0, -400), Keanu Reeves, (-300, 300), Ryan Reynolds, [-428. -132.], 1, 2.285901300027035
sub-11, trial14, 14, Patrick Dempsey, ID14_IM03.bmp, (550, -100), Daniel Radcliffe, (0, -400), Robert Pattinson, (300, 300), Brad Pitt, (-300, 300), Ryan Gosling, (-550, -100), Patrick Dempsey, [495. -77.], 1, 1.3765755000058562
sub-11, trial38, 11, Leonardo DiCaprio, ID11_IM01.bmp, (300, 300), Ryan Reynolds, (550, -100), Justin Timberlake, (-300, 300), Daniel Craig, (-550, -100), Elijah Wood, (0, -400), Leonardo DiCaprio, [371. 271.], 1, 1.5505763000110164
sub-11, trial70, 09, Justin Timberlake, ID09_IM04.bmp, (-550, -100), Ben Stiller, (550, -100), Elijah Wood, (0, -400), Brad Pitt, (-300, 300), George Clooney, (300, 300), Justin Timberlake, [-443.  -97.], 1, 1.7592810000060126
sub-11, trial50, 07, George Clooney, ID07_IM04.bmp, (300, 300), Daniel Craig, (-550, -100), Patrick Dempsey, (0, -400), Elijah Wood, (-300, 300), Leonardo DiCaprio, (550, -100), George Clooney, [238. 274.], 1, 1.7357096000341699
sub-11, trial20, 15, Robert Downey Jr, ID15_IM02.bmp, (550, -100), Justin Timberlake, (300, 300), Patrick Dempsey, (-300, 300), Keanu Reeves, (0, -400), Matt Damon, (-550, -100), Robert Downey Jr, [453. -85.], 1, 2.4474056999897584
sub-11, trial61, 14, Patrick Dempsey, ID14_IM02.bmp, (300, 300), Ryan Gosling, (-300, 300), Leonardo DiCaprio, (0, -400), Brad Pitt, (-550, -100), Elijah Wood, (550, -100), Patrick Dempsey, [316. 284.], 1, 0.8032384000252932
sub-11, trial15, 11, Leonardo DiCaprio, ID11_IM03.bmp, (550, -100), Ryan Reynolds, (0, -400), Orlando Bloom, (-550, -100), Brad Pitt, (-300, 300), Elijah Wood, (300, 300), Leonardo DiCaprio, [428. -70.], 1, 1.0897746999980882
sub-11, trial45, 13, Orlando Bloom, ID13_IM04.bmp, (-550, -100), Elijah Wood, (0, -400), Ben Affleck, (300, 300), Daniel Craig, (-300, 300), Robert Pattinson, (550, -100), idk, [21. 62.], 0, 1.0518523000064306
sub-11, trial63, 08, Hugh Jackman, ID08_IM01.bmp, (300, 300), Patrick Dempsey, (0, -400), Elijah Wood, (550, -100), Daniel Craig, (-300, 300), Justin Timberlake, (-550, -100), familiar face, [  50. -118.], 1, 3.1030546999536455
sub-11, trial39, 01, Ben Affleck, ID01_IM03.bmp, (-550, -100), Patrick Dempsey, (300, 300), Daniel Radcliffe, (0, -400), Orlando Bloom, (550, -100), Hugh Jackman, (-300, 300), idk, [49. 26.], 0, 0.8170054999645799
sub-11, trial13, 13, Orlando Bloom, ID13_IM02.bmp, (300, 300), Hugh Jackman, (-300, 300), Daniel Radcliffe, (550, -100), Elijah Wood, (-550, -100), Justin Timberlake, (0, -400), idk, [55. 66.], 0, 0.8778674000059254
