subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-18, trial57, 06, Elijah Wood, ID06_IM01.bmp, (-300, 300), Leonardo DiCaprio, (550, -100), George Clooney, (0, -400), Keanu Reeves, (-550, -100), Patrick Dempsey, (300, 300), familiar face, [141. -93.], 1, 0.8876671999460086
sub-18, trial53, 07, George Clooney, ID07_IM01.bmp, (300, 300), Daniel Craig, (550, -100), Matt Damon, (-550, -100), Daniel Radcliffe, (-300, 300), Justin Timberlake, (0, -400), George Clooney, [432. 286.], 1, 2.3695633000461385
sub-18, trial2, 13, Orlando Bloom, ID13_IM04.bmp, (300, 300), Patrick Dempsey, (550, -100), Justin Timberlake, (-550, -100), Elijah Wood, (-300, 300), Robert Downey Jr, (0, -400), familiar face, [115. -86.], 1, 1.1372684000525624
sub-18, trial60, 18, Ryan Reynolds, ID18_IM02.bmp, (-550, -100), Justin Timberlake, (0, -400), George Clooney, (300, 300), Ryan Gosling, (550, -100), Ben Affleck, (-300, 300), idk, [128.  55.], 0, 0.5218397000571713
sub-18, trial6, 14, Patrick Dempsey, ID14_IM04.bmp, (0, -400), Leonardo DiCaprio, (-300, 300), Ben Affleck, (550, -100), Robert Pattinson, (-550, -100), Hugh Jackman, (300, 300), idk, [134.  56.], 0, 0.5394859999651089
sub-18, trial26, 17, Ryan Gosling, ID17_IM03.bmp, (550, -100), Robert Downey Jr, (-300, 300), Patrick Dempsey, (300, 300), Robert Pattinson, (0, -400), Elijah Wood, (-550, -100), idk, [116.  63.], 0, 0.5785813999827951
sub-18, trial29, 02, Ben Stiller, ID02_IM04.bmp, (-300, 300), Robert Pattinson, (300, 300), Daniel Craig, (550, -100), Matt Damon, (-550, -100), Brad Pitt, (0, -400), idk, [109.  57.], 0, 0.45701989997178316
sub-18, trial16, 15, Robert Downey Jr, ID15_IM03.bmp, (300, 300), Ryan Gosling, (0, -400), Hugh Jackman, (-550, -100), Keanu Reeves, (-300, 300), Ryan Reynolds, (550, -100), familiar face, [  68. -101.], 1, 1.1164210001006722
sub-18, trial9, 07, George Clooney, ID07_IM02.bmp, (-550, -100), Daniel Craig, (300, 300), Leonardo DiCaprio, (550, -100), Ben Stiller, (0, -400), Ryan Gosling, (-300, 300), George Clooney, [-393.  -79.], 1, 2.4058409000281245
sub-18, trial40, 11, Leonardo DiCaprio, ID11_IM04.bmp, (-300, 300), Robert Downey Jr, (300, 300), Robert Pattinson, (0, -400), Ryan Reynolds, (-550, -100), Elijah Wood, (550, -100), Leonardo DiCaprio, [-187.  282.], 1, 1.0436611999757588
sub-18, trial32, 12, Matt Damon, ID12_IM01.bmp, (-300, 300), Keanu Reeves, (300, 300), Robert Pattinson, (0, -400), Ben Stiller, (-550, -100), Daniel Craig, (550, -100), familiar face, [ 67. -81.], 1, 1.7276099000591785
sub-18, trial61, 16, Robert Pattinson, ID16_IM03.bmp, (-550, -100), Hugh Jackman, (-300, 300), Justin Timberlake, (550, -100), Orlando Bloom, (0, -400), Daniel Radcliffe, (300, 300), Robert Pattinson, [-414. -109.], 1, 2.080302399932407
sub-18, trial38, 02, Ben Stiller, ID02_IM02.bmp, (550, -100), Daniel Radcliffe, (-550, -100), Robert Downey Jr, (300, 300), Patrick Dempsey, (-300, 300), Robert Pattinson, (0, -400), idk, [65. 38.], 0, 0.5309231000719592
sub-18, trial27, 02, Ben Stiller, ID02_IM01.bmp, (550, -100), Ryan Reynolds, (-300, 300), George Clooney, (0, -400), Robert Downey Jr, (-550, -100), Patrick Dempsey, (300, 300), idk, [106.  48.], 0, 0.5791945999953896
sub-18, trial17, 04, Daniel Craig, ID04_IM01.bmp, (-300, 300), George Clooney, (-550, -100), Patrick Dempsey, (300, 300), Brad Pitt, (0, -400), Justin Timberlake, (550, -100), familiar face, [  63. -114.], 1, 1.466032600030303
sub-18, trial20, 14, Patrick Dempsey, ID14_IM03.bmp, (-300, 300), Hugh Jackman, (550, -100), Brad Pitt, (0, -400), Ryan Reynolds, (-550, -100), Daniel Radcliffe, (300, 300), idk, [120.  40.], 0, 0.5891308999853209
sub-18, trial33, 17, Ryan Gosling, ID17_IM02.bmp, (0, -400), Keanu Reeves, (300, 300), Hugh Jackman, (-300, 300), Justin Timberlake, (-550, -100), Patrick Dempsey, (550, -100), idk, [90. 86.], 0, 0.5089063999475911
sub-18, trial39, 11, Leonardo DiCaprio, ID11_IM02.bmp, (0, -400), Patrick Dempsey, (300, 300), George Clooney, (-550, -100), Daniel Radcliffe, (-300, 300), Matt Damon, (550, -100), Leonardo DiCaprio, [ 114. -374.], 1, 1.6371763000497594
sub-18, trial71, 07, George Clooney, ID07_IM04.bmp, (300, 300), Orlando Bloom, (550, -100), Keanu Reeves, (-300, 300), Ben Stiller, (-550, -100), Matt Damon, (0, -400), George Clooney, [388. 276.], 1, 1.9866770999506116
sub-18, trial69, 14, Patrick Dempsey, ID14_IM02.bmp, (-300, 300), Matt Damon, (550, -100), Leonardo DiCaprio, (300, 300), Robert Pattinson, (0, -400), Ryan Gosling, (-550, -100), idk, [117.  49.], 0, 0.49651129997801036
sub-18, trial1, 05, Daniel Radcliffe, ID05_IM02.bmp, (300, 300), Ben Stiller, (0, -400), Patrick Dempsey, (-550, -100), Hugh Jackman, (550, -100), Elijah Wood, (-300, 300), familiar face, [ 129. -105.], 1, 0.8181746999034658
sub-18, trial67, 04, Daniel Craig, ID04_IM03.bmp, (300, 300), Ben Stiller, (-300, 300), Robert Downey Jr, (-550, -100), Hugh Jackman, (550, -100), Robert Pattinson, (0, -400), familiar face, [ 99. -96.], 1, 1.1753748999908566
sub-18, trial43, 07, George Clooney, ID07_IM03.bmp, (0, -400), Daniel Craig, (550, -100), Ryan Reynolds, (-300, 300), Robert Pattinson, (-550, -100), Ben Stiller, (300, 300), George Clooney, [ 101. -350.], 1, 1.3498345999978483
sub-18, trial54, 14, Patrick Dempsey, ID14_IM01.bmp, (550, -100), Robert Downey Jr, (300, 300), Orlando Bloom, (-300, 300), Ben Stiller, (0, -400), Hugh Jackman, (-550, -100), idk, [93. 43.], 0, 0.5577263999730349
sub-18, trial5, 06, Elijah Wood, ID06_IM04.bmp, (300, 300), Matt Damon, (-300, 300), Ben Stiller, (0, -400), Hugh Jackman, (-550, -100), Brad Pitt, (550, -100), familiar face, [ 108. -113.], 1, 0.6450588000006974
sub-18, trial62, 03, Brad Pitt, ID03_IM03.bmp, (0, -400), Robert Pattinson, (-550, -100), Daniel Radcliffe, (300, 300), Patrick Dempsey, (-300, 300), Keanu Reeves, (550, -100), familiar face, [ 84. -81.], 1, 0.6092036000918597
sub-18, trial65, 12, Matt Damon, ID12_IM03.bmp, (-550, -100), Brad Pitt, (-300, 300), Leonardo DiCaprio, (300, 300), Robert Downey Jr, (0, -400), Orlando Bloom, (550, -100), idk, [111.  51.], 0, 0.607240500045009
sub-18, trial31, 16, Robert Pattinson, ID16_IM04.bmp, (300, 300), Ben Stiller, (550, -100), Keanu Reeves, (-550, -100), George Clooney, (0, -400), Patrick Dempsey, (-300, 300), Robert Pattinson, [430. 302.], 1, 2.019729100051336
sub-18, trial37, 09, Justin Timberlake, ID09_IM01.bmp, (0, -400), George Clooney, (550, -100), Ben Stiller, (300, 300), Ryan Gosling, (-300, 300), Leonardo DiCaprio, (-550, -100), idk, [58. 66.], 0, 0.5050596999935806
sub-18, trial18, 10, Keanu Reeves, ID10_IM03.bmp, (550, -100), Daniel Radcliffe, (-550, -100), Ryan Gosling, (-300, 300), Matt Damon, (0, -400), Hugh Jackman, (300, 300), familiar face, [  78. -124.], 1, 0.9627078999765217
sub-18, trial63, 16, Robert Pattinson, ID16_IM01.bmp, (550, -100), Hugh Jackman, (-300, 300), Keanu Reeves, (0, -400), George Clooney, (300, 300), Justin Timberlake, (-550, -100), Robert Pattinson, [392. -75.], 1, 1.0894248000113294
sub-18, trial11, 03, Brad Pitt, ID03_IM01.bmp, (300, 300), Hugh Jackman, (-550, -100), Justin Timberlake, (-300, 300), Robert Downey Jr, (0, -400), Daniel Craig, (550, -100), idk, [64. 62.], 0, 1.1331501000095159
sub-18, trial68, 03, Brad Pitt, ID03_IM02.bmp, (-550, -100), Matt Damon, (-300, 300), Elijah Wood, (550, -100), Orlando Bloom, (300, 300), Ben Stiller, (0, -400), familiar face, [  89. -120.], 1, 0.5012282999232411
sub-18, trial23, 09, Justin Timberlake, ID09_IM03.bmp, (0, -400), George Clooney, (550, -100), Hugh Jackman, (-550, -100), Robert Pattinson, (-300, 300), Ben Stiller, (300, 300), idk, [110.  35.], 0, 0.7349140000296757
sub-18, trial24, 15, Robert Downey Jr, ID15_IM01.bmp, (-550, -100), Ben Affleck, (-300, 300), Patrick Dempsey, (0, -400), Orlando Bloom, (300, 300), Leonardo DiCaprio, (550, -100), familiar face, [104. -99.], 1, 0.9437792000826448
sub-18, trial36, 09, Justin Timberlake, ID09_IM04.bmp, (-550, -100), Patrick Dempsey, (550, -100), Keanu Reeves, (0, -400), Orlando Bloom, (-300, 300), Matt Damon, (300, 300), idk, [35. 42.], 0, 0.6847389999311417
sub-18, trial51, 06, Elijah Wood, ID06_IM02.bmp, (-300, 300), Ryan Reynolds, (0, -400), Robert Pattinson, (-550, -100), Orlando Bloom, (300, 300), Daniel Craig, (550, -100), familiar face, [ 122. -107.], 1, 0.5783989001065493
sub-18, trial8, 08, Hugh Jackman, ID08_IM04.bmp, (550, -100), Leonardo DiCaprio, (-300, 300), Elijah Wood, (-550, -100), Ben Affleck, (0, -400), Daniel Craig, (300, 300), idk, [103.  35.], 0, 0.5285849999636412
sub-18, trial13, 04, Daniel Craig, ID04_IM04.bmp, (300, 300), Ben Affleck, (-300, 300), Patrick Dempsey, (-550, -100), Leonardo DiCaprio, (550, -100), Ryan Reynolds, (0, -400), familiar face, [ 99. -92.], 1, 0.8254520000191405
sub-18, trial25, 10, Keanu Reeves, ID10_IM04.bmp, (-300, 300), Matt Damon, (550, -100), Ben Affleck, (0, -400), Elijah Wood, (-550, -100), Ben Stiller, (300, 300), familiar face, [ 84. -98.], 1, 0.4221974000101909
sub-18, trial47, 01, Ben Affleck, ID01_IM02.bmp, (-550, -100), Daniel Craig, (300, 300), Daniel Radcliffe, (0, -400), Robert Downey Jr, (550, -100), George Clooney, (-300, 300), idk, [93. 27.], 0, 0.44385469995904714
sub-18, trial64, 11, Leonardo DiCaprio, ID11_IM01.bmp, (-300, 300), Justin Timberlake, (550, -100), Keanu Reeves, (300, 300), Hugh Jackman, (-550, -100), Orlando Bloom, (0, -400), Leonardo DiCaprio, [-136.  263.], 1, 3.023281399975531
sub-18, trial66, 05, Daniel Radcliffe, ID05_IM04.bmp, (-550, -100), Daniel Craig, (-300, 300), Patrick Dempsey, (300, 300), Ryan Reynolds, (550, -100), Hugh Jackman, (0, -400), familiar face, [ 159. -100.], 1, 1.3487538000335917
