subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-23, trial14, 03, Brad Pitt, ID03_IM01.bmp, (-300, 300), Daniel Craig, (300, 300), Leonardo DiCaprio, (0, -400), Ryan Reynolds, (-550, -100), Ryan Gosling, (550, -100), Brad Pitt, [-317.  314.], 1, 3.717569000000367
sub-23, trial10, 15, Robert Downey Jr, ID15_IM02.bmp, (550, -100), Patrick Dempsey, (0, -400), Ben Stiller, (-550, -100), Ryan Gosling, (-300, 300), Keanu Reeves, (300, 300), Robert Downey Jr, [476. -76.], 1, 4.182825900003081
sub-23, trial23, 17, Ryan Gosling, ID17_IM01.bmp, (-550, -100), Orlando Bloom, (-300, 300), Robert Downey Jr, (550, -100), Ryan Reynolds, (300, 300), George Clooney, (0, -400), Ryan Gosling, [-411.  -96.], 1, 4.596809100010432
sub-23, trial6, 09, Justin Timberlake, ID09_IM03.bmp, (-300, 300), Matt Damon, (550, -100), Robert Downey Jr, (0, -400), Daniel Radcliffe, (-550, -100), Orlando Bloom, (300, 300), Justin Timberlake, [-198.  280.], 1, 1.4673850999970455
sub-23, trial28, 10, Keanu Reeves, ID10_IM02.bmp, (0, -400), Daniel Craig, (550, -100), Hugh Jackman, (300, 300), Patrick Dempsey, (-300, 300), Leonardo DiCaprio, (-550, -100), Keanu Reeves, [ -21. -420.], 1, 1.6864466999832075
sub-23, trial64, 13, Orlando Bloom, ID13_IM01.bmp, (0, -400), Robert Pattinson, (-550, -100), Ryan Reynolds, (550, -100), Leonardo DiCaprio, (300, 300), Ben Affleck, (-300, 300), Orlando Bloom, [  -8. -382.], 1, 2.161736900015967
sub-23, trial72, 01, Ben Affleck, ID01_IM04.bmp, (-300, 300), Leonardo DiCaprio, (-550, -100), Daniel Craig, (550, -100), Brad Pitt, (0, -400), Elijah Wood, (300, 300), familiar face, [  52. -111.], 1, 3.3771448000043165
sub-23, trial68, 09, Justin Timberlake, ID09_IM01.bmp, (300, 300), Matt Damon, (550, -100), Robert Pattinson, (-300, 300), George Clooney, (0, -400), Hugh Jackman, (-550, -100), Justin Timberlake, [331. 310.], 1, 1.9675954999984242
sub-23, trial4, 10, Keanu Reeves, ID10_IM03.bmp, (0, -400), Ben Stiller, (-550, -100), Daniel Craig, (300, 300), Ben Affleck, (-300, 300), Matt Damon, (550, -100), Keanu Reeves, [  68. -414.], 1, 2.198385200026678
sub-23, trial13, 09, Justin Timberlake, ID09_IM04.bmp, (300, 300), Orlando Bloom, (0, -400), Ryan Reynolds, (550, -100), Leonardo DiCaprio, (-550, -100), Keanu Reeves, (-300, 300), Justin Timberlake, [236. 284.], 1, 5.963857599999756
sub-23, trial58, 05, Daniel Radcliffe, ID05_IM01.bmp, (0, -400), Patrick Dempsey, (300, 300), Ryan Gosling, (-550, -100), Hugh Jackman, (-300, 300), Keanu Reeves, (550, -100), Daniel Radcliffe, [  78. -422.], 1, 2.2678371999936644
sub-23, trial70, 14, Patrick Dempsey, ID14_IM02.bmp, (-300, 300), Robert Pattinson, (-550, -100), Daniel Craig, (550, -100), Matt Damon, (0, -400), Orlando Bloom, (300, 300), familiar face, [ 104. -126.], 1, 1.270812400005525
sub-23, trial54, 06, Elijah Wood, ID06_IM04.bmp, (550, -100), Daniel Craig, (0, -400), Ryan Reynolds, (300, 300), Hugh Jackman, (-550, -100), Matt Damon, (-300, 300), familiar face, [ 104. -126.], 1, 4.888270900002681
sub-23, trial18, 10, Keanu Reeves, ID10_IM04.bmp, (-550, -100), Hugh Jackman, (-300, 300), Ben Affleck, (300, 300), George Clooney, (0, -400), Ryan Reynolds, (550, -100), Keanu Reeves, [-422. -124.], 1, 1.9325985999894328
sub-23, trial36, 15, Robert Downey Jr, ID15_IM04.bmp, (300, 300), Ben Affleck, (550, -100), Robert Pattinson, (-300, 300), Ryan Reynolds, (0, -400), Brad Pitt, (-550, -100), Robert Downey Jr, [336. 293.], 1, 2.237654399999883
sub-23, trial66, 04, Daniel Craig, ID04_IM02.bmp, (550, -100), Matt Damon, (-300, 300), Ben Stiller, (300, 300), Keanu Reeves, (0, -400), Orlando Bloom, (-550, -100), familiar face, [  6. -97.], 1, 2.8651424999989104
sub-23, trial24, 07, George Clooney, ID07_IM03.bmp, (550, -100), Justin Timberlake, (0, -400), Hugh Jackman, (-550, -100), Keanu Reeves, (-300, 300), Elijah Wood, (300, 300), George Clooney, [ 652. -111.], 1, 1.9406785999890417
sub-23, trial25, 08, Hugh Jackman, ID08_IM01.bmp, (-550, -100), Elijah Wood, (300, 300), Patrick Dempsey, (-300, 300), Matt Damon, (550, -100), Ryan Gosling, (0, -400), Hugh Jackman, [-479.  -81.], 1, 1.548302099981811
sub-23, trial65, 18, Ryan Reynolds, ID18_IM04.bmp, (-550, -100), Keanu Reeves, (550, -100), Justin Timberlake, (0, -400), Robert Pattinson, (300, 300), Matt Damon, (-300, 300), Ryan Reynolds, [-477.  -99.], 1, 1.6280494999955408
sub-23, trial15, 11, Leonardo DiCaprio, ID11_IM01.bmp, (-300, 300), Brad Pitt, (0, -400), Orlando Bloom, (-550, -100), Robert Pattinson, (300, 300), Ben Affleck, (550, -100), Leonardo DiCaprio, [-191.  311.], 1, 1.7138267000264022
sub-23, trial57, 05, Daniel Radcliffe, ID05_IM03.bmp, (-300, 300), Ryan Gosling, (300, 300), Daniel Craig, (0, -400), Ben Stiller, (-550, -100), Ben Affleck, (550, -100), Daniel Radcliffe, [-276.  283.], 1, 2.0591200000199024
sub-23, trial21, 06, Elijah Wood, ID06_IM02.bmp, (300, 300), Matt Damon, (0, -400), George Clooney, (550, -100), Ben Stiller, (-550, -100), Daniel Craig, (-300, 300), familiar face, [-39. -79.], 1, 1.101929199998267
sub-23, trial11, 12, Matt Damon, ID12_IM03.bmp, (550, -100), Robert Pattinson, (300, 300), Daniel Craig, (-300, 300), Daniel Radcliffe, (0, -400), Hugh Jackman, (-550, -100), idk, [-19.  33.], 0, 1.1434335999947507
sub-23, trial50, 07, George Clooney, ID07_IM02.bmp, (550, -100), Ryan Gosling, (-300, 300), Daniel Radcliffe, (0, -400), Daniel Craig, (300, 300), Hugh Jackman, (-550, -100), George Clooney, [470. -88.], 1, 2.30397459998494
sub-23, trial33, 02, Ben Stiller, ID02_IM01.bmp, (0, -400), Hugh Jackman, (-550, -100), George Clooney, (-300, 300), Robert Downey Jr, (300, 300), Leonardo DiCaprio, (550, -100), familiar face, [-13. -79.], 1, 2.8334882000053767
