subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-02, trial8, 07, George Clooney, ID07_IM02.bmp, (-550, -100), Ben Stiller, (-300, 300), Robert Downey Jr, (550, -100), Ryan Gosling, (0, -400), Orlando Bloom, (300, 300), George Clooney, [-545. -103.], 1, 2.711476400028914
sub-02, trial12, 14, Patrick Dempsey, ID14_IM01.bmp, (-550, -100), Robert Pattinson, (-300, 300), Hugh Jackman, (0, -400), Ryan Reynolds, (300, 300), Ryan Gosling, (550, -100), Patrick Dempsey, [-498.  -99.], 1, 1.600650499924086
sub-02, trial2, 05, Daniel Radcliffe, ID05_IM01.bmp, (-300, 300), Daniel Craig, (0, -400), Ryan Gosling, (550, -100), Ben Affleck, (-550, -100), Elijah Wood, (300, 300), Daniel Radcliffe, [-323.  296.], 1, 3.9823616000358015
sub-02, trial43, 17, Ryan Gosling, ID17_IM03.bmp, (0, -400), Patrick Dempsey, (-300, 300), Robert Downey Jr, (550, -100), Elijah Wood, (-550, -100), George Clooney, (300, 300), Ryan Gosling, [  17. -430.], 1, 3.1171518999617547
sub-02, trial39, 06, Elijah Wood, ID06_IM02.bmp, (-550, -100), Hugh Jackman, (-300, 300), Ben Affleck, (0, -400), Robert Pattinson, (300, 300), Ryan Gosling, (550, -100), Elijah Wood, [-524. -118.], 1, 3.814500099979341
sub-02, trial50, 06, Elijah Wood, ID06_IM03.bmp, (0, -400), Robert Pattinson, (550, -100), Daniel Craig, (-300, 300), Patrick Dempsey, (300, 300), Keanu Reeves, (-550, -100), Elijah Wood, [ -92. -397.], 1, 2.4114858000539243
sub-02, trial7, 18, Ryan Reynolds, ID18_IM02.bmp, (300, 300), Ben Affleck, (0, -400), Brad Pitt, (-300, 300), Justin Timberlake, (550, -100), Patrick Dempsey, (-550, -100), Ryan Reynolds, [320. 276.], 1, 2.7448587000835687
sub-02, trial61, 05, Daniel Radcliffe, ID05_IM02.bmp, (-550, -100), Matt Damon, (300, 300), Patrick Dempsey, (-300, 300), Justin Timberlake, (550, -100), George Clooney, (0, -400), Daniel Radcliffe, [-546. -111.], 1, 4.801782099995762
sub-02, trial53, 15, Robert Downey Jr, ID15_IM01.bmp, (300, 300), Ryan Gosling, (-550, -100), Orlando Bloom, (-300, 300), Elijah Wood, (550, -100), Keanu Reeves, (0, -400), Robert Downey Jr, [277. 293.], 1, 1.5593940999824554
sub-02, trial45, 13, Orlando Bloom, ID13_IM04.bmp, (0, -400), Matt Damon, (550, -100), Patrick Dempsey, (-550, -100), Ben Stiller, (300, 300), Elijah Wood, (-300, 300), Orlando Bloom, [ 116. -387.], 1, 1.7579402999253944
