subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-21, trial62, 06, Elijah Wood, ID06_IM02.bmp, (550, -100), Leonardo DiCaprio, (-300, 300), Justin Timberlake, (0, -400), Keanu Reeves, (-550, -100), Ben Affleck, (300, 300), familiar face, [   5. -119.], 1, 1.3736129000317305
sub-21, trial20, 05, Daniel Radcliffe, ID05_IM01.bmp, (-300, 300), Robert Downey Jr, (550, -100), Orlando Bloom, (300, 300), Ryan Reynolds, (-550, -100), Ben Stiller, (0, -400), Daniel Radcliffe, [-183.  296.], 1, 2.3969939998351038
sub-21, trial2, 16, Robert Pattinson, ID16_IM04.bmp, (-550, -100), Ryan Gosling, (-300, 300), Orlando Bloom, (300, 300), Daniel Radcliffe, (550, -100), George Clooney, (0, -400), Robert Pattinson, [-468. -103.], 1, 2.9223666000179946
sub-21, trial69, 12, Matt Damon, ID12_IM03.bmp, (550, -100), Ben Affleck, (-550, -100), Ben Stiller, (-300, 300), Ryan Reynolds, (300, 300), Hugh Jackman, (0, -400), Matt Damon, [ 479. -110.], 1, 1.1319356998428702
sub-21, trial67, 09, Justin Timberlake, ID09_IM02.bmp, (0, -400), Ben Affleck, (-300, 300), Brad Pitt, (-550, -100), Robert Downey Jr, (550, -100), Ryan Gosling, (300, 300), Justin Timberlake, [  14. -374.], 1, 1.2761131001170725
sub-21, trial35, 02, Ben Stiller, ID02_IM02.bmp, (0, -400), Brad Pitt, (300, 300), Ryan Reynolds, (-550, -100), Elijah Wood, (-300, 300), Robert Pattinson, (550, -100), familiar face, [ -84. -114.], 1, 4.591060600010678
sub-21, trial12, 11, Leonardo DiCaprio, ID11_IM01.bmp, (-300, 300), Hugh Jackman, (0, -400), Elijah Wood, (-550, -100), Ryan Reynolds, (550, -100), Ben Stiller, (300, 300), Leonardo DiCaprio, [-178.  333.], 1, 1.2132393999490887
sub-21, trial42, 16, Robert Pattinson, ID16_IM01.bmp, (300, 300), Daniel Craig, (-300, 300), Matt Damon, (-550, -100), Keanu Reeves, (550, -100), Hugh Jackman, (0, -400), Robert Pattinson, [212. 305.], 1, 1.930651699891314
sub-21, trial58, 17, Ryan Gosling, ID17_IM03.bmp, (-550, -100), Ben Affleck, (300, 300), Daniel Craig, (550, -100), Ryan Reynolds, (0, -400), Brad Pitt, (-300, 300), Ryan Gosling, [-430.  -84.], 1, 1.227239399915561
sub-21, trial27, 13, Orlando Bloom, ID13_IM02.bmp, (0, -400), Ryan Gosling, (300, 300), Robert Downey Jr, (550, -100), Keanu Reeves, (-550, -100), Elijah Wood, (-300, 300), familiar face, [ -22. -128.], 1, 3.1517458998132497
sub-21, trial36, 15, Robert Downey Jr, ID15_IM01.bmp, (-550, -100), Hugh Jackman, (-300, 300), Ryan Gosling, (0, -400), Keanu Reeves, (300, 300), Elijah Wood, (550, -100), Robert Downey Jr, [-413.  -80.], 1, 2.3749683999922127
