subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-17, trial67, 09, Justin Timberlake, ID09_IM01.bmp, (-550, -100), Hugh Jackman, (0, -400), Robert Downey Jr, (550, -100), Elijah Wood, (300, 300), Ben Stiller, (-300, 300), idk, [-50.  61.], 0, 0.6787560998927802
sub-17, trial2, 05, Daniel Radcliffe, ID05_IM01.bmp, (550, -100), Hugh Jackman, (300, 300), Brad Pitt, (-300, 300), Ryan Gosling, (0, -400), Robert Downey Jr, (-550, -100), Daniel Radcliffe, [ 468. -141.], 1, 1.681709900032729
sub-17, trial6, 07, George Clooney, ID07_IM02.bmp, (550, -100), Robert Pattinson, (-300, 300), Ryan Reynolds, (-550, -100), Daniel Craig, (300, 300), Justin Timberlake, (0, -400), George Clooney, [433. -65.], 1, 3.8684735000133514
sub-17, trial52, 12, Matt Damon, ID12_IM02.bmp, (300, 300), Patrick Dempsey, (-550, -100), Daniel Radcliffe, (0, -400), Ben Stiller, (550, -100), Orlando Bloom, (-300, 300), idk, [-79.  59.], 0, 1.1594922000076622
sub-17, trial34, 03, Brad Pitt, ID03_IM04.bmp, (-550, -100), Elijah Wood, (300, 300), Ryan Reynolds, (0, -400), Robert Pattinson, (-300, 300), Hugh Jackman, (550, -100), Brad Pitt, [-493.  -80.], 1, 2.1589377999771386
sub-17, trial68, 08, Hugh Jackman, ID08_IM02.bmp, (-300, 300), Daniel Radcliffe, (-550, -100), Robert Downey Jr, (550, -100), Elijah Wood, (300, 300), Leonardo DiCaprio, (0, -400), idk, [-20.  63.], 0, 1.1101238999981433
sub-17, trial60, 14, Patrick Dempsey, ID14_IM03.bmp, (0, -400), Orlando Bloom, (300, 300), Ben Stiller, (-550, -100), Elijah Wood, (-300, 300), Keanu Reeves, (550, -100), familiar face, [-24. -90.], 1, 11.759729400044307
sub-17, trial1, 03, Brad Pitt, ID03_IM01.bmp, (300, 300), Robert Pattinson, (0, -400), Ryan Gosling, (-300, 300), Elijah Wood, (-550, -100), Patrick Dempsey, (550, -100), Brad Pitt, [304. 305.], 1, 2.3750723999692127
sub-17, trial51, 05, Daniel Radcliffe, ID05_IM03.bmp, (0, -400), Leonardo DiCaprio, (550, -100), Orlando Bloom, (300, 300), Ben Stiller, (-300, 300), George Clooney, (-550, -100), Daniel Radcliffe, [  76. -414.], 1, 1.6938424999825656
sub-17, trial26, 14, Patrick Dempsey, ID14_IM02.bmp, (550, -100), Ryan Gosling, (300, 300), Ben Stiller, (-550, -100), Ryan Reynolds, (-300, 300), Elijah Wood, (0, -400), familiar face, [  40. -105.], 1, 4.72831789997872
