subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-24, trial16, 14, Patrick Dempsey, ID14_IM03.bmp, (300, 300), Leonardo DiCaprio, (550, -100), Orlando Bloom, (-300, 300), Brad Pitt, (0, -400), Matt Damon, (-550, -100), Patrick Dempsey, [277. 318.], 1, 2.1694236999901477
sub-24, trial34, 07, George Clooney, ID07_IM02.bmp, (-300, 300), Justin Timberlake, (300, 300), Ben Stiller, (550, -100), Elijah Wood, (0, -400), Ryan Reynolds, (-550, -100), George Clooney, [-237.  300.], 1, 2.0398835000232793
sub-24, trial2, 06, Elijah Wood, ID06_IM03.bmp, (300, 300), Justin Timberlake, (-550, -100), Hugh Jackman, (0, -400), Robert Pattinson, (550, -100), Matt Damon, (-300, 300), idk, [58. 47.], 0, 1.7967027999984566
sub-24, trial44, 02, Ben Stiller, ID02_IM04.bmp, (-300, 300), Patrick Dempsey, (-550, -100), Justin Timberlake, (300, 300), Daniel Craig, (0, -400), Ryan Gosling, (550, -100), Ben Stiller, [-184.  273.], 1, 6.69017950000125
sub-24, trial65, 03, Brad Pitt, ID03_IM04.bmp, (-300, 300), Elijah Wood, (300, 300), Keanu Reeves, (550, -100), Robert Downey Jr, (-550, -100), Daniel Craig, (0, -400), Brad Pitt, [-187.  289.], 1, 3.60383589999401
sub-24, trial54, 16, Robert Pattinson, ID16_IM01.bmp, (0, -400), Justin Timberlake, (550, -100), Orlando Bloom, (-300, 300), Hugh Jackman, (300, 300), Ben Stiller, (-550, -100), Robert Pattinson, [ -31. -384.], 1, 2.425121800013585
sub-24, trial51, 13, Orlando Bloom, ID13_IM04.bmp, (-550, -100), Leonardo DiCaprio, (550, -100), Ben Affleck, (0, -400), Justin Timberlake, (-300, 300), Robert Pattinson, (300, 300), idk, [-5. 83.], 0, 1.4376260999997612
sub-24, trial48, 12, Matt Damon, ID12_IM04.bmp, (0, -400), Orlando Bloom, (300, 300), Elijah Wood, (-300, 300), Ben Stiller, (550, -100), Ben Affleck, (-550, -100), idk, [39. 61.], 0, 1.0504327999951784
sub-24, trial22, 17, Ryan Gosling, ID17_IM03.bmp, (-300, 300), Leonardo DiCaprio, (550, -100), Patrick Dempsey, (300, 300), Keanu Reeves, (-550, -100), George Clooney, (0, -400), Ryan Gosling, [-221.  282.], 1, 4.757748200005153
sub-24, trial56, 01, Ben Affleck, ID01_IM02.bmp, (0, -400), Ryan Gosling, (550, -100), Daniel Craig, (300, 300), Patrick Dempsey, (-550, -100), Elijah Wood, (-300, 300), idk, [70. 51.], 0, 0.917922400025418
sub-24, trial11, 06, Elijah Wood, ID06_IM01.bmp, (-300, 300), Orlando Bloom, (0, -400), George Clooney, (300, 300), Hugh Jackman, (-550, -100), Robert Downey Jr, (550, -100), idk, [92. 57.], 0, 0.8057634999859147
sub-24, trial62, 09, Justin Timberlake, ID09_IM04.bmp, (0, -400), Brad Pitt, (-300, 300), Daniel Craig, (550, -100), Ryan Gosling, (300, 300), Ben Stiller, (-550, -100), Justin Timberlake, [  45. -385.], 1, 2.3877830000128597
sub-24, trial68, 08, Hugh Jackman, ID08_IM04.bmp, (0, -400), Daniel Radcliffe, (-300, 300), Patrick Dempsey, (300, 300), Robert Pattinson, (550, -100), Justin Timberlake, (-550, -100), Justin Timberlake, [-411. -108.], 0, 10.29081760000554
sub-24, trial3, 06, Elijah Wood, ID06_IM02.bmp, (-300, 300), Leonardo DiCaprio, (550, -100), George Clooney, (300, 300), Brad Pitt, (-550, -100), Ben Affleck, (0, -400), idk, [-56.  51.], 0, 1.10816010000417
sub-24, trial47, 17, Ryan Gosling, ID17_IM02.bmp, (-300, 300), Keanu Reeves, (0, -400), Hugh Jackman, (550, -100), George Clooney, (300, 300), Ryan Reynolds, (-550, -100), familiar face, [   8. -119.], 1, 6.453536799992435
sub-24, trial32, 16, Robert Pattinson, ID16_IM02.bmp, (300, 300), Brad Pitt, (550, -100), Daniel Craig, (0, -400), Matt Damon, (-550, -100), Patrick Dempsey, (-300, 300), Robert Pattinson, [197. 294.], 1, 2.1611059000133537
