subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-06, trial67, 04, Daniel Craig, ID04_IM01.bmp, (550, -100), Matt Damon, (0, -400), Ben Stiller, (300, 300), Justin Timberlake, (-300, 300), Hugh Jackman, (-550, -100), Daniel Craig, [ 456. -117.], 1, 2.588741700000014
sub-06, trial52, 05, Daniel Radcliffe, ID05_IM04.bmp, (0, -400), Daniel Craig, (-550, -100), Keanu Reeves, (550, -100), George Clooney, (300, 300), Brad Pitt, (-300, 300), Daniel Radcliffe, [  13. -414.], 1, 2.9378302000000076
sub-06, trial3, 01, Ben Affleck, ID01_IM04.bmp, (-300, 300), Leonardo DiCaprio, (-550, -100), Hugh Jackman, (300, 300), Daniel Radcliffe, (550, -100), George Clooney, (0, -400), Ben Affleck, [-205.  277.], 1, 8.618190099999993
sub-06, trial29, 08, Hugh Jackman, ID08_IM02.bmp, (0, -400), Daniel Radcliffe, (-550, -100), Elijah Wood, (550, -100), Matt Damon, (-300, 300), Keanu Reeves, (300, 300), Hugh Jackman, [  37. -408.], 1, 2.2874960999999985
sub-06, trial70, 04, Daniel Craig, ID04_IM02.bmp, (550, -100), Elijah Wood, (-550, -100), Robert Downey Jr, (-300, 300), Ben Stiller, (0, -400), George Clooney, (300, 300), Daniel Craig, [468. -92.], 1, 3.841919999999959
sub-06, trial19, 11, Leonardo DiCaprio, ID11_IM04.bmp, (-300, 300), Robert Downey Jr, (-550, -100), Ryan Gosling, (300, 300), Orlando Bloom, (0, -400), Ryan Reynolds, (550, -100), Leonardo DiCaprio, [-215.  298.], 1, 1.7572384000000056
sub-06, trial18, 12, Matt Damon, ID12_IM04.bmp, (-300, 300), Robert Downey Jr, (0, -400), Hugh Jackman, (300, 300), Keanu Reeves, (-550, -100), Ryan Reynolds, (550, -100), Matt Damon, [-189.  288.], 1, 2.3640057999999726
sub-06, trial2, 16, Robert Pattinson, ID16_IM03.bmp, (300, 300), Robert Downey Jr, (0, -400), George Clooney, (-300, 300), Elijah Wood, (-550, -100), Leonardo DiCaprio, (550, -100), Robert Pattinson, [242. 283.], 1, 1.3706361999999217
sub-06, trial68, 15, Robert Downey Jr, ID15_IM02.bmp, (300, 300), Ryan Gosling, (550, -100), Daniel Craig, (0, -400), Brad Pitt, (-550, -100), Daniel Radcliffe, (-300, 300), Robert Downey Jr, [224. 281.], 1, 3.0984708000000865
sub-06, trial20, 14, Patrick Dempsey, ID14_IM03.bmp, (0, -400), Hugh Jackman, (550, -100), Ben Affleck, (-550, -100), Brad Pitt, (300, 300), Ryan Gosling, (-300, 300), Patrick Dempsey, [  43. -397.], 1, 6.885787499999992
