subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-04, trial9, 06, Elijah Wood, ID06_IM01.bmp, (-550, -100), Daniel Craig, (-300, 300), Robert Pattinson, (300, 300), Hugh Jackman, (0, -400), Robert Downey Jr, (550, -100), Elijah Wood, [-428.  -84.], 1, 3.6896680000936612
sub-04, trial59, 17, Ryan Gosling, ID17_IM04.bmp, (-300, 300), Robert Downey Jr, (550, -100), Robert Pattinson, (-550, -100), Orlando Bloom, (300, 300), Justin Timberlake, (0, -400), Ryan Gosling, [-249.  325.], 1, 2.717359000002034
sub-04, trial67, 18, Ryan Reynolds, ID18_IM04.bmp, (-300, 300), Ryan Gosling, (-550, -100), Elijah Wood, (300, 300), Daniel Craig, (550, -100), Keanu Reeves, (0, -400), Ryan Reynolds, [-325.  287.], 1, 1.9752865999471396
sub-04, trial19, 02, Ben Stiller, ID02_IM01.bmp, (-300, 300), Ben Affleck, (550, -100), Matt Damon, (-550, -100), Robert Downey Jr, (300, 300), Daniel Radcliffe, (0, -400), Ben Stiller, [-291.  283.], 1, 1.3492154999403283
sub-04, trial72, 06, Elijah Wood, ID06_IM02.bmp, (300, 300), Daniel Craig, (-550, -100), Orlando Bloom, (550, -100), Ryan Gosling, (0, -400), Daniel Radcliffe, (-300, 300), Orlando Bloom, [501. -99.], 0, 2.5570882000029087
sub-04, trial11, 10, Keanu Reeves, ID10_IM03.bmp, (300, 300), Ben Affleck, (550, -100), Ryan Gosling, (-550, -100), Brad Pitt, (-300, 300), Daniel Craig, (0, -400), Keanu Reeves, [220. 288.], 1, 1.403546900022775
sub-04, trial22, 02, Ben Stiller, ID02_IM02.bmp, (0, -400), Robert Downey Jr, (550, -100), Justin Timberlake, (300, 300), Matt Damon, (-550, -100), Brad Pitt, (-300, 300), Ben Stiller, [  78. -357.], 1, 2.385403700056486
sub-04, trial10, 09, Justin Timberlake, ID09_IM03.bmp, (-300, 300), Brad Pitt, (550, -100), Daniel Radcliffe, (-550, -100), Leonardo DiCaprio, (0, -400), Ben Stiller, (300, 300), Justin Timberlake, [-191.  318.], 1, 1.5753857999807224
sub-04, trial46, 09, Justin Timberlake, ID09_IM04.bmp, (550, -100), Matt Damon, (-550, -100), Daniel Radcliffe, (-300, 300), Ryan Reynolds, (300, 300), Ben Affleck, (0, -400), Justin Timberlake, [528. -74.], 1, 1.7668498000130057
sub-04, trial62, 14, Patrick Dempsey, ID14_IM01.bmp, (0, -400), Leonardo DiCaprio, (550, -100), Brad Pitt, (300, 300), Robert Pattinson, (-300, 300), Ryan Reynolds, (-550, -100), Patrick Dempsey, [ 156. -363.], 1, 2.070549999945797
sub-04, trial48, 07, George Clooney, ID07_IM04.bmp, (0, -400), Justin Timberlake, (-300, 300), Leonardo DiCaprio, (300, 300), Hugh Jackman, (550, -100), Matt Damon, (-550, -100), George Clooney, [ 110. -377.], 1, 2.1291290000081062
sub-04, trial58, 08, Hugh Jackman, ID08_IM01.bmp, (-550, -100), Leonardo DiCaprio, (550, -100), George Clooney, (300, 300), Ben Affleck, (-300, 300), Daniel Craig, (0, -400), Hugh Jackman, [-383. -109.], 1, 1.4262968000257388
sub-04, trial5, 17, Ryan Gosling, ID17_IM03.bmp, (-550, -100), Robert Pattinson, (0, -400), Matt Damon, (550, -100), Daniel Radcliffe, (300, 300), Justin Timberlake, (-300, 300), Ryan Gosling, [-402.  -85.], 1, 1.4147124999435619
sub-04, trial38, 08, Hugh Jackman, ID08_IM03.bmp, (300, 300), Brad Pitt, (-300, 300), Ben Affleck, (-550, -100), Robert Pattinson, (0, -400), Daniel Craig, (550, -100), Hugh Jackman, [205. 276.], 1, 2.083872999995947
sub-04, trial45, 09, Justin Timberlake, ID09_IM02.bmp, (-550, -100), Elijah Wood, (-300, 300), Orlando Bloom, (300, 300), Daniel Craig, (550, -100), Keanu Reeves, (0, -400), Justin Timberlake, [-442. -123.], 1, 1.5830816000234336
sub-04, trial61, 16, Robert Pattinson, ID16_IM02.bmp, (300, 300), Ryan Reynolds, (0, -400), Leonardo DiCaprio, (-550, -100), Hugh Jackman, (550, -100), Patrick Dempsey, (-300, 300), Robert Pattinson, [206. 293.], 1, 1.6048833000240847
sub-04, trial50, 04, Daniel Craig, ID04_IM04.bmp, (-550, -100), Robert Downey Jr, (-300, 300), Justin Timberlake, (0, -400), Ryan Gosling, (550, -100), George Clooney, (300, 300), Daniel Craig, [-429.  -99.], 1, 1.2747181999729946
