subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-02, trial4, 14, Patrick Dempsey, ID14_IM01.bmp, (-300, 300), Matt Damon, (-550, -100), Ryan Reynolds, (300, 300), Robert Pattinson, (550, -100), Brad Pitt, (0, -400), idk, [29.  6.], 0, 6.3866036999970675
sub-02, trial23, 11, Leonardo DiCaprio, ID11_IM03.bmp, (300, 300), Daniel Craig, (0, -400), Matt Damon, (550, -100), Keanu Reeves, (-300, 300), Ben Stiller, (-550, -100), Leonardo DiCaprio, [223. 292.], 1, 1.0888827999588102
sub-02, trial34, 02, Ben Stiller, ID02_IM01.bmp, (300, 300), Daniel Radcliffe, (550, -100), Hugh Jackman, (-300, 300), Patrick Dempsey, (-550, -100), Ben Affleck, (0, -400), idk, [-61. -40.], 0, 3.9956412999890745
sub-02, trial63, 10, Keanu Reeves, ID10_IM02.bmp, (-300, 300), Justin Timberlake, (0, -400), Ryan Reynolds, (550, -100), Hugh Jackman, (-550, -100), George Clooney, (300, 300), Keanu Reeves, [-187.  284.], 1, 1.4100667999591678
sub-02, trial24, 16, Robert Pattinson, ID16_IM01.bmp, (0, -400), Leonardo DiCaprio, (-550, -100), Robert Downey Jr, (300, 300), Ben Stiller, (550, -100), Ryan Gosling, (-300, 300), Robert Downey Jr, [212. 272.], 0, 1.207576800021343
sub-02, trial28, 14, Patrick Dempsey, ID14_IM04.bmp, (-300, 300), Keanu Reeves, (300, 300), Robert Downey Jr, (550, -100), Robert Pattinson, (0, -400), George Clooney, (-550, -100), Patrick Dempsey, [-206.  301.], 1, 6.580871099955402
sub-02, trial48, 07, George Clooney, ID07_IM02.bmp, (550, -100), Matt Damon, (0, -400), Keanu Reeves, (-300, 300), Ryan Gosling, (300, 300), Daniel Craig, (-550, -100), George Clooney, [415. -72.], 1, 1.3156733000651002
sub-02, trial7, 15, Robert Downey Jr, ID15_IM01.bmp, (-550, -100), Robert Pattinson, (0, -400), Keanu Reeves, (300, 300), Brad Pitt, (-300, 300), Ryan Reynolds, (550, -100), Robert Downey Jr, [-397.  -86.], 1, 1.9880680000642315
sub-02, trial46, 01, Ben Affleck, ID01_IM01.bmp, (0, -400), Justin Timberlake, (550, -100), Ben Stiller, (-550, -100), Elijah Wood, (-300, 300), Robert Downey Jr, (300, 300), Ben Affleck, [  34. -372.], 1, 1.5948422000510618
sub-02, trial27, 06, Elijah Wood, ID06_IM04.bmp, (0, -400), Orlando Bloom, (550, -100), Leonardo DiCaprio, (-550, -100), Brad Pitt, (-300, 300), Ryan Gosling, (300, 300), Elijah Wood, [  10. -388.], 1, 4.065875799977221
sub-02, trial17, 01, Ben Affleck, ID01_IM04.bmp, (-300, 300), George Clooney, (550, -100), Ryan Reynolds, (300, 300), Daniel Radcliffe, (-550, -100), Leonardo DiCaprio, (0, -400), Ben Affleck, [-202.  322.], 1, 1.6519415999064222
sub-02, trial51, 05, Daniel Radcliffe, ID05_IM03.bmp, (-550, -100), Keanu Reeves, (550, -100), Ben Affleck, (300, 300), Leonardo DiCaprio, (-300, 300), Elijah Wood, (0, -400), Daniel Radcliffe, [-410. -131.], 1, 3.2883054999401793
sub-02, trial5, 09, Justin Timberlake, ID09_IM04.bmp, (300, 300), Leonardo DiCaprio, (-300, 300), Elijah Wood, (0, -400), Ben Stiller, (550, -100), Brad Pitt, (-550, -100), Justin Timberlake, [158. 260.], 1, 1.5312617999734357
sub-02, trial56, 03, Brad Pitt, ID03_IM04.bmp, (0, -400), Justin Timberlake, (550, -100), Elijah Wood, (-550, -100), Daniel Radcliffe, (-300, 300), Patrick Dempsey, (300, 300), Brad Pitt, [  98. -392.], 1, 1.1791194999823347
sub-02, trial2, 06, Elijah Wood, ID06_IM02.bmp, (550, -100), Leonardo DiCaprio, (300, 300), Matt Damon, (-300, 300), Ryan Reynolds, (0, -400), Robert Downey Jr, (-550, -100), Elijah Wood, [399. -70.], 1, 2.7219287999905646
sub-02, trial57, 08, Hugh Jackman, ID08_IM01.bmp, (0, -400), Daniel Craig, (550, -100), Brad Pitt, (-550, -100), Justin Timberlake, (-300, 300), Daniel Radcliffe, (300, 300), Hugh Jackman, [ 137. -399.], 1, 1.9708051999332383
sub-02, trial12, 10, Keanu Reeves, ID10_IM04.bmp, (550, -100), Ryan Gosling, (300, 300), Ben Affleck, (-550, -100), Hugh Jackman, (-300, 300), Orlando Bloom, (0, -400), Keanu Reeves, [ 450. -108.], 1, 2.0337638000492007
sub-02, trial11, 05, Daniel Radcliffe, ID05_IM02.bmp, (-300, 300), Daniel Craig, (0, -400), Elijah Wood, (550, -100), Orlando Bloom, (-550, -100), Keanu Reeves, (300, 300), Daniel Radcliffe, [-184.  272.], 1, 6.278183300048113
sub-02, trial44, 01, Ben Affleck, ID01_IM02.bmp, (0, -400), Patrick Dempsey, (550, -100), Daniel Craig, (300, 300), Orlando Bloom, (-300, 300), Ryan Gosling, (-550, -100), Ben Affleck, [   8. -390.], 1, 1.7127535999752581
sub-02, trial59, 09, Justin Timberlake, ID09_IM02.bmp, (0, -400), Ryan Gosling, (-300, 300), Ben Affleck, (550, -100), Hugh Jackman, (-550, -100), Elijah Wood, (300, 300), Justin Timberlake, [ -26. -356.], 1, 1.5219662999734282
sub-02, trial15, 16, Robert Pattinson, ID16_IM02.bmp, (-300, 300), Elijah Wood, (300, 300), Brad Pitt, (-550, -100), Robert Downey Jr, (550, -100), Ryan Gosling, (0, -400), Robert Pattinson, [-249.  283.], 1, 0.9396526000928134
sub-02, trial41, 17, Ryan Gosling, ID17_IM03.bmp, (300, 300), Justin Timberlake, (-550, -100), Matt Damon, (0, -400), Brad Pitt, (550, -100), Leonardo DiCaprio, (-300, 300), Ryan Gosling, [213. 286.], 1, 1.0600911000510678
sub-02, trial13, 17, Ryan Gosling, ID17_IM02.bmp, (-550, -100), Robert Downey Jr, (550, -100), Justin Timberlake, (0, -400), Ryan Reynolds, (300, 300), Matt Damon, (-300, 300), Ryan Reynolds, [174. 255.], 0, 0.6152920000022277
sub-02, trial31, 06, Elijah Wood, ID06_IM01.bmp, (300, 300), Leonardo DiCaprio, (-550, -100), Ben Stiller, (0, -400), Robert Downey Jr, (-300, 300), George Clooney, (550, -100), Elijah Wood, [216. 297.], 1, 2.8532016000244766
sub-02, trial67, 07, George Clooney, ID07_IM04.bmp, (550, -100), Matt Damon, (300, 300), Daniel Radcliffe, (0, -400), Daniel Craig, (-300, 300), Ryan Reynolds, (-550, -100), George Clooney, [431. -69.], 1, 2.009896299918182
