subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-03, trial25, 12, Matt Damon, ID12_IM01.bmp, (550, -100), Orlando Bloom, (0, -400), Brad Pitt, (-550, -100), Hugh Jackman, (300, 300), Daniel Craig, (-300, 300), Matt Damon, [ 598. -109.], 1, 4.13107470003888
sub-03, trial63, 10, Keanu Reeves, ID10_IM03.bmp, (300, 300), Ryan Reynolds, (-550, -100), Daniel Radcliffe, (-300, 300), Hugh Jackman, (550, -100), George Clooney, (0, -400), Keanu Reeves, [302. 309.], 1, 2.4278310000663623
sub-03, trial72, 01, Ben Affleck, ID01_IM04.bmp, (300, 300), Brad Pitt, (-300, 300), Matt Damon, (0, -400), George Clooney, (-550, -100), Daniel Radcliffe, (550, -100), Ben Affleck, [215. 285.], 1, 1.6898660000879318
sub-03, trial68, 02, Ben Stiller, ID02_IM02.bmp, (300, 300), Elijah Wood, (550, -100), Brad Pitt, (-550, -100), Leonardo DiCaprio, (0, -400), Ben Affleck, (-300, 300), Ben Stiller, [228. 281.], 1, 1.9633157999487594
sub-03, trial48, 07, George Clooney, ID07_IM01.bmp, (0, -400), Hugh Jackman, (300, 300), Daniel Craig, (-300, 300), Leonardo DiCaprio, (-550, -100), Ben Affleck, (550, -100), George Clooney, [ 124. -383.], 1, 2.291174199897796
sub-03, trial56, 04, Daniel Craig, ID04_IM02.bmp, (0, -400), Elijah Wood, (300, 300), Ryan Reynolds, (550, -100), Robert Pattinson, (-550, -100), Keanu Reeves, (-300, 300), Daniel Craig, [  96. -395.], 1, 1.9492240000981838
sub-03, trial36, 08, Hugh Jackman, ID08_IM03.bmp, (-550, -100), Elijah Wood, (550, -100), Robert Downey Jr, (300, 300), George Clooney, (-300, 300), Daniel Craig, (0, -400), Hugh Jackman, [-441. -115.], 1, 2.166275899973698
sub-03, trial34, 14, Patrick Dempsey, ID14_IM03.bmp, (-550, -100), Keanu Reeves, (550, -100), Leonardo DiCaprio, (-300, 300), Matt Damon, (0, -400), Orlando Bloom, (300, 300), Patrick Dempsey, [-447. -115.], 1, 2.035953600076027
sub-03, trial35, 13, Orlando Bloom, ID13_IM02.bmp, (0, -400), Ben Affleck, (300, 300), Elijah Wood, (-550, -100), Ryan Gosling, (-300, 300), Daniel Radcliffe, (550, -100), Orlando Bloom, [ -91. -382.], 1, 1.6482209999812767
sub-03, trial55, 11, Leonardo DiCaprio, ID11_IM03.bmp, (0, -400), Patrick Dempsey, (-550, -100), George Clooney, (-300, 300), Brad Pitt, (300, 300), Daniel Radcliffe, (550, -100), Leonardo DiCaprio, [ -56. -405.], 1, 1.1724980999715626
sub-03, trial61, 09, Justin Timberlake, ID09_IM02.bmp, (550, -100), Robert Downey Jr, (0, -400), Ben Stiller, (300, 300), Hugh Jackman, (-300, 300), Leonardo DiCaprio, (-550, -100), Justin Timberlake, [ 439. -134.], 1, 2.0672569000162184
sub-03, trial62, 01, Ben Affleck, ID01_IM01.bmp, (0, -400), Robert Pattinson, (-550, -100), Brad Pitt, (-300, 300), Justin Timberlake, (550, -100), Robert Downey Jr, (300, 300), Ben Affleck, [  29. -385.], 1, 1.462816100101918
sub-03, trial29, 04, Daniel Craig, ID04_IM04.bmp, (-550, -100), Justin Timberlake, (-300, 300), Robert Pattinson, (300, 300), Hugh Jackman, (0, -400), Patrick Dempsey, (550, -100), Daniel Craig, [-406. -108.], 1, 1.3462837000843138
