subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-13, trial25, 02, Ben Stiller, ID02_IM01.bmp, (-300, 300), George Clooney, (0, -400), Robert Downey Jr, (300, 300), Keanu Reeves, (-550, -100), Daniel Radcliffe, (550, -100), Ben Stiller, [-225.  273.], 1, 2.5525971000024583
sub-13, trial46, 09, Justin Timberlake, ID09_IM04.bmp, (-300, 300), Ryan Gosling, (300, 300), Robert Downey Jr, (-550, -100), Brad Pitt, (550, -100), Daniel Radcliffe, (0, -400), Justin Timberlake, [-259.  281.], 1, 1.5838083000126062
sub-13, trial62, 07, George Clooney, ID07_IM01.bmp, (-300, 300), Patrick Dempsey, (0, -400), Robert Downey Jr, (-550, -100), Ben Stiller, (550, -100), Daniel Radcliffe, (300, 300), George Clooney, [-254.  309.], 1, 2.6217772999953013
sub-13, trial2, 02, Ben Stiller, ID02_IM03.bmp, (300, 300), Daniel Radcliffe, (-300, 300), Ryan Reynolds, (0, -400), Elijah Wood, (550, -100), Orlando Bloom, (-550, -100), Ben Stiller, [201. 291.], 1, 1.4188432000082685
sub-13, trial40, 13, Orlando Bloom, ID13_IM04.bmp, (550, -100), Ben Stiller, (-550, -100), Ryan Gosling, (0, -400), Matt Damon, (-300, 300), Patrick Dempsey, (300, 300), Orlando Bloom, [470. -74.], 1, 1.5843514000007417
sub-13, trial38, 12, Matt Damon, ID12_IM04.bmp, (-550, -100), Ben Stiller, (0, -400), Justin Timberlake, (300, 300), Ben Affleck, (-300, 300), Daniel Radcliffe, (550, -100), Matt Damon, [-428.  -64.], 1, 2.478644200004055
sub-13, trial59, 16, Robert Pattinson, ID16_IM02.bmp, (-550, -100), Brad Pitt, (300, 300), Ben Affleck, (0, -400), Daniel Radcliffe, (550, -100), Keanu Reeves, (-300, 300), Robert Pattinson, [-466.  -75.], 1, 1.6900524999946356
sub-13, trial14, 10, Keanu Reeves, ID10_IM03.bmp, (-300, 300), Justin Timberlake, (550, -100), Daniel Craig, (0, -400), Daniel Radcliffe, (-550, -100), Ben Stiller, (300, 300), Keanu Reeves, [-187.  276.], 1, 1.4349442000093404
sub-13, trial58, 13, Orlando Bloom, ID13_IM03.bmp, (-550, -100), George Clooney, (550, -100), Elijah Wood, (300, 300), Justin Timberlake, (0, -400), Ben Stiller, (-300, 300), Orlando Bloom, [-403.  -66.], 1, 1.1516047999903094
sub-13, trial56, 15, Robert Downey Jr, ID15_IM04.bmp, (-300, 300), Ryan Reynolds, (300, 300), Daniel Radcliffe, (0, -400), Patrick Dempsey, (-550, -100), Justin Timberlake, (550, -100), Robert Downey Jr, [-233.  283.], 1, 3.1033125999965705
