subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-01, trial23, 14, Patrick Dempsey, ID14_IM01.bmp, (300, 300), Robert Pattinson, (-550, -100), Matt Damon, (550, -100), Ryan Gosling, (0, -400), George Clooney, (-300, 300), Patrick Dempsey, [329. 282.], 1, 5.929055500004324
sub-01, trial67, 16, Robert Pattinson, ID16_IM01.bmp, (-300, 300), Ryan Gosling, (550, -100), Hugh Jackman, (0, -400), Ben Stiller, (-550, -100), Matt Damon, (300, 300), Robert Pattinson, [-172.  293.], 1, 1.1868278999900213
sub-01, trial42, 18, Ryan Reynolds, ID18_IM04.bmp, (-300, 300), Robert Pattinson, (-550, -100), Brad Pitt, (300, 300), Justin Timberlake, (550, -100), Ben Affleck, (0, -400), Ryan Reynolds, [-211.  290.], 1, 2.281266100006178
sub-01, trial25, 02, Ben Stiller, ID02_IM03.bmp, (-550, -100), Robert Pattinson, (-300, 300), Keanu Reeves, (0, -400), Brad Pitt, (550, -100), Matt Damon, (300, 300), Ben Stiller, [-459.  -96.], 1, 2.131920400002855
sub-01, trial36, 06, Elijah Wood, ID06_IM04.bmp, (-300, 300), Robert Pattinson, (550, -100), Robert Downey Jr, (300, 300), Ryan Reynolds, (0, -400), Matt Damon, (-550, -100), Elijah Wood, [-201.  273.], 1, 1.476691199990455
sub-01, trial35, 02, Ben Stiller, ID02_IM02.bmp, (-550, -100), Hugh Jackman, (0, -400), Ben Affleck, (-300, 300), Keanu Reeves, (550, -100), Patrick Dempsey, (300, 300), Ben Stiller, [-466.  -95.], 1, 0.8879513000138104
sub-01, trial22, 16, Robert Pattinson, ID16_IM02.bmp, (0, -400), Ryan Gosling, (550, -100), Hugh Jackman, (-550, -100), Ben Stiller, (-300, 300), Orlando Bloom, (300, 300), Robert Pattinson, [ 130. -376.], 1, 2.426699400006328
sub-01, trial3, 09, Justin Timberlake, ID09_IM01.bmp, (-300, 300), Elijah Wood, (0, -400), Orlando Bloom, (300, 300), Ryan Gosling, (-550, -100), Ben Affleck, (550, -100), Justin Timberlake, [-194.  283.], 1, 1.2944557000009809
sub-01, trial7, 04, Daniel Craig, ID04_IM04.bmp, (550, -100), Ryan Gosling, (0, -400), Daniel Radcliffe, (-300, 300), Ryan Reynolds, (300, 300), George Clooney, (-550, -100), Daniel Craig, [ 428. -110.], 1, 1.0570715999929234
sub-01, trial57, 08, Hugh Jackman, ID08_IM04.bmp, (-300, 300), Leonardo DiCaprio, (550, -100), Keanu Reeves, (300, 300), Daniel Craig, (0, -400), Patrick Dempsey, (-550, -100), Hugh Jackman, [-197.  286.], 1, 1.933012499997858
sub-01, trial51, 06, Elijah Wood, ID06_IM03.bmp, (300, 300), Robert Downey Jr, (-550, -100), Hugh Jackman, (550, -100), Robert Pattinson, (-300, 300), Leonardo DiCaprio, (0, -400), Elijah Wood, [211. 298.], 1, 1.3816795999882743
sub-01, trial4, 10, Keanu Reeves, ID10_IM03.bmp, (550, -100), Ben Stiller, (-550, -100), Justin Timberlake, (0, -400), Ryan Reynolds, (300, 300), Daniel Radcliffe, (-300, 300), Keanu Reeves, [ 497. -122.], 1, 1.5877095999894664
sub-01, trial65, 11, Leonardo DiCaprio, ID11_IM04.bmp, (-300, 300), Daniel Craig, (-550, -100), Justin Timberlake, (0, -400), Ryan Gosling, (550, -100), George Clooney, (300, 300), Leonardo DiCaprio, [-240.  290.], 1, 1.2903933000052348
sub-01, trial38, 09, Justin Timberlake, ID09_IM02.bmp, (-300, 300), Ryan Reynolds, (0, -400), Daniel Radcliffe, (-550, -100), Patrick Dempsey, (300, 300), Leonardo DiCaprio, (550, -100), Justin Timberlake, [-236.  288.], 1, 3.429208000001381
