subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-08, trial58, 14, Patrick Dempsey, ID14_IM01.bmp, (0, -400), Ryan Gosling, (-300, 300), Ben Stiller, (550, -100), Robert Downey Jr, (300, 300), Daniel Craig, (-550, -100), Patrick Dempsey, [ -78. -410.], 1, 2.0384199999971315
sub-08, trial70, 10, Keanu Reeves, ID10_IM04.bmp, (550, -100), George Clooney, (-550, -100), Ryan Gosling, (300, 300), Matt Damon, (0, -400), Ben Affleck, (-300, 300), Keanu Reeves, [ 451. -115.], 1, 1.8589794999570586
sub-08, trial62, 04, Daniel Craig, ID04_IM01.bmp, (300, 300), Ryan Reynolds, (-550, -100), Ryan Gosling, (0, -400), George Clooney, (-300, 300), Patrick Dempsey, (550, -100), Daniel Craig, [225. 316.], 1, 3.278375100053381
sub-08, trial43, 07, George Clooney, ID07_IM02.bmp, (-550, -100), Patrick Dempsey, (300, 300), Ben Affleck, (0, -400), Daniel Craig, (550, -100), Robert Downey Jr, (-300, 300), George Clooney, [-473.  -66.], 1, 1.1694010000210255
sub-08, trial57, 03, Brad Pitt, ID03_IM03.bmp, (-550, -100), Justin Timberlake, (550, -100), Matt Damon, (0, -400), Daniel Radcliffe, (-300, 300), Leonardo DiCaprio, (300, 300), Brad Pitt, [-402. -100.], 1, 1.2877394999959506
sub-08, trial1, 05, Daniel Radcliffe, ID05_IM03.bmp, (0, -400), Robert Pattinson, (-550, -100), Ben Stiller, (-300, 300), George Clooney, (550, -100), Robert Downey Jr, (300, 300), Daniel Radcliffe, [  47. -387.], 1, 1.6573505999986082
sub-08, trial64, 09, Justin Timberlake, ID09_IM01.bmp, (300, 300), Ryan Gosling, (-300, 300), Keanu Reeves, (-550, -100), Ben Stiller, (550, -100), Elijah Wood, (0, -400), Justin Timberlake, [273. 295.], 1, 1.43884740001522
sub-08, trial9, 13, Orlando Bloom, ID13_IM01.bmp, (-550, -100), Patrick Dempsey, (300, 300), Leonardo DiCaprio, (550, -100), Robert Downey Jr, (0, -400), Daniel Radcliffe, (-300, 300), Orlando Bloom, [-430.  -86.], 1, 4.907101700024214
sub-08, trial35, 01, Ben Affleck, ID01_IM03.bmp, (0, -400), Justin Timberlake, (-550, -100), Daniel Craig, (-300, 300), Elijah Wood, (300, 300), Robert Downey Jr, (550, -100), Ben Affleck, [   7. -378.], 1, 3.1810110000078566
sub-08, trial34, 03, Brad Pitt, ID03_IM02.bmp, (0, -400), Leonardo DiCaprio, (-300, 300), Ben Affleck, (300, 300), Daniel Craig, (-550, -100), Keanu Reeves, (550, -100), Brad Pitt, [   6. -373.], 1, 4.011358999996446
