subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-05, trial1, 16, Robert Pattinson, ID16_IM01.bmp, (550, -100), Ryan Gosling, (300, 300), Justin Timberlake, (-300, 300), Ben Affleck, (0, -400), Hugh Jackman, (-550, -100), Robert Pattinson, [ 579. -121.], 1, 1.335167599999295
sub-05, trial59, 08, Hugh Jackman, ID08_IM04.bmp, (-300, 300), Robert Pattinson, (0, -400), Elijah Wood, (300, 300), Ryan Reynolds, (550, -100), Matt Damon, (-550, -100), Hugh Jackman, [-188.  274.], 1, 0.99119249999967
sub-05, trial3, 12, Matt Damon, ID12_IM03.bmp, (-550, -100), Daniel Radcliffe, (-300, 300), Hugh Jackman, (300, 300), Ben Stiller, (0, -400), George Clooney, (550, -100), Matt Damon, [-481.  -80.], 1, 1.0362553000004482
sub-05, trial60, 14, Patrick Dempsey, ID14_IM03.bmp, (550, -100), Keanu Reeves, (300, 300), George Clooney, (-550, -100), Ben Affleck, (-300, 300), Leonardo DiCaprio, (0, -400), Patrick Dempsey, [ 511. -116.], 1, 0.8411366999998791
sub-05, trial20, 17, Ryan Gosling, ID17_IM03.bmp, (0, -400), George Clooney, (300, 300), Ben Stiller, (-300, 300), Elijah Wood, (-550, -100), Matt Damon, (550, -100), Ryan Gosling, [  65. -411.], 1, 1.8288265999999567
sub-05, trial12, 01, Ben Affleck, ID01_IM01.bmp, (-550, -100), Daniel Craig, (0, -400), Keanu Reeves, (550, -100), Orlando Bloom, (-300, 300), George Clooney, (300, 300), Ben Affleck, [-556. -115.], 1, 1.082143000000542
sub-05, trial67, 15, Robert Downey Jr, ID15_IM03.bmp, (0, -400), Orlando Bloom, (-300, 300), Keanu Reeves, (-550, -100), Justin Timberlake, (550, -100), Elijah Wood, (300, 300), Robert Downey Jr, [ 106. -380.], 1, 1.4525330999995276
sub-05, trial29, 15, Robert Downey Jr, ID15_IM01.bmp, (-300, 300), Daniel Radcliffe, (0, -400), Ben Affleck, (-550, -100), Justin Timberlake, (550, -100), Keanu Reeves, (300, 300), Robert Downey Jr, [-294.  272.], 1, 1.1122574000000895
sub-05, trial7, 01, Ben Affleck, ID01_IM04.bmp, (0, -400), Ben Stiller, (550, -100), Daniel Radcliffe, (-550, -100), Leonardo DiCaprio, (300, 300), Keanu Reeves, (-300, 300), Ben Affleck, [ 101. -397.], 1, 1.161514000000352
sub-05, trial22, 10, Keanu Reeves, ID10_IM03.bmp, (550, -100), Patrick Dempsey, (300, 300), Brad Pitt, (-300, 300), Robert Downey Jr, (0, -400), Daniel Craig, (-550, -100), Keanu Reeves, [ 542. -104.], 1, 1.2085766000000149
sub-05, trial33, 01, Ben Affleck, ID01_IM03.bmp, (-300, 300), Matt Damon, (0, -400), Daniel Craig, (-550, -100), Orlando Bloom, (550, -100), Justin Timberlake, (300, 300), Ben Affleck, [-281.  280.], 1, 1.662221800000225
sub-05, trial15, 13, Orlando Bloom, ID13_IM02.bmp, (-300, 300), Keanu Reeves, (300, 300), Robert Pattinson, (550, -100), Justin Timberlake, (0, -400), Daniel Radcliffe, (-550, -100), Orlando Bloom, [-401.  308.], 1, 1.5370818999999756
sub-05, trial9, 12, Matt Damon, ID12_IM04.bmp, (300, 300), Ben Stiller, (-550, -100), Patrick Dempsey, (550, -100), Ben Affleck, (0, -400), Hugh Jackman, (-300, 300), Matt Damon, [280. 290.], 1, 1.6669152000004033
sub-05, trial39, 05, Daniel Radcliffe, ID05_IM03.bmp, (-550, -100), Ryan Gosling, (0, -400), Ben Stiller, (300, 300), Elijah Wood, (550, -100), Matt Damon, (-300, 300), Daniel Radcliffe, [-418.  -88.], 1, 1.0140764999996463
sub-05, trial5, 06, Elijah Wood, ID06_IM03.bmp, (0, -400), Ben Stiller, (-300, 300), Patrick Dempsey, (300, 300), George Clooney, (-550, -100), Robert Pattinson, (550, -100), Elijah Wood, [ 108. -384.], 1, 1.57912639999995
sub-05, trial61, 18, Ryan Reynolds, ID18_IM04.bmp, (-300, 300), Leonardo DiCaprio, (300, 300), George Clooney, (0, -400), Keanu Reeves, (550, -100), Daniel Craig, (-550, -100), Ryan Reynolds, [-300.  269.], 1, 0.978449900000669
sub-05, trial41, 14, Patrick Dempsey, ID14_IM01.bmp, (300, 300), Ryan Reynolds, (550, -100), Justin Timberlake, (-550, -100), Leonardo DiCaprio, (0, -400), Matt Damon, (-300, 300), Patrick Dempsey, [346. 299.], 1, 1.169538499999362
