Sujet,Trial,Condition,Filter,Imname,Actor0,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Answer,Accu,RT,Score,Scoreperc, 
1,17,upright,0,pos0_id7_im1.bmp_pos0_id7_im2.bmp,['Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png'],diff,0,0.6215619999999831,4,66.66666666666667,
1,18,inverted,90,pos90_id2_im1.bmp_pos90_id2_im2.bmp,['Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png'],diff,0,0.3859576666666271,4,66.66666666666667,
1,19,inverted,fs,posfs_id2_im1.bmp_posfs_id2_im3.bmp,['Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png'],same,1,0.45559545833327775,5,66.66666666666667,
1,20,inverted,0,pos0_id4_im1.bmp_pos0_id8_im3.bmp,['Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png'],same,0,0.4719244166666954,5,66.66666666666667,
1,21,inverted,90,pos90_id2_im1.bmp_pos90_id3_im2.bmp,['Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png'],diff,1,0.2704191666666702,6,66.66666666666667,
1,22,inverted,fs,posfs_id7_im1.bmp_posfs_id1_im1.bmp,['Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png'],diff,1,0.6839292083333248,7,66.66666666666667,
1,23,inverted,0,pos0_id7_im1.bmp_pos0_id7_im2.bmp,['Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png'],diff,0,0.5014758749999828,7,66.66666666666667,
1,24,inverted,90,pos90_id4_im2.bmp_pos90_id7_im2.bmp,['Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png'],diff,1,0.9702304166667091,1,58.333333333333336,
1,25,inverted,fs,posfs_id4_im1.bmp_posfs_id4_im3.bmp,['Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png'],diff,0,0.38029704166666534,1,58.333333333333336,
1,26,inverted,0,pos0_id6_im2.bmp_pos0_id4_im1.bmp,['Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png'],diff,1,0.5712781666666729,2,58.333333333333336,
1,27,inverted,90,pos90_id2_im3.bmp_pos90_id1_im3.bmp,['Im_DanielCraig.png', 'Im_BradPitt.png', 'Im_GeorgeClooney.png', 'Im_JustinTimberlake.png', 'Im_RyanGosling.png', 'Im_LeonardoDiCaprio.png', 'Im_RobertPattinson.png', 'Im_DanielRadcliffe.png'],diff,1,0.43016249999999445,3,58.333333333333336,
