subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-02, trial47, 13, Orlando Bloom, ID13_IM02.bmp, (550, -100), Keanu Reeves, (-300, 300), Ryan Gosling, (0, -400), Robert Pattinson, (300, 300), Elijah Wood, (-550, -100), Orlando Bloom, [ 497. -120.], 1, 12.84723649999978
sub-02, trial54, 05, Daniel Radcliffe, ID05_IM03.bmp, (300, 300), Leonardo DiCaprio, (0, -400), Ryan Reynolds, (-550, -100), Hugh Jackman, (550, -100), Daniel Craig, (-300, 300), Daniel Radcliffe, [264. 299.], 1, 2.330484800000704
sub-02, trial8, 08, Hugh Jackman, ID08_IM01.bmp, (-550, -100), Elijah Wood, (550, -100), Justin Timberlake, (-300, 300), Daniel Radcliffe, (300, 300), Keanu Reeves, (0, -400), Hugh Jackman, [-577.  -88.], 1, 2.0280626000003394
sub-02, trial59, 15, Robert Downey Jr, ID15_IM03.bmp, (550, -100), Ben Stiller, (0, -400), Ryan Reynolds, (-550, -100), Patrick Dempsey, (300, 300), Justin Timberlake, (-300, 300), Robert Downey Jr, [477. -95.], 1, 2.176988100000017
sub-02, trial36, 17, Ryan Gosling, ID17_IM01.bmp, (0, -400), Ben Stiller, (300, 300), Hugh Jackman, (-300, 300), Justin Timberlake, (-550, -100), Daniel Craig, (550, -100), Ryan Gosling, [  53. -427.], 1, 2.2242603000013332
sub-02, trial18, 09, Justin Timberlake, ID09_IM04.bmp, (-300, 300), Elijah Wood, (550, -100), Ben Affleck, (-550, -100), Brad Pitt, (300, 300), George Clooney, (0, -400), Justin Timberlake, [-295.  273.], 1, 1.4847206000013102
sub-02, trial57, 01, Ben Affleck, ID01_IM04.bmp, (300, 300), Justin Timberlake, (0, -400), Keanu Reeves, (-300, 300), Matt Damon, (550, -100), Orlando Bloom, (-550, -100), Justin Timberlake, [  26. -403.], 0, 5.143562299999758
sub-02, trial37, 07, George Clooney, ID07_IM04.bmp, (550, -100), Keanu Reeves, (-300, 300), Robert Pattinson, (300, 300), Leonardo DiCaprio, (0, -400), Ben Stiller, (-550, -100), George Clooney, [ 522. -101.], 1, 2.254979600000297
sub-02, trial42, 02, Ben Stiller, ID02_IM01.bmp, (300, 300), Elijah Wood, (-550, -100), Brad Pitt, (550, -100), Leonardo DiCaprio, (-300, 300), Ryan Reynolds, (0, -400), Ben Stiller, [198. 322.], 1, 2.635226899999907
sub-02, trial31, 11, Leonardo DiCaprio, ID11_IM04.bmp, (-550, -100), Robert Pattinson, (300, 300), Hugh Jackman, (0, -400), Ryan Reynolds, (-300, 300), Daniel Craig, (550, -100), Leonardo DiCaprio, [-486. -115.], 1, 2.4318283000011434
sub-02, trial32, 04, Daniel Craig, ID04_IM02.bmp, (-550, -100), George Clooney, (0, -400), Hugh Jackman, (550, -100), Robert Pattinson, (-300, 300), Robert Downey Jr, (300, 300), Daniel Craig, [-456.  -89.], 1, 1.8524035999998887
