subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-05, trial37, 10, Keanu Reeves, ID10_IM03.bmp, (550, -100), Leonardo DiCaprio, (-550, -100), Hugh Jackman, (0, -400), Ben Affleck, (300, 300), Daniel Radcliffe, (-300, 300), Keanu Reeves, [ 516. -104.], 1, 1.9283983000786975
sub-05, trial4, 02, Ben Stiller, ID02_IM04.bmp, (0, -400), Leonardo DiCaprio, (550, -100), Daniel Radcliffe, (-300, 300), George Clooney, (-550, -100), Justin Timberlake, (300, 300), Ben Stiller, [  54. -390.], 1, 1.2737744000041857
sub-05, trial22, 04, Daniel Craig, ID04_IM01.bmp, (550, -100), Hugh Jackman, (0, -400), Robert Pattinson, (-300, 300), Robert Downey Jr, (-550, -100), Ryan Gosling, (300, 300), Daniel Craig, [497. -92.], 1, 1.7719554000068456
sub-05, trial39, 06, Elijah Wood, ID06_IM03.bmp, (300, 300), Justin Timberlake, (550, -100), Robert Pattinson, (-550, -100), Ben Affleck, (-300, 300), Hugh Jackman, (0, -400), Elijah Wood, [351. 287.], 1, 1.8673695999896154
sub-05, trial11, 15, Robert Downey Jr, ID15_IM01.bmp, (-550, -100), Patrick Dempsey, (0, -400), Matt Damon, (300, 300), Leonardo DiCaprio, (-300, 300), Ryan Reynolds, (550, -100), Robert Downey Jr, [-462.  -89.], 1, 1.8546199999982491
sub-05, trial53, 09, Justin Timberlake, ID09_IM03.bmp, (300, 300), Patrick Dempsey, (0, -400), Daniel Craig, (550, -100), Leonardo DiCaprio, (-300, 300), Ryan Reynolds, (-550, -100), Justin Timberlake, [292. 277.], 1, 1.2421236999798566
sub-05, trial52, 04, Daniel Craig, ID04_IM03.bmp, (-550, -100), Orlando Bloom, (550, -100), George Clooney, (0, -400), Ben Affleck, (300, 300), Keanu Reeves, (-300, 300), Daniel Craig, [-509.  -95.], 1, 1.7420697000343353
sub-05, trial36, 16, Robert Pattinson, ID16_IM03.bmp, (-300, 300), Leonardo DiCaprio, (-550, -100), George Clooney, (550, -100), Orlando Bloom, (300, 300), Justin Timberlake, (0, -400), Robert Pattinson, [-299.  296.], 1, 0.9500250000273809
sub-05, trial72, 09, Justin Timberlake, ID09_IM01.bmp, (-550, -100), Leonardo DiCaprio, (-300, 300), Orlando Bloom, (0, -400), Daniel Craig, (550, -100), Ryan Gosling, (300, 300), Justin Timberlake, [-426. -111.], 1, 1.781577300047502
sub-05, trial13, 18, Ryan Reynolds, ID18_IM04.bmp, (550, -100), Daniel Craig, (-300, 300), Daniel Radcliffe, (300, 300), Justin Timberlake, (-550, -100), Ben Affleck, (0, -400), Ryan Reynolds, [ 514. -112.], 1, 3.348409799975343
