subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-03, trial7, 18, Ryan Reynolds, ID18_IM01.bmp, (0, -400), Daniel Radcliffe, (-550, -100), Matt Damon, (-300, 300), Robert Downey Jr, (300, 300), Hugh Jackman, (550, -100), Ryan Reynolds, [ 112. -374.], 1, 2.365360000054352
sub-03, trial17, 18, Ryan Reynolds, ID18_IM04.bmp, (550, -100), Elijah Wood, (-550, -100), George Clooney, (0, -400), Ben Stiller, (-300, 300), Robert Downey Jr, (300, 300), Ryan Reynolds, [ 420. -102.], 1, 2.38874140009284
sub-03, trial38, 14, Patrick Dempsey, ID14_IM03.bmp, (300, 300), Elijah Wood, (0, -400), Brad Pitt, (550, -100), Robert Pattinson, (-550, -100), Daniel Radcliffe, (-300, 300), Patrick Dempsey, [333. 289.], 1, 2.0766588000115007
sub-03, trial65, 04, Daniel Craig, ID04_IM04.bmp, (-300, 300), Daniel Radcliffe, (550, -100), Ryan Reynolds, (0, -400), Ben Affleck, (300, 300), Robert Downey Jr, (-550, -100), Daniel Craig, [-154.  311.], 1, 1.3347993000643328
sub-03, trial20, 02, Ben Stiller, ID02_IM03.bmp, (0, -400), Ryan Reynolds, (-300, 300), Elijah Wood, (-550, -100), Robert Pattinson, (300, 300), Justin Timberlake, (550, -100), Ben Stiller, [  33. -359.], 1, 1.591306799906306
sub-03, trial33, 11, Leonardo DiCaprio, ID11_IM01.bmp, (0, -400), Justin Timberlake, (550, -100), Daniel Radcliffe, (-550, -100), Patrick Dempsey, (300, 300), Ben Affleck, (-300, 300), Leonardo DiCaprio, [ 104. -370.], 1, 2.0047835999866948
sub-03, trial31, 16, Robert Pattinson, ID16_IM01.bmp, (300, 300), Hugh Jackman, (550, -100), Matt Damon, (-300, 300), Ben Stiller, (-550, -100), Patrick Dempsey, (0, -400), Robert Pattinson, [246. 287.], 1, 1.4682995999464765
sub-03, trial48, 01, Ben Affleck, ID01_IM02.bmp, (-550, -100), Justin Timberlake, (550, -100), Elijah Wood, (300, 300), Ryan Reynolds, (0, -400), Hugh Jackman, (-300, 300), Ben Affleck, [-430.  -92.], 1, 1.885363999987021
sub-03, trial47, 12, Matt Damon, ID12_IM03.bmp, (300, 300), Ben Stiller, (0, -400), Brad Pitt, (-550, -100), Robert Pattinson, (-300, 300), Daniel Craig, (550, -100), Matt Damon, [177. 274.], 1, 3.5054547000909224
sub-03, trial10, 15, Robert Downey Jr, ID15_IM01.bmp, (-300, 300), Ryan Reynolds, (300, 300), Daniel Craig, (-550, -100), Ryan Gosling, (0, -400), Ben Affleck, (550, -100), Robert Downey Jr, [-208.  302.], 1, 1.170358500094153
sub-03, trial14, 06, Elijah Wood, ID06_IM02.bmp, (550, -100), Justin Timberlake, (300, 300), Patrick Dempsey, (-550, -100), Orlando Bloom, (-300, 300), Robert Pattinson, (0, -400), Elijah Wood, [454. -77.], 1, 2.3129184999270365
sub-03, trial26, 01, Ben Affleck, ID01_IM04.bmp, (-550, -100), Brad Pitt, (300, 300), Robert Pattinson, (550, -100), Ryan Reynolds, (0, -400), Keanu Reeves, (-300, 300), Keanu Reeves, [-236.  324.], 0, 1.2911387999774888
sub-03, trial32, 11, Leonardo DiCaprio, ID11_IM04.bmp, (-300, 300), Hugh Jackman, (0, -400), Justin Timberlake, (550, -100), Keanu Reeves, (300, 300), Elijah Wood, (-550, -100), Leonardo DiCaprio, [-237.  315.], 1, 2.0454105000244454
sub-03, trial54, 15, Robert Downey Jr, ID15_IM02.bmp, (-550, -100), Hugh Jackman, (300, 300), Ryan Gosling, (-300, 300), Keanu Reeves, (0, -400), Brad Pitt, (550, -100), Robert Downey Jr, [-436.  -96.], 1, 1.681238100049086
sub-03, trial51, 05, Daniel Radcliffe, ID05_IM02.bmp, (0, -400), Matt Damon, (550, -100), Robert Pattinson, (-550, -100), Ben Stiller, (300, 300), Patrick Dempsey, (-300, 300), Daniel Radcliffe, [-120. -381.], 1, 1.8363802999956533
sub-03, trial12, 02, Ben Stiller, ID02_IM01.bmp, (-550, -100), Matt Damon, (300, 300), Keanu Reeves, (-300, 300), Robert Downey Jr, (0, -400), Orlando Bloom, (550, -100), Ben Stiller, [-450. -114.], 1, 0.8088481000158936
sub-03, trial19, 11, Leonardo DiCaprio, ID11_IM02.bmp, (300, 300), Elijah Wood, (550, -100), George Clooney, (0, -400), Daniel Radcliffe, (-550, -100), Ben Stiller, (-300, 300), Leonardo DiCaprio, [228. 301.], 1, 1.14303029992152
sub-03, trial55, 10, Keanu Reeves, ID10_IM04.bmp, (550, -100), Patrick Dempsey, (0, -400), Daniel Radcliffe, (300, 300), Matt Damon, (-300, 300), Justin Timberlake, (-550, -100), Keanu Reeves, [ 504. -122.], 1, 3.110574800055474
sub-03, trial56, 08, Hugh Jackman, ID08_IM04.bmp, (-300, 300), Leonardo DiCaprio, (0, -400), Matt Damon, (300, 300), Daniel Craig, (-550, -100), Keanu Reeves, (550, -100), Hugh Jackman, [-219.  309.], 1, 1.7131564998999238
sub-03, trial29, 01, Ben Affleck, ID01_IM03.bmp, (550, -100), Daniel Craig, (300, 300), Matt Damon, (0, -400), Ryan Gosling, (-550, -100), Orlando Bloom, (-300, 300), Ben Affleck, [470. -92.], 1, 1.4733099000295624
sub-03, trial3, 07, George Clooney, ID07_IM04.bmp, (-550, -100), Daniel Craig, (-300, 300), Keanu Reeves, (0, -400), Matt Damon, (550, -100), Robert Downey Jr, (300, 300), George Clooney, [-453.  -79.], 1, 1.0118891999591142
sub-03, trial35, 16, Robert Pattinson, ID16_IM04.bmp, (300, 300), Ryan Gosling, (0, -400), Keanu Reeves, (-300, 300), Leonardo DiCaprio, (550, -100), Orlando Bloom, (-550, -100), Robert Pattinson, [198. 278.], 1, 1.2421236999798566
sub-03, trial24, 04, Daniel Craig, ID04_IM01.bmp, (550, -100), Patrick Dempsey, (300, 300), Brad Pitt, (-550, -100), Ben Affleck, (-300, 300), Daniel Radcliffe, (0, -400), Daniel Craig, [ 429. -136.], 1, 1.8792560000438243
sub-03, trial27, 13, Orlando Bloom, ID13_IM02.bmp, (300, 300), Leonardo DiCaprio, (-550, -100), Daniel Craig, (550, -100), Matt Damon, (0, -400), Ryan Reynolds, (-300, 300), Orlando Bloom, [294. 281.], 1, 3.025376799982041
sub-03, trial21, 03, Brad Pitt, ID03_IM04.bmp, (300, 300), Robert Pattinson, (0, -400), Matt Damon, (-300, 300), Ryan Gosling, (-550, -100), Ben Stiller, (550, -100), Brad Pitt, [286. 319.], 1, 2.4459590000333264
sub-03, trial62, 16, Robert Pattinson, ID16_IM03.bmp, (-550, -100), Ryan Gosling, (300, 300), Leonardo DiCaprio, (-300, 300), Brad Pitt, (550, -100), Daniel Craig, (0, -400), Robert Pattinson, [-445.  -83.], 1, 1.1064940000651404
sub-03, trial52, 04, Daniel Craig, ID04_IM03.bmp, (0, -400), Ben Affleck, (550, -100), Leonardo DiCaprio, (-300, 300), Keanu Reeves, (-550, -100), Ryan Gosling, (300, 300), Daniel Craig, [  95. -377.], 1, 1.5718592000193894
sub-03, trial30, 06, Elijah Wood, ID06_IM03.bmp, (550, -100), Daniel Radcliffe, (-550, -100), Patrick Dempsey, (300, 300), Ryan Reynolds, (0, -400), Matt Damon, (-300, 300), idk, [ 5. -1.], 0, 1.8276582999387756
sub-03, trial70, 14, Patrick Dempsey, ID14_IM01.bmp, (550, -100), Matt Damon, (300, 300), Robert Pattinson, (-550, -100), Leonardo DiCaprio, (0, -400), Brad Pitt, (-300, 300), Patrick Dempsey, [ 460. -127.], 1, 2.4095606999471784
sub-03, trial45, 12, Matt Damon, ID12_IM02.bmp, (550, -100), Orlando Bloom, (0, -400), Ryan Gosling, (-300, 300), Ryan Reynolds, (300, 300), Patrick Dempsey, (-550, -100), Matt Damon, [524. -78.], 1, 1.8623949999455363
sub-03, trial42, 02, Ben Stiller, ID02_IM04.bmp, (-550, -100), Ben Affleck, (-300, 300), Elijah Wood, (300, 300), Orlando Bloom, (550, -100), Brad Pitt, (0, -400), Ben Stiller, [-433.  -84.], 1, 0.7539479999104515
sub-03, trial40, 13, Orlando Bloom, ID13_IM01.bmp, (-300, 300), Ryan Gosling, (-550, -100), Hugh Jackman, (0, -400), Elijah Wood, (300, 300), Daniel Craig, (550, -100), idk, [ 1. -6.], 0, 1.1139946999028325
