subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-07, trial70, 15, Robert Downey Jr, ID15_IM01.bmp, (550, -100), Justin Timberlake, (300, 300), Ryan Reynolds, (-550, -100), Orlando Bloom, (0, -400), Leonardo DiCaprio, (-300, 300), Robert Downey Jr, [469. -70.], 1, 2.6095705999759957
sub-07, trial21, 16, Robert Pattinson, ID16_IM03.bmp, (300, 300), Hugh Jackman, (-300, 300), Brad Pitt, (0, -400), Ryan Gosling, (550, -100), Keanu Reeves, (-550, -100), Robert Pattinson, [205. 280.], 1, 0.9429935000371188
sub-07, trial13, 04, Daniel Craig, ID04_IM02.bmp, (-300, 300), Ryan Gosling, (550, -100), Ryan Reynolds, (300, 300), Matt Damon, (-550, -100), Robert Downey Jr, (0, -400), Daniel Craig, [-320.  297.], 1, 1.7513593999901786
sub-07, trial2, 10, Keanu Reeves, ID10_IM01.bmp, (300, 300), Ben Affleck, (-300, 300), Orlando Bloom, (-550, -100), Leonardo DiCaprio, (0, -400), Ben Stiller, (550, -100), idk, [-32.  27.], 0, 2.9038018999854103
sub-07, trial68, 02, Ben Stiller, ID02_IM04.bmp, (550, -100), Ryan Gosling, (0, -400), Hugh Jackman, (-550, -100), Daniel Craig, (-300, 300), Ben Affleck, (300, 300), Ben Stiller, [539. -94.], 1, 2.6571405000286177
sub-07, trial69, 04, Daniel Craig, ID04_IM01.bmp, (-300, 300), Orlando Bloom, (300, 300), Ben Stiller, (550, -100), Matt Damon, (-550, -100), Justin Timberlake, (0, -400), Daniel Craig, [-184.  296.], 1, 2.7165345000103116
sub-07, trial25, 06, Elijah Wood, ID06_IM04.bmp, (300, 300), Brad Pitt, (-300, 300), Hugh Jackman, (550, -100), Robert Pattinson, (-550, -100), Daniel Radcliffe, (0, -400), Elijah Wood, [280. 270.], 1, 15.502886999980547
sub-07, trial34, 18, Ryan Reynolds, ID18_IM04.bmp, (-550, -100), Orlando Bloom, (0, -400), Patrick Dempsey, (300, 300), Hugh Jackman, (-300, 300), Ben Affleck, (550, -100), Ryan Reynolds, [-491. -102.], 1, 2.0886988999554887
sub-07, trial56, 08, Hugh Jackman, ID08_IM02.bmp, (-300, 300), Elijah Wood, (550, -100), Patrick Dempsey, (-550, -100), Leonardo DiCaprio, (0, -400), Ben Stiller, (300, 300), idk, [-15. -13.], 0, 6.674467000062577
sub-07, trial59, 03, Brad Pitt, ID03_IM01.bmp, (-550, -100), Ben Stiller, (-300, 300), Hugh Jackman, (300, 300), Ryan Reynolds, (0, -400), Robert Downey Jr, (550, -100), Brad Pitt, [-416.  -53.], 1, 0.7412622000556439
