subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-18, trial18, 17, Ryan Gosling, ID17_IM03.bmp, (-550, -100), Robert Downey Jr, (300, 300), Elijah Wood, (0, -400), Patrick Dempsey, (-300, 300), Ben Affleck, (550, -100), Ryan Gosling, [-420.  -74.], 1, 3.363510300172493
sub-18, trial8, 18, Ryan Reynolds, ID18_IM04.bmp, (-300, 300), Ben Affleck, (0, -400), Hugh Jackman, (300, 300), Brad Pitt, (550, -100), Keanu Reeves, (-550, -100), idk, [-73. -13.], 0, 6.5155350000131875
sub-18, trial58, 16, Robert Pattinson, ID16_IM01.bmp, (-300, 300), Ben Stiller, (0, -400), Hugh Jackman, (300, 300), George Clooney, (-550, -100), Leonardo DiCaprio, (550, -100), Robert Pattinson, [-242.  302.], 1, 3.8773094001226127
sub-18, trial5, 01, Ben Affleck, ID01_IM03.bmp, (0, -400), Elijah Wood, (550, -100), Ryan Gosling, (-550, -100), Robert Downey Jr, (-300, 300), Orlando Bloom, (300, 300), idk, [-68.  17.], 0, 6.94376470008865
sub-18, trial57, 05, Daniel Radcliffe, ID05_IM01.bmp, (-550, -100), Leonardo DiCaprio, (300, 300), Justin Timberlake, (-300, 300), Ryan Gosling, (550, -100), Elijah Wood, (0, -400), Daniel Radcliffe, [-405.  -90.], 1, 18.247297100024298
sub-18, trial40, 06, Elijah Wood, ID06_IM01.bmp, (300, 300), Matt Damon, (-550, -100), Brad Pitt, (0, -400), Patrick Dempsey, (-300, 300), Ben Stiller, (550, -100), Patrick Dempsey, [-190.  321.], 0, 6.8839914000127465
sub-18, trial36, 06, Elijah Wood, ID06_IM02.bmp, (550, -100), Justin Timberlake, (300, 300), Ben Stiller, (-550, -100), Ben Affleck, (0, -400), Ryan Gosling, (-300, 300), Ben Affleck, [   8. -373.], 0, 8.94163060002029
sub-18, trial46, 13, Orlando Bloom, ID13_IM03.bmp, (0, -400), Brad Pitt, (300, 300), George Clooney, (-300, 300), Daniel Radcliffe, (-550, -100), Keanu Reeves, (550, -100), idk, [96. -9.], 0, 4.437950300052762
sub-18, trial26, 02, Ben Stiller, ID02_IM01.bmp, (0, -400), Ryan Gosling, (-550, -100), Patrick Dempsey, (550, -100), Keanu Reeves, (300, 300), Justin Timberlake, (-300, 300), Ben Stiller, [  20. -372.], 1, 2.26624139980413
sub-18, trial64, 02, Ben Stiller, ID02_IM04.bmp, (-300, 300), Robert Pattinson, (300, 300), Ryan Reynolds, (-550, -100), Daniel Craig, (550, -100), Brad Pitt, (0, -400), Ben Stiller, [-257.  315.], 1, 4.149683200055733
