subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-17, trial19, 02, Ben Stiller, ID02_IM01.bmp, (-550, -100), Daniel Radcliffe, (0, -400), Keanu Reeves, (300, 300), Brad Pitt, (-300, 300), George Clooney, (550, -100), Ben Stiller, [-431.  -84.], 1, 4.289009900065139
sub-17, trial3, 10, Keanu Reeves, ID10_IM02.bmp, (0, -400), Daniel Craig, (-300, 300), Elijah Wood, (550, -100), Justin Timberlake, (-550, -100), Leonardo DiCaprio, (300, 300), Keanu Reeves, [ -75. -405.], 1, 2.9398926999419928
sub-17, trial40, 18, Ryan Reynolds, ID18_IM04.bmp, (-550, -100), Patrick Dempsey, (-300, 300), Orlando Bloom, (550, -100), Robert Downey Jr, (0, -400), Daniel Craig, (300, 300), idk, [34. -9.], 0, 2.3163622999563813
sub-17, trial2, 06, Elijah Wood, ID06_IM04.bmp, (-300, 300), Hugh Jackman, (550, -100), Orlando Bloom, (300, 300), Ryan Gosling, (-550, -100), Robert Downey Jr, (0, -400), Elijah Wood, [-216.  296.], 1, 4.246350399916992
sub-17, trial39, 02, Ben Stiller, ID02_IM04.bmp, (300, 300), Ben Affleck, (-300, 300), Brad Pitt, (-550, -100), Matt Damon, (0, -400), Ryan Reynolds, (550, -100), Ben Stiller, [190. 285.], 1, 7.52977169980295
sub-17, trial53, 05, Daniel Radcliffe, ID05_IM02.bmp, (550, -100), George Clooney, (300, 300), Elijah Wood, (0, -400), Patrick Dempsey, (-300, 300), Orlando Bloom, (-550, -100), Daniel Radcliffe, [446. -94.], 1, 2.4831191999837756
sub-17, trial38, 08, Hugh Jackman, ID08_IM04.bmp, (300, 300), Daniel Craig, (550, -100), Daniel Radcliffe, (-300, 300), Ben Affleck, (-550, -100), Ryan Reynolds, (0, -400), Hugh Jackman, [263. 276.], 1, 2.029152700211853
sub-17, trial52, 04, Daniel Craig, ID04_IM02.bmp, (550, -100), Brad Pitt, (-550, -100), Ben Affleck, (0, -400), Robert Downey Jr, (-300, 300), Elijah Wood, (300, 300), Daniel Craig, [394. -99.], 1, 2.7531908999662846
sub-17, trial1, 15, Robert Downey Jr, ID15_IM01.bmp, (-550, -100), Daniel Craig, (-300, 300), Daniel Radcliffe, (550, -100), Elijah Wood, (300, 300), Hugh Jackman, (0, -400), Robert Downey Jr, [-400. -100.], 1, 2.2341110000852495
sub-17, trial65, 01, Ben Affleck, ID01_IM03.bmp, (-550, -100), Brad Pitt, (-300, 300), Hugh Jackman, (550, -100), Ryan Gosling, (0, -400), Robert Pattinson, (300, 300), idk, [-35. -20.], 0, 5.405615099938586
