subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-13, trial38, 18, Ryan Reynolds, ID18_IM02.bmp, (550, -100), Elijah Wood, (-300, 300), Matt Damon, (300, 300), Ryan Gosling, (0, -400), Leonardo DiCaprio, (-550, -100), idk, [33. 14.], 0, 26.084371999953873
sub-13, trial15, 10, Keanu Reeves, ID10_IM01.bmp, (550, -100), George Clooney, (-300, 300), Brad Pitt, (0, -400), Justin Timberlake, (-550, -100), Ryan Reynolds, (300, 300), idk, [31.  6.], 0, 1.5349617999745533
sub-13, trial55, 13, Orlando Bloom, ID13_IM01.bmp, (550, -100), Daniel Radcliffe, (300, 300), Robert Pattinson, (-300, 300), Elijah Wood, (0, -400), Patrick Dempsey, (-550, -100), idk, [30.  6.], 0, 3.991708500077948
sub-13, trial66, 01, Ben Affleck, ID01_IM02.bmp, (300, 300), Robert Pattinson, (-300, 300), Robert Downey Jr, (550, -100), Brad Pitt, (0, -400), Daniel Radcliffe, (-550, -100), idk, [30.  5.], 0, 5.4938856000080705
sub-13, trial51, 15, Robert Downey Jr, ID15_IM03.bmp, (-300, 300), Orlando Bloom, (0, -400), Elijah Wood, (300, 300), Robert Pattinson, (550, -100), Ben Stiller, (-550, -100), idk, [30.  5.], 0, 2.326183500001207
sub-13, trial14, 17, Ryan Gosling, ID17_IM01.bmp, (0, -400), Ryan Reynolds, (550, -100), Daniel Radcliffe, (-550, -100), George Clooney, (-300, 300), Robert Pattinson, (300, 300), Ryan Gosling, [  -2. -402.], 1, 7.279734999989159
sub-13, trial22, 09, Justin Timberlake, ID09_IM03.bmp, (-550, -100), Daniel Craig, (0, -400), Elijah Wood, (550, -100), Keanu Reeves, (-300, 300), Ben Affleck, (300, 300), Justin Timberlake, [-440. -110.], 1, 2.43478930008132
sub-13, trial28, 14, Patrick Dempsey, ID14_IM01.bmp, (-550, -100), Robert Downey Jr, (550, -100), Ben Affleck, (0, -400), Elijah Wood, (300, 300), Daniel Craig, (-300, 300), idk, [-51.  -1.], 0, 1.4309921000385657
sub-13, trial48, 05, Daniel Radcliffe, ID05_IM04.bmp, (300, 300), Keanu Reeves, (0, -400), Ryan Gosling, (550, -100), Ben Stiller, (-550, -100), Ryan Reynolds, (-300, 300), Daniel Radcliffe, [283. 311.], 1, 2.8691014000214636
sub-13, trial61, 08, Hugh Jackman, ID08_IM02.bmp, (0, -400), Brad Pitt, (-300, 300), Ben Affleck, (300, 300), Robert Pattinson, (550, -100), Elijah Wood, (-550, -100), idk, [54. 26.], 0, 1.2305460000643507
