subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-01, trial69, 13, Orlando Bloom, ID13_IM03.bmp, (-550, -100), Daniel Craig, (550, -100), Matt Damon, (300, 300), Hugh Jackman, (0, -400), Ryan Reynolds, (-300, 300), Orlando Bloom, [-488.  -88.], 1, 3.79568029998336
sub-01, trial54, 14, Patrick Dempsey, ID14_IM02.bmp, (-550, -100), Brad Pitt, (-300, 300), Ryan Gosling, (550, -100), Matt Damon, (300, 300), Keanu Reeves, (0, -400), Patrick Dempsey, [-480. -111.], 1, 3.122396899969317
sub-01, trial33, 18, Ryan Reynolds, ID18_IM04.bmp, (550, -100), Elijah Wood, (300, 300), Robert Pattinson, (0, -400), Patrick Dempsey, (-300, 300), Leonardo DiCaprio, (-550, -100), Ryan Reynolds, [ 474. -113.], 1, 1.6191105000907555
sub-01, trial56, 15, Robert Downey Jr, ID15_IM01.bmp, (550, -100), Robert Pattinson, (300, 300), Daniel Craig, (-300, 300), Daniel Radcliffe, (0, -400), Matt Damon, (-550, -100), Robert Downey Jr, [511. -83.], 1, 4.472708799992688
sub-01, trial35, 14, Patrick Dempsey, ID14_IM04.bmp, (550, -100), Daniel Craig, (-300, 300), Robert Pattinson, (-550, -100), Leonardo DiCaprio, (0, -400), Matt Damon, (300, 300), Patrick Dempsey, [ 461. -100.], 1, 4.86785979999695
sub-01, trial32, 14, Patrick Dempsey, ID14_IM03.bmp, (550, -100), George Clooney, (300, 300), Ryan Gosling, (-300, 300), Ben Stiller, (0, -400), Justin Timberlake, (-550, -100), Patrick Dempsey, [501. -96.], 1, 3.040356900077313
sub-01, trial39, 12, Matt Damon, ID12_IM04.bmp, (300, 300), Ben Stiller, (-550, -100), Keanu Reeves, (-300, 300), Ben Affleck, (550, -100), Elijah Wood, (0, -400), Matt Damon, [296. 275.], 1, 1.5145569000160322
sub-01, trial45, 11, Leonardo DiCaprio, ID11_IM01.bmp, (-300, 300), Robert Pattinson, (300, 300), Ben Affleck, (550, -100), Ben Stiller, (0, -400), Justin Timberlake, (-550, -100), Leonardo DiCaprio, [-200.  279.], 1, 1.9164387999335304
sub-01, trial52, 18, Ryan Reynolds, ID18_IM03.bmp, (-300, 300), Matt Damon, (-550, -100), Orlando Bloom, (0, -400), Daniel Radcliffe, (550, -100), George Clooney, (300, 300), Ryan Reynolds, [-215.  268.], 1, 2.317611400038004
sub-01, trial60, 06, Elijah Wood, ID06_IM04.bmp, (550, -100), Matt Damon, (-550, -100), Orlando Bloom, (300, 300), Daniel Radcliffe, (0, -400), Ryan Gosling, (-300, 300), Elijah Wood, [ 484. -104.], 1, 2.270040199975483
