subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-04, trial40, 18, Ryan Reynolds, ID18_IM02.bmp, (-300, 300), Robert Pattinson, (550, -100), Ryan Gosling, (-550, -100), Hugh Jackman, (0, -400), Keanu Reeves, (300, 300), Ryan Reynolds, [-268.  314.], 1, 2.1388919000746682
sub-04, trial60, 11, Leonardo DiCaprio, ID11_IM03.bmp, (550, -100), Keanu Reeves, (0, -400), Ben Affleck, (-300, 300), Brad Pitt, (300, 300), Patrick Dempsey, (-550, -100), Leonardo DiCaprio, [ 486. -115.], 1, 1.400486300000921
sub-04, trial56, 14, Patrick Dempsey, ID14_IM03.bmp, (0, -400), Elijah Wood, (300, 300), Leonardo DiCaprio, (550, -100), Ryan Reynolds, (-300, 300), Matt Damon, (-550, -100), Patrick Dempsey, [  80. -376.], 1, 2.056880399934016
sub-04, trial27, 12, Matt Damon, ID12_IM02.bmp, (-550, -100), Justin Timberlake, (300, 300), Daniel Radcliffe, (-300, 300), Hugh Jackman, (0, -400), Daniel Craig, (550, -100), Matt Damon, [-469. -113.], 1, 1.2050236000213772
sub-04, trial13, 13, Orlando Bloom, ID13_IM04.bmp, (-300, 300), Brad Pitt, (300, 300), Ben Affleck, (0, -400), Robert Downey Jr, (550, -100), Ryan Reynolds, (-550, -100), Orlando Bloom, [-313.  276.], 1, 1.027171100024134
sub-04, trial61, 16, Robert Pattinson, ID16_IM01.bmp, (300, 300), Ryan Gosling, (550, -100), Daniel Craig, (-300, 300), Patrick Dempsey, (0, -400), Orlando Bloom, (-550, -100), Robert Pattinson, [174. 280.], 1, 0.8887556999688968
sub-04, trial46, 01, Ben Affleck, ID01_IM03.bmp, (-550, -100), Daniel Craig, (0, -400), Keanu Reeves, (-300, 300), Leonardo DiCaprio, (300, 300), Hugh Jackman, (550, -100), Ben Affleck, [-510.  -72.], 1, 1.6749897999688983
sub-04, trial30, 17, Ryan Gosling, ID17_IM03.bmp, (550, -100), Robert Downey Jr, (-550, -100), Patrick Dempsey, (0, -400), Robert Pattinson, (300, 300), Keanu Reeves, (-300, 300), Ryan Gosling, [461. -98.], 1, 1.5808943000156432
sub-04, trial33, 17, Ryan Gosling, ID17_IM02.bmp, (0, -400), Matt Damon, (-550, -100), Leonardo DiCaprio, (550, -100), Ryan Reynolds, (300, 300), Daniel Radcliffe, (-300, 300), Ryan Gosling, [  93. -384.], 1, 2.083769300021231
sub-04, trial34, 04, Daniel Craig, ID04_IM01.bmp, (0, -400), Ryan Gosling, (300, 300), Hugh Jackman, (550, -100), Ryan Reynolds, (-550, -100), George Clooney, (-300, 300), Daniel Craig, [  78. -380.], 1, 2.0053190999897197
