subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-16, trial72, 16, Robert Pattinson, ID16_IM03.bmp, (0, -400), Matt Damon, (-300, 300), Orlando Bloom, (-550, -100), Ryan Gosling, (300, 300), Ben Affleck, (550, -100), Robert Pattinson, [  15. -381.], 1, 2.266651200130582
sub-16, trial56, 14, Patrick Dempsey, ID14_IM01.bmp, (550, -100), Daniel Radcliffe, (0, -400), Hugh Jackman, (-300, 300), Robert Pattinson, (300, 300), Robert Downey Jr, (-550, -100), Patrick Dempsey, [ 480. -110.], 1, 9.260686800116673
sub-16, trial68, 02, Ben Stiller, ID02_IM01.bmp, (550, -100), Justin Timberlake, (300, 300), Elijah Wood, (0, -400), Brad Pitt, (-550, -100), Daniel Craig, (-300, 300), idk, [54.  1.], 0, 2.9845988999586552
sub-16, trial36, 08, Hugh Jackman, ID08_IM02.bmp, (550, -100), Patrick Dempsey, (-550, -100), Orlando Bloom, (0, -400), Ryan Reynolds, (-300, 300), Elijah Wood, (300, 300), Hugh Jackman, [450. -87.], 1, 1.7356382000725716
sub-16, trial11, 03, Brad Pitt, ID03_IM03.bmp, (-550, -100), Leonardo DiCaprio, (-300, 300), Elijah Wood, (0, -400), Hugh Jackman, (550, -100), Ryan Gosling, (300, 300), Brad Pitt, [-462.  -54.], 1, 1.824806199874729
sub-16, trial50, 12, Matt Damon, ID12_IM04.bmp, (-300, 300), Daniel Craig, (300, 300), Robert Pattinson, (0, -400), Ben Affleck, (550, -100), Leonardo DiCaprio, (-550, -100), Matt Damon, [-284.  280.], 1, 8.732130600139499
sub-16, trial10, 18, Ryan Reynolds, ID18_IM02.bmp, (550, -100), Daniel Radcliffe, (-300, 300), Robert Downey Jr, (300, 300), Leonardo DiCaprio, (0, -400), Brad Pitt, (-550, -100), Ryan Reynolds, [ 502. -106.], 1, 3.33294490003027
sub-16, trial65, 10, Keanu Reeves, ID10_IM03.bmp, (-550, -100), Ben Stiller, (-300, 300), Elijah Wood, (300, 300), Daniel Radcliffe, (550, -100), Leonardo DiCaprio, (0, -400), idk, [ 66. -13.], 0, 7.020462900167331
sub-16, trial66, 12, Matt Damon, ID12_IM02.bmp, (-550, -100), Leonardo DiCaprio, (300, 300), Brad Pitt, (550, -100), Justin Timberlake, (-300, 300), Daniel Radcliffe, (0, -400), Matt Damon, [-458.  -89.], 1, 19.93886430002749
sub-16, trial39, 12, Matt Damon, ID12_IM03.bmp, (-300, 300), Ryan Gosling, (300, 300), Robert Downey Jr, (550, -100), Ben Stiller, (-550, -100), Justin Timberlake, (0, -400), Matt Damon, [-300.  294.], 1, 6.395738000050187
sub-16, trial22, 07, George Clooney, ID07_IM03.bmp, (0, -400), Elijah Wood, (550, -100), Hugh Jackman, (300, 300), Brad Pitt, (-550, -100), Ryan Reynolds, (-300, 300), George Clooney, [ -24. -400.], 1, 5.146096500102431
sub-16, trial69, 03, Brad Pitt, ID03_IM01.bmp, (-300, 300), George Clooney, (300, 300), Robert Pattinson, (0, -400), Ryan Gosling, (550, -100), Daniel Radcliffe, (-550, -100), Brad Pitt, [-225.  305.], 1, 1.530557399848476
sub-16, trial21, 07, George Clooney, ID07_IM04.bmp, (-300, 300), Ben Affleck, (300, 300), Patrick Dempsey, (550, -100), Robert Downey Jr, (0, -400), Ryan Gosling, (-550, -100), George Clooney, [-290.  290.], 1, 6.146976000163704
sub-16, trial18, 13, Orlando Bloom, ID13_IM02.bmp, (550, -100), Leonardo DiCaprio, (-300, 300), Ben Stiller, (0, -400), George Clooney, (300, 300), Robert Downey Jr, (-550, -100), idk, [-16.   0.], 0, 2.7629982999060303
sub-16, trial71, 18, Ryan Reynolds, ID18_IM04.bmp, (-550, -100), Hugh Jackman, (0, -400), Matt Damon, (-300, 300), Elijah Wood, (550, -100), Orlando Bloom, (300, 300), Ryan Reynolds, [-578. -119.], 1, 7.019039500039071
sub-16, trial9, 10, Keanu Reeves, ID10_IM01.bmp, (-550, -100), Ben Affleck, (550, -100), Leonardo DiCaprio, (-300, 300), Orlando Bloom, (0, -400), Robert Downey Jr, (300, 300), idk, [-59.   2.], 0, 1.6394885000772774
sub-16, trial52, 17, Ryan Gosling, ID17_IM01.bmp, (-300, 300), Keanu Reeves, (300, 300), Matt Damon, (0, -400), Elijah Wood, (550, -100), Hugh Jackman, (-550, -100), Ryan Gosling, [-316.  310.], 1, 2.876444000052288
sub-16, trial17, 13, Orlando Bloom, ID13_IM03.bmp, (300, 300), Brad Pitt, (0, -400), Patrick Dempsey, (550, -100), George Clooney, (-300, 300), Daniel Craig, (-550, -100), Orlando Bloom, [239. 294.], 1, 1.76741460012272
sub-16, trial8, 11, Leonardo DiCaprio, ID11_IM01.bmp, (-550, -100), Justin Timberlake, (0, -400), Patrick Dempsey, (300, 300), Keanu Reeves, (550, -100), George Clooney, (-300, 300), Leonardo DiCaprio, [-499.  -78.], 1, 2.206694700056687
sub-16, trial53, 02, Ben Stiller, ID02_IM02.bmp, (550, -100), George Clooney, (-550, -100), Ryan Reynolds, (-300, 300), Leonardo DiCaprio, (0, -400), Elijah Wood, (300, 300), Ben Stiller, [ 444. -107.], 1, 23.70097679994069
sub-16, trial29, 15, Robert Downey Jr, ID15_IM01.bmp, (550, -100), Ryan Reynolds, (-300, 300), Leonardo DiCaprio, (0, -400), Ben Stiller, (300, 300), Ryan Gosling, (-550, -100), Robert Downey Jr, [402. -93.], 1, 2.222228799946606
sub-16, trial14, 06, Elijah Wood, ID06_IM01.bmp, (-300, 300), George Clooney, (-550, -100), Robert Pattinson, (0, -400), Leonardo DiCaprio, (300, 300), Matt Damon, (550, -100), Elijah Wood, [-268.  315.], 1, 16.162398199783638
sub-16, trial67, 17, Ryan Gosling, ID17_IM04.bmp, (300, 300), Ben Stiller, (-550, -100), Orlando Bloom, (0, -400), Keanu Reeves, (-300, 300), Matt Damon, (550, -100), Ryan Gosling, [259. 299.], 1, 3.345772499917075
sub-16, trial64, 06, Elijah Wood, ID06_IM03.bmp, (300, 300), Orlando Bloom, (-550, -100), Ryan Gosling, (-300, 300), George Clooney, (550, -100), Hugh Jackman, (0, -400), Elijah Wood, [360. 292.], 1, 1.7941457000561059
sub-16, trial24, 11, Leonardo DiCaprio, ID11_IM04.bmp, (-550, -100), Robert Downey Jr, (-300, 300), Ben Affleck, (0, -400), Ryan Reynolds, (550, -100), Hugh Jackman, (300, 300), Leonardo DiCaprio, [-471.  -82.], 1, 2.2404066999442875
sub-16, trial47, 01, Ben Affleck, ID01_IM03.bmp, (-550, -100), Matt Damon, (-300, 300), Robert Downey Jr, (0, -400), Elijah Wood, (550, -100), Patrick Dempsey, (300, 300), idk, [43.  2.], 0, 12.58065119991079
sub-16, trial15, 01, Ben Affleck, ID01_IM02.bmp, (0, -400), Brad Pitt, (300, 300), Daniel Craig, (-550, -100), George Clooney, (-300, 300), Hugh Jackman, (550, -100), idk, [113. -14.], 0, 1.7795253999065608
sub-16, trial63, 08, Hugh Jackman, ID08_IM03.bmp, (0, -400), Brad Pitt, (-550, -100), Matt Damon, (550, -100), Keanu Reeves, (300, 300), Daniel Radcliffe, (-300, 300), Hugh Jackman, [  69. -367.], 1, 3.243181899888441
sub-16, trial27, 14, Patrick Dempsey, ID14_IM04.bmp, (0, -400), George Clooney, (-550, -100), Daniel Radcliffe, (550, -100), Daniel Craig, (-300, 300), Elijah Wood, (300, 300), Patrick Dempsey, [  16. -396.], 1, 2.2387095999438316
sub-16, trial16, 13, Orlando Bloom, ID13_IM01.bmp, (300, 300), Justin Timberlake, (-550, -100), Ryan Reynolds, (550, -100), Patrick Dempsey, (-300, 300), Daniel Radcliffe, (0, -400), Orlando Bloom, [292. 321.], 1, 1.9961802999023348
sub-16, trial13, 05, Daniel Radcliffe, ID05_IM01.bmp, (0, -400), Brad Pitt, (550, -100), Ben Affleck, (300, 300), Ryan Gosling, (-550, -100), Justin Timberlake, (-300, 300), Daniel Radcliffe, [  31. -391.], 1, 2.656955699902028
sub-16, trial23, 01, Ben Affleck, ID01_IM04.bmp, (550, -100), Brad Pitt, (300, 300), Daniel Craig, (0, -400), Justin Timberlake, (-550, -100), Ryan Reynolds, (-300, 300), idk, [ 43. -17.], 0, 2.643787099979818
sub-16, trial59, 15, Robert Downey Jr, ID15_IM03.bmp, (300, 300), Ben Affleck, (0, -400), Daniel Craig, (550, -100), Daniel Radcliffe, (-550, -100), Orlando Bloom, (-300, 300), Robert Downey Jr, [281. 305.], 1, 1.9687429000623524
sub-16, trial34, 16, Robert Pattinson, ID16_IM01.bmp, (-300, 300), Ryan Reynolds, (-550, -100), Ben Affleck, (550, -100), Ben Stiller, (300, 300), Daniel Radcliffe, (0, -400), Robert Pattinson, [-259.  283.], 1, 2.086733100004494
sub-16, trial58, 07, George Clooney, ID07_IM01.bmp, (-550, -100), Justin Timberlake, (-300, 300), Hugh Jackman, (550, -100), Robert Pattinson, (0, -400), Brad Pitt, (300, 300), George Clooney, [-465.  -81.], 1, 2.1933615999296308
sub-16, trial46, 05, Daniel Radcliffe, ID05_IM02.bmp, (550, -100), Ben Affleck, (-300, 300), Robert Downey Jr, (0, -400), Leonardo DiCaprio, (300, 300), Robert Pattinson, (-550, -100), Daniel Radcliffe, [479. -96.], 1, 1.6079144000541419
sub-16, trial4, 07, George Clooney, ID07_IM02.bmp, (0, -400), Daniel Craig, (-300, 300), Leonardo DiCaprio, (550, -100), Robert Pattinson, (300, 300), Orlando Bloom, (-550, -100), George Clooney, [ -33. -412.], 1, 1.6059493999928236
sub-16, trial1, 06, Elijah Wood, ID06_IM02.bmp, (-300, 300), Daniel Radcliffe, (300, 300), Ben Stiller, (0, -400), Orlando Bloom, (550, -100), Keanu Reeves, (-550, -100), Elijah Wood, [-262.  296.], 1, 1.6512655999977142
sub-16, trial57, 09, Justin Timberlake, ID09_IM03.bmp, (300, 300), Ryan Gosling, (550, -100), Robert Downey Jr, (0, -400), Daniel Radcliffe, (-550, -100), Orlando Bloom, (-300, 300), Justin Timberlake, [279. 311.], 1, 4.82245559990406
sub-16, trial19, 01, Ben Affleck, ID01_IM01.bmp, (0, -400), Hugh Jackman, (-550, -100), Robert Pattinson, (-300, 300), George Clooney, (550, -100), Ryan Reynolds, (300, 300), idk, [29. -4.], 0, 4.96327539999038
sub-16, trial32, 04, Daniel Craig, ID04_IM03.bmp, (0, -400), Keanu Reeves, (-550, -100), Orlando Bloom, (300, 300), Elijah Wood, (-300, 300), Daniel Radcliffe, (550, -100), Daniel Craig, [ -18. -398.], 1, 2.6999705000780523
sub-16, trial6, 02, Ben Stiller, ID02_IM03.bmp, (-300, 300), Brad Pitt, (0, -400), Ben Affleck, (-550, -100), Robert Pattinson, (300, 300), Elijah Wood, (550, -100), Ben Stiller, [-266.  285.], 1, 12.428665899904445
sub-16, trial31, 03, Brad Pitt, ID03_IM02.bmp, (0, -400), Ryan Gosling, (-550, -100), Elijah Wood, (550, -100), Leonardo DiCaprio, (300, 300), Daniel Craig, (-300, 300), Brad Pitt, [ -66. -386.], 1, 1.6021550002042204
sub-16, trial41, 16, Robert Pattinson, ID16_IM02.bmp, (0, -400), Leonardo DiCaprio, (-550, -100), Orlando Bloom, (550, -100), Matt Damon, (300, 300), Daniel Radcliffe, (-300, 300), Robert Pattinson, [  -3. -404.], 1, 1.7825640998780727
sub-16, trial44, 05, Daniel Radcliffe, ID05_IM03.bmp, (-300, 300), Matt Damon, (300, 300), Ben Affleck, (550, -100), Robert Downey Jr, (-550, -100), Patrick Dempsey, (0, -400), Daniel Radcliffe, [-320.  321.], 1, 2.0465268997941166
sub-16, trial25, 05, Daniel Radcliffe, ID05_IM04.bmp, (-300, 300), George Clooney, (0, -400), Ben Affleck, (550, -100), Robert Downey Jr, (300, 300), Daniel Craig, (-550, -100), Daniel Radcliffe, [-318.  309.], 1, 1.186101899947971
sub-16, trial70, 08, Hugh Jackman, ID08_IM01.bmp, (-300, 300), Patrick Dempsey, (0, -400), Ben Stiller, (-550, -100), Ben Affleck, (550, -100), Ryan Gosling, (300, 300), Hugh Jackman, [-268.  287.], 1, 3.623516899999231
sub-16, trial54, 15, Robert Downey Jr, ID15_IM02.bmp, (0, -400), Ryan Reynolds, (300, 300), Keanu Reeves, (-300, 300), Daniel Radcliffe, (550, -100), Robert Pattinson, (-550, -100), Robert Downey Jr, [ -13. -378.], 1, 2.6127907000482082
sub-16, trial30, 17, Ryan Gosling, ID17_IM02.bmp, (-300, 300), Matt Damon, (550, -100), George Clooney, (-550, -100), Ryan Reynolds, (300, 300), Robert Downey Jr, (0, -400), Ryan Gosling, [-277.  323.], 1, 2.5699519999325275
sub-16, trial26, 06, Elijah Wood, ID06_IM04.bmp, (0, -400), Brad Pitt, (-300, 300), Ben Stiller, (550, -100), Robert Pattinson, (-550, -100), Daniel Radcliffe, (300, 300), Elijah Wood, [  24. -403.], 1, 3.1456201002001762
sub-16, trial40, 13, Orlando Bloom, ID13_IM04.bmp, (-300, 300), Patrick Dempsey, (0, -400), Leonardo DiCaprio, (300, 300), Keanu Reeves, (550, -100), George Clooney, (-550, -100), Orlando Bloom, [-313.  304.], 1, 2.513117399998009
sub-16, trial55, 12, Matt Damon, ID12_IM01.bmp, (550, -100), Daniel Radcliffe, (-550, -100), Keanu Reeves, (300, 300), Daniel Craig, (-300, 300), Hugh Jackman, (0, -400), Matt Damon, [ 573. -108.], 1, 2.066681600175798
sub-16, trial61, 18, Ryan Reynolds, ID18_IM03.bmp, (-300, 300), Orlando Bloom, (0, -400), Elijah Wood, (550, -100), Brad Pitt, (300, 300), Robert Downey Jr, (-550, -100), Ryan Reynolds, [-264.  308.], 1, 5.557303499896079
sub-16, trial49, 16, Robert Pattinson, ID16_IM04.bmp, (300, 300), Robert Downey Jr, (550, -100), Ryan Reynolds, (-550, -100), Patrick Dempsey, (-300, 300), Daniel Radcliffe, (0, -400), Robert Pattinson, [274. 283.], 1, 1.9657556999009103
sub-16, trial43, 08, Hugh Jackman, ID08_IM04.bmp, (-550, -100), Ben Stiller, (-300, 300), Ryan Reynolds, (550, -100), Daniel Radcliffe, (0, -400), Patrick Dempsey, (300, 300), Hugh Jackman, [-589.  -97.], 1, 2.7565646001603454
sub-16, trial2, 04, Daniel Craig, ID04_IM04.bmp, (300, 300), Daniel Radcliffe, (-550, -100), Keanu Reeves, (0, -400), Justin Timberlake, (-300, 300), Brad Pitt, (550, -100), Daniel Craig, [298. 298.], 1, 2.098814700031653
