subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-11, trial57, 02, Ben Stiller, ID02_IM02.bmp, (-300, 300), Ryan Gosling, (-550, -100), Keanu Reeves, (300, 300), Robert Pattinson, (550, -100), Patrick Dempsey, (0, -400), idk, [-17. -10.], 0, 9.560402999981306
sub-11, trial11, 01, Ben Affleck, ID01_IM02.bmp, (-550, -100), Hugh Jackman, (300, 300), Robert Downey Jr, (550, -100), Daniel Craig, (-300, 300), George Clooney, (0, -400), idk, [-158.   -2.], 0, 7.36799180007074
sub-11, trial53, 09, Justin Timberlake, ID09_IM04.bmp, (-300, 300), Daniel Radcliffe, (0, -400), Orlando Bloom, (300, 300), Ryan Gosling, (550, -100), Ben Stiller, (-550, -100), Justin Timberlake, [-273.  262.], 1, 1.7992206999333575
sub-11, trial68, 15, Robert Downey Jr, ID15_IM02.bmp, (-550, -100), Leonardo DiCaprio, (550, -100), Keanu Reeves, (300, 300), Hugh Jackman, (-300, 300), Brad Pitt, (0, -400), Robert Downey Jr, [-397.  -94.], 1, 1.7410274000139907
sub-11, trial16, 01, Ben Affleck, ID01_IM01.bmp, (300, 300), George Clooney, (0, -400), Daniel Craig, (550, -100), Hugh Jackman, (-300, 300), Elijah Wood, (-550, -100), idk, [-62. -23.], 0, 5.421502500073984
sub-11, trial42, 06, Elijah Wood, ID06_IM04.bmp, (-300, 300), Ben Stiller, (550, -100), Keanu Reeves, (0, -400), Justin Timberlake, (300, 300), George Clooney, (-550, -100), Elijah Wood, [-339.  283.], 1, 12.793875299976207
sub-11, trial37, 17, Ryan Gosling, ID17_IM03.bmp, (300, 300), Justin Timberlake, (-300, 300), Robert Downey Jr, (-550, -100), Robert Pattinson, (550, -100), Leonardo DiCaprio, (0, -400), Ryan Gosling, [197. 285.], 1, 1.471840800018981
sub-11, trial67, 11, Leonardo DiCaprio, ID11_IM03.bmp, (-550, -100), Ryan Reynolds, (-300, 300), Brad Pitt, (300, 300), Robert Pattinson, (550, -100), Robert Downey Jr, (0, -400), Leonardo DiCaprio, [-475.  -78.], 1, 2.106331799994223
sub-11, trial15, 14, Patrick Dempsey, ID14_IM04.bmp, (0, -400), Ben Stiller, (300, 300), George Clooney, (-300, 300), Robert Downey Jr, (550, -100), Justin Timberlake, (-550, -100), Patrick Dempsey, [  33. -376.], 1, 23.733582600019872
sub-11, trial18, 08, Hugh Jackman, ID08_IM01.bmp, (-550, -100), Robert Pattinson, (300, 300), Ryan Gosling, (-300, 300), Brad Pitt, (550, -100), Keanu Reeves, (0, -400), Hugh Jackman, [-493. -112.], 1, 6.030246499925852
sub-11, trial54, 16, Robert Pattinson, ID16_IM01.bmp, (-550, -100), Hugh Jackman, (0, -400), Orlando Bloom, (300, 300), Ben Stiller, (-300, 300), Robert Downey Jr, (550, -100), Robert Pattinson, [-447.  -79.], 1, 1.5546402999898419
sub-11, trial50, 13, Orlando Bloom, ID13_IM01.bmp, (-300, 300), Ben Affleck, (-550, -100), Daniel Radcliffe, (0, -400), George Clooney, (300, 300), Ryan Gosling, (550, -100), idk, [-118.   18.], 0, 9.370750800007954
sub-11, trial12, 17, Ryan Gosling, ID17_IM02.bmp, (-550, -100), Leonardo DiCaprio, (0, -400), Hugh Jackman, (300, 300), Elijah Wood, (-300, 300), Daniel Radcliffe, (550, -100), Ryan Gosling, [-451.  -97.], 1, 1.3136956000234932
